Flow,Unit,MEXICO_MODULES_BG,MEXICO_SECTIONS_BG,Delta,Module_sources,Section_sources
"aluminium alloy, AlMg3",kg,0.0,10.35367127,10.35367127,,SECTION_Mechanical_components_ipe_flows_from_parameters
"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,10.353671270000001,0.0,-10.353671270000001,mechanical_components_component_results,
"aluminium, primary, cast alloy slab from continuous casting",kg,0.0,0.008388,0.008388,,SECTION_Hardware_ipe_flows_from_parameters
"aluminium, primary, cast alloy slab from continuous casting + metal working, average for aluminium product manufacturing",kg,0.002796,0.0,-0.002796,4Q_power_card_component_results,
"aluminium, primary, cast alloy slab from continuous casting+metal working, average for aluminium product manufacturing",kg,0.005592,0.0,-0.005592,4Q_output_control_card_component_results,
brass,kg,0.0,0.032,0.032,,SECTION_Electromechanical_ipe_flows_from_parameters
"brass + metal working, average for copper product manufacturing",kg,0.032,0.0,-0.032,4Q_output_power_card_component_results; 4Q_power_card_component_results,
"cable, unspecified",kg,0.62964,0.62964,0.0,cabling_component_results,SECTION_Cabling_ipe_flows_from_parameters
can_els,kg,0.6,0.6,0.0,4Q_output_power_card_component_results,SECTION_Modules_ipe_flows_from_parameters
"capacitor production, electrolyte type, < 2cm height",kg,0.016733356499999998,0.0167333565,3.469446951953614e-18,4Q_output_control_card_component_results; 4Q_power_card_component_results; analog_control_component_results; digital_control_component_results; fan_supervision_card_component_results; inverter_power_card_component_results,SECTION_Passives_ipe_flows_from_parameters
"capacitor production, electrolyte type, > 2cm height",kg,0.8915588000000001,0.8915588,-1.1102230246251565e-16,4Q_power_card_component_results; filter_card_component_results,SECTION_Passives_ipe_flows_from_parameters
"capacitor production, film type, for through-hole mounting",kg,0.5895252225000001,0.5895252225,-1.1102230246251565e-16,4Q_output_power_card_component_results; 4Q_power_card_component_results; filter_card_component_results; fuse_card_component_results; inverter_power_card_component_results,SECTION_Passives_ipe_flows_from_parameters
"capacitor production, for surface-mounting",kg,0.013113436959999999,0.01311343696,1.734723475976807e-18,4Q_output_control_card_component_results; 4Q_power_card_component_results; analog_control_component_results; contactor_card_component_results; digital_control_component_results; fan_supervision_card_component_results; inverter_power_card_component_results,SECTION_Discrete_Semiconductors_ipe_flows_from_parameters; SECTION_Passives_ipe_flows_from_parameters
"copper, cathode",kg,0.0,0.6502633,0.6502633,,SECTION_Electromechanical_ipe_flows_from_parameters; SECTION_Hardware_ipe_flows_from_parameters; SECTION_Magnetics_ipe_flows_from_parameters; SECTION_Mechanical_components_ipe_flows_from_parameters
"copper, cathode + metal working, average for copper product manufacturing",kg,0.044800000000000006,0.0,-0.044800000000000006,HF_Power_Transformer_PM624929_component_results; contactor_card_component_results; mechanical_components_component_results,
"copper, cathode+wire drawing, copper",kg,0.6054633,0.0,-0.6054633,HF_Power_Transformer_PM624929_component_results; power_inductor_PM6249_component_results,
"diode production, glass-, for surface-mounting",kg,0.007565800916,0.007565800916,0.0,4Q_output_control_card_component_results; 4Q_power_card_component_results; analog_control_component_results; contactor_card_component_results; digital_control_component_results; inverter_power_card_component_results,SECTION_Discrete_Semiconductors_ipe_flows_from_parameters
"diode production, glass-, for through-hole mounting",kg,0.00028748,0.00028748,0.0,4Q_output_power_card_component_results; 4Q_power_card_component_results,SECTION_Discrete_Semiconductors_ipe_flows_from_parameters
"electric connector production, peripheral type buss",kg,0.418935,0.418935,0.0,analog_control_component_results; contactor_card_component_results; digital_control_component_results; filter_card_component_results; fuse_card_component_results; inverter_power_card_component_results,SECTION_Electromechanical_ipe_flows_from_parameters
"electric connector production, wire clamp",kg,0.25360066856,0.25360066855999996,-5.551115123125783e-17,4Q_output_control_card_component_results; 4Q_output_power_card_component_results; 4Q_power_card_component_results; HF_Power_Transformer_PM624929_component_results; analog_control_component_results; contactor_card_component_results; control_backplane_card_component_results; digital_control_component_results; fan_supervision_card_component_results; filter_card_component_results; fuse_card_component_results; inverter_power_card_component_results,SECTION_Electromechanical_ipe_flows_from_parameters; SECTION_Passives_ipe_flows_from_parameters
"electronic component production, active, unspecified",kg,0.0030619999999999996,0.003062,4.336808689942018e-19,4Q_output_control_card_component_results; 4Q_power_card_component_results; contactor_card_component_results; digital_control_component_results; inverter_power_card_component_results,SECTION_IC_ipe_flows_from_parameters; SECTION_Modules_ipe_flows_from_parameters
"electronic component, passive, unspecified",kg,0.149334356083,0.149334356083,0.0,4Q_output_control_card_component_results; 4Q_power_card_component_results; analog_control_component_results; contactor_card_component_results; digital_control_component_results; fan_supervision_card_component_results; filter_card_component_results; fuse_card_component_results; inverter_power_card_component_results,SECTION_Electromechanical_ipe_flows_from_parameters; SECTION_Hardware_ipe_flows_from_parameters; SECTION_Passives_ipe_flows_from_parameters
"epoxy resin, liquid",kg,0.02536443,0.02536443,0.0,4Q_output_power_card_component_results,SECTION_Hardware_ipe_flows_from_parameters
ferrite,kg,2.380512,2.380512,0.0,HF_Power_Transformer_PM624929_component_results; power_inductor_PM6249_component_results,SECTION_Magnetics_ipe_flows_from_parameters
"inductor production, low value multilayer chip",kg,0.00068144,0.00068144,0.0,analog_control_component_results; digital_control_component_results,SECTION_Passives_ipe_flows_from_parameters
"inductor production, ring core choke type",kg,0.17884100000000003,0.178841,-2.7755575615628914e-17,analog_control_component_results; digital_control_component_results,SECTION_Passives_ipe_flows_from_parameters
injection moulding,kg,0.0,0.11129,0.11129,,SECTION_Hardware_ipe_flows_from_parameters; SECTION_Magnetics_ipe_flows_from_parameters
"insulated gate bipolar transistor production, for electric vehicle applications",kg,0.02168,0.02168,0.0,inverter_power_card_component_results,SECTION_Discrete_Semiconductors_ipe_flows_from_parameters
"insulated gate bipolar transistor, electric vehicle application",kg,0.011834,0.011834,0.0,4Q_power_card_component_results; analog_control_component_results,SECTION_Modules_ipe_flows_from_parameters
"integrated circuit production, logic type",kg,0.028860614525999997,0.028860614526,3.469446951953614e-18,4Q_output_control_card_component_results; 4Q_power_card_component_results; analog_control_component_results; digital_control_component_results; inverter_power_card_component_results,SECTION_IC_ipe_flows_from_parameters
light emitting diode production,kg,0.0009809600000000001,0.00098096,-2.168404344971009e-19,contactor_card_component_results; digital_control_component_results; inverter_power_card_component_results,SECTION_Discrete_Semiconductors_ipe_flows_from_parameters
