Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,47.959035132061516,mol H+-Eq,0.8630453674893785,mol H+-Eq/ref
Climate change,834.7042063564592,kg CO2-Eq,0.110511719299662,kg CO2-Eq/ref
Climate change: biogenic,4.415648370056587,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,829.0513242680746,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,1.2372337183279027,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,55170.91717940789,CTUe,0.9727474930997033,CTUe/ref
"Ecotoxicity: freshwater, inorganics",55015.90516339964,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",155.01201600824015,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,21304.845146059764,"MJ, net calorific value",0.32774537018794137,"MJ, net calorific value/ref"
Eutrophication: freshwater,3.870845299225227,kg P-Eq,2.4089617406445174,kg P-Eq/ref
Eutrophication: marine,2.5566596472941816,kg N-Eq,0.1308076694377997,kg N-Eq/ref
Eutrophication: terrestrial,34.538627143517395,mol N-Eq,0.19540396131706705,mol N-Eq/ref
Human toxicity: carcinogenic,4.938927897162706e-06,CTUh,0.28626653473692576,CTUh/ref
"Human toxicity: carcinogenic, inorganics",4.77343385756793e-06,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.6549403959477578e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0004981453038252473,CTUh,3.8695105007554003,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.00046749860042174786,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.06467034034993e-05,CTUh,0.0,CTUh/ref
Ionising radiation: human health,786.5756233531831,kBq U235-Eq,0.1863851113483033,kBq U235-Eq/ref
Land use,21819.068699496667,dimensionless,0.026624914069100697,dimensionless/ref
Material resources: metals/minerals,0.60907688244942,kg Sb-Eq,9.573276459155602,kg Sb-Eq/ref
Ozone depletion,1.371399975560183e-05,kg CFC-11-Eq,0.00026197561356578733,kg CFC-11-Eq/ref
Particulate matter formation,0.00012189166224182097,disease incidence,0.20473365544583588,disease incidence/ref
Photochemical oxidant formation: human health,10.042282170174136,kg NMVOC-Eq,0.24577776187712083,kg NMVOC-Eq/ref
Water use,4192.631972802604,m3 world Eq deprived,0.36557140863965687,m3 world Eq deprived/ref
