Impact category,Amount (Normalized),Normalized Unit
Acidification,0.8630453674893785,mol H+-Eq/ref
Climate change,0.110511719299662,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.9727474930997033,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.32774537018794137,"MJ, net calorific value/ref"
Eutrophication: freshwater,2.4089617406445174,kg P-Eq/ref
Eutrophication: marine,0.1308076694377997,kg N-Eq/ref
Eutrophication: terrestrial,0.19540396131706705,mol N-Eq/ref
Human toxicity: carcinogenic,0.28626653473692576,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,3.8695105007554003,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.1863851113483033,kBq U235-Eq/ref
Land use,0.026624914069100697,dimensionless/ref
Material resources: metals/minerals,9.573276459155602,kg Sb-Eq/ref
Ozone depletion,0.00026197561356578733,kg CFC-11-Eq/ref
Particulate matter formation,0.20473365544583588,disease incidence/ref
Photochemical oxidant formation: human health,0.24577776187712083,kg NMVOC-Eq/ref
Water use,0.36557140863965687,m3 world Eq deprived/ref
