Impact category,Amount (Normalized),Normalized Unit
Acidification,0.00035448336384077527,mol H+-Eq/ref
Climate change,0.007431864464183905,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.03429025213770402,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0007399747876923679,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0009759283448450679,kg P-Eq/ref
Eutrophication: marine,0.00038011404424075784,kg N-Eq/ref
Eutrophication: terrestrial,0.0003730066001661381,mol N-Eq/ref
Human toxicity: carcinogenic,0.0005402175542802237,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0012566947063770814,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,8.660574055314443e-05,kBq U235-Eq/ref
Land use,2.3211076645911482e-05,dimensionless/ref
Material resources: metals/minerals,0.0005980563952188402,kg Sb-Eq/ref
Ozone depletion,1.978523408335333e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.0002429135124464599,disease incidence/ref
Photochemical oxidant formation: human health,0.000514087560690221,kg NMVOC-Eq/ref
Water use,0.0036846041226649153,m3 world Eq deprived/ref
