Impact category,Amount (Normalized),Normalized Unit
Acidification,0.001365451920496725,mol H+-Eq/ref
Climate change,0.0002744895445284647,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.0015225274817930606,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.00034628087246899427,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0038197704748085524,kg P-Eq/ref
Eutrophication: marine,0.00025215088814066586,kg N-Eq/ref
Eutrophication: terrestrial,0.0003595335974525409,mol N-Eq/ref
Human toxicity: carcinogenic,0.0004465576463439708,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.005738983414185279,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,3.805326479564891e-05,kBq U235-Eq/ref
Land use,3.347941300154851e-05,dimensionless/ref
Material resources: metals/minerals,0.0141222262170183,kg Sb-Eq/ref
Ozone depletion,0.00011337618949701222,kg CFC-11-Eq/ref
Particulate matter formation,0.0003937631672335202,disease incidence/ref
Photochemical oxidant formation: human health,0.0004706902930858896,kg NMVOC-Eq/ref
Water use,8.188729899866273e-05,m3 world Eq deprived/ref
