Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.07864019918704762,mol H+-Eq,0.0014151673281152196,mol H+-Eq/ref
Climate change,10.671345431120965,kg CO2-Eq,0.0014128462775832096,kg CO2-Eq/ref
Climate change: biogenic,0.02275298803543099,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,10.627976195242276,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.020616247843259158,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,190.86564008232716,CTUe,0.0033652526077317356,CTUe/ref
"Ecotoxicity: freshwater, inorganics",189.65353338886348,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",1.2121066934636804,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,143.08203318254004,"MJ, net calorific value",0.0022011178026012466,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.011435425031285624,kg P-Eq,0.00711666296606829,kg P-Eq/ref
Eutrophication: marine,0.017244543135504116,kg N-Eq,0.0008822912742657086,kg N-Eq/ref
Eutrophication: terrestrial,0.20077839488606733,mol N-Eq,0.001135913525010608,mol N-Eq/ref
Human toxicity: carcinogenic,1.8745391240946836e-08,CTUh,0.0010865066882058574,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.8428757630512477e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.590251547789559e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,2.1533843397613136e-07,CTUh,0.0016727134133119822,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.0634432935331895e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",8.994104622812357e-09,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1.3127004500595896,kBq U235-Eq,0.0003110544139523445,kBq U235-Eq/ref
Land use,64.04946545626639,dimensionless,7.815693407593813e-05,dimensionless/ref
Material resources: metals/minerals,0.005584394398251448,kg Sb-Eq,0.08777373263031468,kg Sb-Eq/ref
Ozone depletion,1.0125009795406853e-07,kg CFC-11-Eq,1.934159035133302e-06,kg CFC-11-Eq/ref
Particulate matter formation,7.074818583878793e-07,disease incidence,0.0011883121812056754,disease incidence/ref
Photochemical oxidant formation: human health,0.06893685769300148,kg NMVOC-Eq,0.001687180892501618,kg NMVOC-Eq/ref
Water use,8.627805466081567,m3 world Eq deprived,0.0007522909280291531,m3 world Eq deprived/ref
