Flow,Amount,Unit,Is input
Water,0.18895407919625615,m3,False
"Transformation, to industrial area",0.001135504783730333,m2,True
"Transformation, to lake, artificial",0.0004922634537494319,m2,True
"Water, turbine use, unspecified natural origin",71.3569474789538,m3,True
"Transformation, from forest, unspecified",0.0005993734911870989,m2,True
"Energy, potential (in hydropower reservoir), converted",9.101320242149182,MJ,True
"Carbon dioxide, from soil or biomass stock",0.020615978682445517,kg,False
Water,72.19272047020134,m3,False
"Methane, non-fossil",0.000837787194496143,kg,False
"Volume occupied, reservoir",0.5837798470752554,m3*a,True
"Occupation, lake, artificial",0.06738182612936149,m2*a,True
Water,1.2369615649125285,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.00023660318765947273,kg,False
"Hydrocarbons, unspecified",1.9693134853930504e-06,kg,False
Cadmium II,2.7203610452128673e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.0846794238138842e-12,kg,False
Selenium IV,2.2588025800304404e-08,kg,False
Chromium VI,1.1616126386438382e-08,kg,False
Vanadium V,2.6723532436511956e-09,kg,False
Copper ion,5.872606142661775e-06,kg,False
"TOC, Total Organic Carbon",0.00014904678504173874,kg,False
Ammonia,0.002003737817621327,kg,False
Arsenic ion,2.171467505031441e-07,kg,False
Chromium III,1.5522759154576918e-07,kg,False
Zinc II,6.866902904050972e-06,kg,False
Nitrogen,8.580426110125296e-07,kg,False
"Water, unspecified natural origin",0.06512286581095011,m3,True
"AOX, Adsorbable Organic Halides",1.669947407932252e-07,kg,False
Benzene,1.1197346548330586e-06,kg,False
Rhodium III,1.1481282807002123e-10,kg,False
Mercury II,4.483633959306066e-09,kg,False
Chloride,0.0008312126537379993,kg,False
Tin ion,3.5852476000185354e-07,kg,False
Formaldehyde,9.182879275153524e-06,kg,False
Nickel II,2.235306256481782e-07,kg,False
Sulfate,0.00033385627971553665,kg,False
Sulfide,1.8531633401880185e-06,kg,False
Selenium IV,5.435157985110306e-09,kg,False
"Suspended solids, unspecified",3.177008160137394e-05,kg,False
Nitrogen oxides,0.015137666762979902,kg,False
Tellurium,1.7608279973199254e-10,kg,False
Platinum,1.1481282807002123e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",4.941780618617261e-10,kg,False
Beryllium II,1.8846452308624873e-09,kg,False
Palladium II,1.1487830078612499e-10,kg,False
Vanadium V,1.1867614547617869e-06,kg,False
Copper ion,1.5607730630298526e-06,kg,False
Antimony ion,3.991488717127988e-07,kg,False
Ammonium,5.499731448381164e-05,kg,False
Cobalt II,7.994558023397652e-08,kg,False
Arsenic ion,7.144941766024151e-09,kg,False
Fluoride,4.40353823853539e-06,kg,False
Barium II,9.176548240752962e-07,kg,False
Hydrogen fluoride,1.158570945929556e-05,kg,False
Lead II,4.048384078145456e-06,kg,False
Hydrochloric acid,0.00012190527283568789,kg,False
Boron,5.331493896567928e-08,kg,False
Chromium III,2.43790677973879e-06,kg,False
Sodium I,0.000273387435528575,kg,False
"NMVOC, non-methane volatile organic compounds",0.0025129754222387958,kg,False
t-Butyl methyl ether,2.6657469482839593e-09,kg,False
Cyanide,7.619299218456158e-06,kg,False
"Heat, waste",0.20344882201099335,MJ,False
Nickel II,7.729424625928701e-07,kg,False
Hydrogen sulfide,0.0001019373759195112,kg,False
Cobalt II,1.876719700898286e-09,kg,False
Mercury II,2.831037048861239e-08,kg,False
Benzene,1.92807781797342e-05,kg,False
"Particulate Matter, < 2.5 um",0.0005815400601877925,kg,False
"Carbon monoxide, fossil",0.005703418848305658,kg,False
Cadmium II,2.4597069042201627e-08,kg,False
"Xylenes, unspecified",2.5504395571864383e-06,kg,False
Dinitrogen monoxide,0.00012635641733743834,kg,False
Toluene,1.1948560226846818e-06,kg,False
"Particulate Matter, > 10 um",0.001589795544005925,kg,False
Thallium I,5.364320963298107e-09,kg,False
Aluminium III,8.571309072337008e-08,kg,False
Nitrate,1.731425748872404e-06,kg,False
"Xylenes, unspecified",3.164743544459095e-08,kg,False
Nitrite,1.256351052962391e-08,kg,False
"BOD5, Biological Oxygen Demand",0.0005841111972032172,kg,False
Molybdenum VI,1.3328734741419817e-09,kg,False
"Heat, waste",0.03368509639173278,MJ,False
Water,0.060093842624910944,m3,False
Benzo(a)pyrene,4.247372722515932e-09,kg,False
"Water, cooling, unspecified natural origin",0.9869755548748519,m3,True
Manganese II,5.307368000902929e-07,kg,False
Zinc II,2.922260069438735e-07,kg,False
Iron ion,1.4466769819848149e-05,kg,False
Manganese II,1.760521027105469e-07,kg,False
Toluene,1.4978240128731835e-07,kg,False
