Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.23210767970144097,mol H+-Eq,0.004176886736220424,mol H+-Eq/ref
Climate change,21.175370370545274,kg CO2-Eq,0.0028035399470081636,kg CO2-Eq/ref
Climate change: biogenic,0.035216259567384306,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,21.100192119745305,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.03996199123258386,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,229.95066203296156,CTUe,0.004054381211423267,CTUe/ref
"Ecotoxicity: freshwater, inorganics",225.77586571352836,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",4.174796319433291,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,281.0902293148269,"MJ, net calorific value",0.004324181688785453,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.020415044121555762,kg P-Eq,0.012704992429493649,kg P-Eq/ref
Eutrophication: marine,0.028069165315626348,kg N-Eq,0.0014361168886469794,kg N-Eq/ref
Eutrophication: terrestrial,0.3068641138630869,mol N-Eq,0.0017360986348918367,mol N-Eq/ref
Human toxicity: carcinogenic,1.743208839643815e-08,CTUh,0.001010385987076848,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.4763207652120703e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",2.6688807443174386e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.5064752131779039e-06,CTUh,0.01170205081079033,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.4127863394792292e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",9.368887369867482e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,2.5496234479265305,kBq U235-Eq,0.000604152780901341,kBq U235-Eq/ref
Land use,85.69523863367324,dimensionless,0.00010457038273156277,dimensionless/ref
Material resources: metals/minerals,0.00314380912575552,kg Sb-Eq,0.049413390596339375,kg Sb-Eq/ref
Ozone depletion,3.794588363041465e-07,kg CFC-11-Eq,7.248721250934275e-06,kg CFC-11-Eq/ref
Particulate matter formation,1.3812937776941354e-06,disease incidence,0.002320071111926149,disease incidence/ref
Photochemical oxidant formation: human health,0.12919621252828709,kg NMVOC-Eq,0.0031619860326681723,kg NMVOC-Eq/ref
Water use,10.68419130559866,m3 world Eq deprived,0.0009315949721082686,m3 world Eq deprived/ref
