Impact category,Amount (Normalized),Normalized Unit
Acidification,0.004176886736220424,mol H+-Eq/ref
Climate change,0.0028035399470081636,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.004054381211423267,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.004324181688785453,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.012704992429493649,kg P-Eq/ref
Eutrophication: marine,0.0014361168886469794,kg N-Eq/ref
Eutrophication: terrestrial,0.0017360986348918367,mol N-Eq/ref
Human toxicity: carcinogenic,0.001010385987076848,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.01170205081079033,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.000604152780901341,kBq U235-Eq/ref
Land use,0.00010457038273156277,dimensionless/ref
Material resources: metals/minerals,0.049413390596339375,kg Sb-Eq/ref
Ozone depletion,7.248721250934275e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.002320071111926149,disease incidence/ref
Photochemical oxidant formation: human health,0.0031619860326681723,kg NMVOC-Eq/ref
Water use,0.0009315949721082686,m3 world Eq deprived/ref
