Flow,Amount,Unit,Is input
Water,0.11208548715220491,m3,False
"Transformation, to industrial area",0.0022739010137840855,m2,True
"Transformation, to lake, artificial",0.0005892017940048959,m2,True
"Water, turbine use, unspecified natural origin",95.56325883736501,m3,True
"Transformation, from forest, unspecified",0.0007612777630703981,m2,True
"Energy, potential (in hydropower reservoir), converted",13.956658087240232,MJ,True
"Carbon dioxide, from soil or biomass stock",0.022378418288935602,kg,False
Water,96.28043200576512,m3,False
"Methane, non-fossil",0.0013031577786055848,kg,False
"Volume occupied, reservoir",0.696669829747778,m3*a,True
"Occupation, lake, artificial",0.07768608874031838,m2*a,True
Water,1.4147366155892496,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.00047903623489622716,kg,False
"Hydrocarbons, unspecified",6.882486288268743e-06,kg,False
Cadmium II,2.1473845810144577e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",8.071976542513028e-12,kg,False
Selenium IV,6.006984348876122e-08,kg,False
Chromium VI,5.9258252606296285e-08,kg,False
Vanadium V,4.451282498104178e-09,kg,False
Copper ion,9.20423473088242e-06,kg,False
"TOC, Total Organic Carbon",0.0013566145212422337,kg,False
Ammonia,0.0038945646350622043,kg,False
Arsenic ion,3.3160832198585406e-07,kg,False
Chromium III,1.0308822971588439e-06,kg,False
Zinc II,1.852205416572746e-05,kg,False
Nitrogen,1.6019822862575135e-06,kg,False
"Water, unspecified natural origin",0.04100394072240797,m3,True
"AOX, Adsorbable Organic Halides",3.9324518510935715e-07,kg,False
Benzene,2.88652022021155e-06,kg,False
Rhodium III,1.9041223003173696e-10,kg,False
Mercury II,2.112265331031486e-08,kg,False
Chloride,0.033115836239278926,kg,False
Tin ion,6.601365842685286e-07,kg,False
Formaldehyde,1.803599262493246e-05,kg,False
Nickel II,1.3671933554217457e-06,kg,False
Sulfate,0.0014816411032097408,kg,False
Sulfide,1.272802366674816e-05,kg,False
Selenium IV,9.110393652257509e-09,kg,False
"Suspended solids, unspecified",0.00014626770787386058,kg,False
Nitrogen oxides,0.02752192799846072,kg,False
Tellurium,3.197694282379835e-10,kg,False
Platinum,1.9041223003173696e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.135295538263607e-09,kg,False
Beryllium II,2.282308556823598e-09,kg,False
Palladium II,1.9405043316378936e-10,kg,False
Vanadium V,1.974214507095158e-06,kg,False
Copper ion,2.3812248266947176e-06,kg,False
Antimony ion,6.843986902145034e-07,kg,False
Ammonium,3.865941069540918e-05,kg,False
Cobalt II,1.8262700224702868e-07,kg,False
Arsenic ion,3.492389870024082e-08,kg,False
Fluoride,1.2204149181547665e-05,kg,False
Barium II,1.1338460455571017e-06,kg,False
Hydrogen fluoride,3.007003070752981e-05,kg,False
Lead II,5.218788265344169e-06,kg,False
Hydrochloric acid,0.00033868704612266266,kg,False
Boron,8.874930050574368e-08,kg,False
Chromium III,3.430076883181157e-05,kg,False
Sodium I,0.020937852772212023,kg,False
"NMVOC, non-methane volatile organic compounds",0.004848779809242451,kg,False
t-Butyl methyl ether,4.4374650252871765e-09,kg,False
Cyanide,5.658984579032707e-06,kg,False
"Heat, waste",0.405531617229077,MJ,False
Nickel II,2.581496164236131e-06,kg,False
Hydrogen sulfide,0.0002786636486242692,kg,False
Cobalt II,4.701767273680782e-09,kg,False
Mercury II,1.1874879013670624e-07,kg,False
Benzene,3.473946706210344e-05,kg,False
"Particulate Matter, < 2.5 um",0.001154820641710747,kg,False
"Carbon monoxide, fossil",0.016662461135781077,kg,False
Cadmium II,1.1778998792374996e-07,kg,False
"Xylenes, unspecified",4.442668155553827e-06,kg,False
Dinitrogen monoxide,0.00016616076908632134,kg,False
Toluene,2.453471065829513e-06,kg,False
"Particulate Matter, > 10 um",0.002296155985023418,kg,False
Thallium I,9.801929117112722e-09,kg,False
Aluminium III,3.454597834840849e-07,kg,False
Nitrate,6.16454401639599e-06,kg,False
"Xylenes, unspecified",1.4679583365705374e-07,kg,False
Nitrite,1.7826978516843293e-08,kg,False
"BOD5, Biological Oxygen Demand",0.004217208906872326,kg,False
Molybdenum VI,2.2187325126435915e-09,kg,False
"Heat, waste",0.056168916845891745,MJ,False
Water,0.06032202888507199,m3,False
Benzo(a)pyrene,1.0293054645245806e-08,kg,False
"Water, cooling, unspecified natural origin",0.7577275175894832,m3,True
Manganese II,1.0061536026932355e-06,kg,False
Zinc II,1.6695927093910325e-06,kg,False
Iron ion,5.567606762433178e-05,kg,False
Manganese II,4.2586756416222e-07,kg,False
Toluene,6.368981517096491e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.5996751385798107e-06,kg,False
Lead II,9.592968562687755e-07,kg,False
Tin ion,2.2340273293428376e-09,kg,False
Phenol,1.853516068641454e-05,kg,False
"Carbon dioxide, fossil",1.8996489157479481,kg,False
"Methane, fossil",0.00011730672116243377,kg,False
Phosphorus,2.779140357228698e-07,kg,False
"Carbon dioxide, non-fossil",0.021020508100434966,kg,False
Sulfur dioxide,0.002712380587382702,kg,False
"DOC, Dissolved Organic Carbon",0.0013627516208039084,kg,False
"COD, Chemical Oxygen Demand",0.004233578688138198,kg,False
"Water, well, in ground",0.03371867494194207,m3,True
"DOC, Dissolved Organic Carbon",0.017813584536384753,kg,False
Chloride,0.00825505843724318,kg,False
"COD, Chemical Oxygen Demand",0.009202263600603434,kg,False
Phenol,8.732400596253084e-05,kg,False
Chlorine,1.5143788637957612e-05,kg,False
"Water, river",0.0876399662268302,m3,True
Sodium I,0.036547057255438026,kg,False
"Carbon dioxide, fossil",1.5826758920861057,kg,False
Phenol,1.6423728768724502e-07,kg,False
"TOC, Total Organic Carbon",0.004770312925813402,kg,False
"BOD5, Biological Oxygen Demand",0.003157197826528596,kg,False
Hydrogen,0.002234309878450834,kg,False
Ammonia,6.018180764921114e-05,kg,False
Benzene,4.096334833744449e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.0068715022732666504,kg,False
Nickel II,0.0003243338968372932,kg,False
"PAH, polycyclic aromatic hydrocarbons",9.184330379886233e-06,kg,False
"Carbon dioxide, fossil",8.449442065364316,kg,False
Selenium IV,2.917582684037097e-06,kg,False
Lead II,1.2207190766840687e-07,kg,False
"Methane, fossil",0.03048408013899413,kg,False
Sulfur dioxide,0.16265958929449317,kg,False
Cadmium II,3.5420422431532235e-08,kg,False
Benzo(a)pyrene,2.2424576214193704e-07,kg,False
Dinitrogen monoxide,0.00014904281181722087,kg,False
Copper ion,4.7875015779535784e-05,kg,False
"Carbon monoxide, fossil",0.005221127965216139,kg,False
Zinc II,2.448819619010602e-06,kg,False
