Flow,Amount,Unit,Is input
Water,0.6879833105364497,m3,False
"Transformation, to industrial area",0.010101968342013424,m2,True
"Transformation, to lake, artificial",0.006213286634860992,m2,True
"Water, turbine use, unspecified natural origin",647.1010759196646,m3,True
"Transformation, from forest, unspecified",0.003935889674192747,m2,True
"Energy, potential (in hydropower reservoir), converted",98.16291822757195,MJ,True
"Carbon dioxide, from soil or biomass stock",0.22136320007437113,kg,False
Water,651.9344163130087,m3,False
"Methane, non-fossil",0.03650016818078234,kg,False
"Volume occupied, reservoir",5.409871437702227,m3*a,True
"Occupation, lake, artificial",0.7273911656743912,m2*a,True
Water,9.183063818132574,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.008906629519209588,kg,False
"Hydrocarbons, unspecified",2.9895528944322232e-05,kg,False
Cadmium II,2.3601862655291562e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",9.297170766612697e-10,kg,False
Selenium IV,2.451138729944731e-07,kg,False
Chromium VI,7.885878381139846e-08,kg,False
Vanadium V,3.253561854486546e-08,kg,False
Copper ion,5.4665195906575975e-05,kg,False
"TOC, Total Organic Carbon",0.0003494878236292639,kg,False
Ammonia,0.0028781227094925137,kg,False
Arsenic ion,1.8230198014296885e-06,kg,False
Chromium III,1.0206704082706152e-06,kg,False
Zinc II,6.079274889349444e-05,kg,False
Nitrogen,1.1747568213066847e-05,kg,False
"Water, unspecified natural origin",0.3831391665197329,m3,True
"AOX, Adsorbable Organic Halides",7.127022595038351e-07,kg,False
Benzene,1.888207579786007e-06,kg,False
Rhodium III,1.2610283122347813e-09,kg,False
Mercury II,2.9547803249478842e-08,kg,False
Chloride,0.016162490422443426,kg,False
Tin ion,3.417948130922285e-06,kg,False
Formaldehyde,3.287887825093265e-05,kg,False
Nickel II,1.478440301225246e-06,kg,False
Sulfate,0.0030799403061132174,kg,False
Sulfide,5.4350903537664275e-06,kg,False
Selenium IV,8.459853834708047e-08,kg,False
"Suspended solids, unspecified",0.0016334153214296544,kg,False
Nitrogen oxides,0.05966515319074351,kg,False
Tellurium,2.1368340540466035e-09,kg,False
Platinum,1.2610283122347813e-09,kg,False
