Impact category,Amount (Normalized),Normalized Unit
Acidification,0.002890649071870077,mol H+-Eq/ref
Climate change,0.0027183741461705995,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.006950714404177854,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.004246771190972909,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.012867958663090132,kg P-Eq/ref
Eutrophication: marine,0.0013691950348760963,kg N-Eq/ref
Eutrophication: terrestrial,0.001607016974235522,mol N-Eq/ref
Human toxicity: carcinogenic,0.000786952744973221,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.004953213340111248,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0005162359262399991,kBq U235-Eq/ref
Land use,0.00010086888396910429,dimensionless/ref
Material resources: metals/minerals,0.07753077663434217,kg Sb-Eq/ref
Ozone depletion,1.2998652267337639e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.001969138882355247,disease incidence/ref
Photochemical oxidant formation: human health,0.002836130887655944,kg NMVOC-Eq/ref
Water use,0.000641114985587275,m3 world Eq deprived/ref
