Flow,Amount,Unit,Is input
Water,11.217893093614238,m3,False
"Transformation, to industrial area",0.1056227015454921,m2,True
"Transformation, to lake, artificial",0.03097347175858646,m2,True
"Water, turbine use, unspecified natural origin",8394.11784690122,m3,True
"Transformation, from forest, unspecified",0.042925495439771276,m2,True
"Energy, potential (in hydropower reservoir), converted",1589.5076238616334,MJ,True
"Carbon dioxide, from soil or biomass stock",1.165007840620255,kg,False
Water,8426.46358410889,m3,False
"Methane, non-fossil",0.06978174660806329,kg,False
"Volume occupied, reservoir",53.69705808985757,m3*a,True
"Occupation, lake, artificial",4.0683650485128116,m2*a,True
Water,103.89277835225003,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.038258313861851884,kg,False
"Hydrocarbons, unspecified",0.00026302923648137454,kg,False
Cadmium II,5.925645820215667e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.009543656786424e-10,kg,False
Selenium IV,5.401706346058334e-06,kg,False
Chromium VI,1.2960565296592518e-06,kg,False
Vanadium V,3.392591736315301e-07,kg,False
Copper ion,0.0010815321699601272,kg,False
"TOC, Total Organic Carbon",0.00581105791846561,kg,False
Ammonia,0.6693593139184514,kg,False
Arsenic ion,4.682387720599958e-05,kg,False
Chromium III,7.923300762945392e-05,kg,False
Zinc II,0.0004950698234929332,kg,False
Nitrogen,0.00014224373185493694,kg,False
"Water, unspecified natural origin",1.027270444496988,m3,True
"AOX, Adsorbable Organic Halides",2.2478788808826713e-05,kg,False
Benzene,0.0002577677641799031,kg,False
Rhodium III,1.3156960819112336e-08,kg,False
Mercury II,7.602426714495923e-07,kg,False
Chloride,0.0726843684438925,kg,False
Tin ion,4.7755998587552416e-05,kg,False
Formaldehyde,0.0008206607166750049,kg,False
Nickel II,8.77954398590113e-05,kg,False
Sulfate,0.08416880101906242,kg,False
Sulfide,0.0001571003952188352,kg,False
Selenium IV,6.953658807389017e-07,kg,False
"Suspended solids, unspecified",0.00925882298870117,kg,False
Nitrogen oxides,4.293388198093855,kg,False
Tellurium,1.9845995561589706e-08,kg,False
Platinum,1.3156960819112336e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",5.060139035016088e-08,kg,False
Beryllium II,1.4088940035655154e-07,kg,False
Palladium II,1.3173011774162933e-08,kg,False
Vanadium V,0.00013739880040363075,kg,False
Copper ion,0.00017693653274931348,kg,False
Antimony ion,5.790499673568174e-05,kg,False
Ammonium,0.0018072209501752126,kg,False
Cobalt II,2.9639569446062128e-05,kg,False
Arsenic ion,6.85758915290963e-07,kg,False
Fluoride,0.0008315666484614856,kg,False
Barium II,2.4786140069048092e-05,kg,False
Hydrogen fluoride,0.0010319443131487,kg,False
Lead II,0.0005101164281036716,kg,False
Hydrochloric acid,0.0032451816753432806,kg,False
Boron,6.747606537853286e-06,kg,False
Chromium III,0.008398705666823781,kg,False
Sodium I,0.020478483408388207,kg,False
"NMVOC, non-methane volatile organic compounds",0.8229730802482028,kg,False
t-Butyl methyl ether,3.3738032689266376e-07,kg,False
Cyanide,0.00014300124295233335,kg,False
"Heat, waste",23.324013526703915,MJ,False
Nickel II,0.00041236432997003277,kg,False
Hydrogen sulfide,0.0026633274378716097,kg,False
Cobalt II,3.8660474112417003e-07,kg,False
Mercury II,6.821853848516652e-06,kg,False
Benzene,0.0017744350822746528,kg,False
"Particulate Matter, < 2.5 um",0.10689627910163611,kg,False
"Carbon monoxide, fossil",1.235589549947102,kg,False
Cadmium II,3.4455663651374366e-06,kg,False
"Xylenes, unspecified",0.0003664875938014833,kg,False
Dinitrogen monoxide,0.008851929314139443,kg,False
Toluene,0.0005176194082650825,kg,False
"Particulate Matter, > 10 um",0.12168423353008888,kg,False
Thallium I,5.50597770357411e-07,kg,False
Aluminium III,5.1209999061633997e-05,kg,False
Nitrate,0.00025251065880726455,kg,False
"Xylenes, unspecified",1.6106586831996034e-06,kg,False
Nitrite,1.1893920647413082e-06,kg,False
"BOD5, Biological Oxygen Demand",0.01793693213878798,kg,False
Molybdenum VI,1.6869016344633207e-07,kg,False
"Heat, waste",3.864447675390575,MJ,False
Water,4.679990428199559,m3,False
Benzo(a)pyrene,7.472545457465257e-07,kg,False
"Water, cooling, unspecified natural origin",40.289793947146435,m3,True
Manganese II,5.199588290957318e-05,kg,False
Zinc II,0.00010646782030292259,kg,False
Iron ion,0.0043759650381599065,kg,False
Manganese II,1.4141802752883668e-05,kg,False
Toluene,9.965359540716176e-05,kg,False
"PAH, polycyclic aromatic hydrocarbons",8.303690414639038e-05,kg,False
Lead II,7.586991338874276e-05,kg,False
Tin ion,1.6906267080154384e-07,kg,False
Phenol,2.74087934924805e-05,kg,False
"Carbon dioxide, fossil",103.02069624191034,kg,False
"Methane, fossil",0.004375516418192158,kg,False
Phosphorus,3.493495615444026e-05,kg,False
"Carbon dioxide, non-fossil",1.668130412914573,kg,False
Sulfur dioxide,0.20981020247724275,kg,False
"DOC, Dissolved Organic Carbon",0.005597419714683319,kg,False
"COD, Chemical Oxygen Demand",0.021215178850803616,kg,False
"Water, well, in ground",1.0202621915406749,m3,True
"DOC, Dissolved Organic Carbon",1.0201924904294581,kg,False
Chloride,0.4911842919058705,kg,False
"COD, Chemical Oxygen Demand",0.3278296424071275,kg,False
Phenol,0.00013933520361166928,kg,False
Chlorine,0.000682960533127513,kg,False
"Water, river",12.53256442985249,m3,True
Sodium I,2.4473444006444534,kg,False
"Carbon dioxide, fossil",105.9232186851422,kg,False
