Flow,Amount,Unit,Is input
Water,0.01383615215813094,m3,False
"Transformation, to industrial area",0.0003490880168151519,m2,True
"Transformation, to lake, artificial",6.350817281542641e-05,m2,True
"Water, turbine use, unspecified natural origin",12.066378522801802,m3,True
"Transformation, from forest, unspecified",8.768109177005712e-05,m2,True
"Energy, potential (in hydropower reservoir), converted",1.9771042316186331,MJ,True
"Carbon dioxide, from soil or biomass stock",0.0023921875104159222,kg,False
Water,12.137194791784076,m3,False
"Methane, non-fossil",0.0001847434829549212,kg,False
"Volume occupied, reservoir",0.08688445503966062,m3*a,True
"Occupation, lake, artificial",0.008348158649523221,m2*a,True
Water,0.1636502083369698,m3,False
"Particulate Matter, > 2.5 um and < 10um",6.839386226648832e-05,kg,False
"Hydrocarbons, unspecified",4.3337999530023434e-07,kg,False
Cadmium II,1.0129428895219667e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",9.688592682631959e-13,kg,False
Selenium IV,7.667289466717782e-09,kg,False
Chromium VI,4.0486137253521995e-09,kg,False
Vanadium V,5.593636410575277e-10,kg,False
Copper ion,1.2839418650384668e-06,kg,False
"TOC, Total Organic Carbon",0.0003126697810565792,kg,False
Ammonia,0.000670584817379119,kg,False
Arsenic ion,4.584711724916452e-08,kg,False
Chromium III,9.172963307699014e-08,kg,False
Zinc II,7.241492413544442e-07,kg,False
Nitrogen,2.20116271801656e-07,kg,False
"Water, unspecified natural origin",0.0028597825886404115,m3,True
"AOX, Adsorbable Organic Halides",4.982080338923514e-08,kg,False
Benzene,3.2641724640583667e-07,kg,False
Rhodium III,2.4398804204428947e-11,kg,False
Mercury II,1.576600722180459e-09,kg,False
Chloride,0.009106417166655912,kg,False
Tin ion,1.0046150106085234e-07,kg,False
Formaldehyde,2.753962685873317e-06,kg,False
Nickel II,1.1481791337889967e-07,kg,False
Sulfate,0.0001212165026554461,kg,False
Sulfide,1.6745602923573602e-06,kg,False
Selenium IV,1.1479362001658843e-09,kg,False
"Suspended solids, unspecified",1.1743846744447345e-05,kg,False
Nitrogen oxides,0.004258793321998384,kg,False
Tellurium,3.8924270544317396e-11,kg,False
Platinum,2.4398804204428947e-11,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.4389146483135526e-10,kg,False
Beryllium II,2.360901293187875e-10,kg,False
Palladium II,2.4423085025790734e-11,kg,False
Vanadium V,2.504773153141542e-07,kg,False
Copper ion,1.9787559432201151e-07,kg,False
Antimony ion,1.0247095219165369e-07,kg,False
Ammonium,1.7851130445093552e-06,kg,False
Cobalt II,3.0151492962273746e-08,kg,False
Arsenic ion,2.4272215121916106e-09,kg,False
Fluoride,1.6702245642482603e-06,kg,False
Barium II,1.1753934059718347e-07,kg,False
Hydrogen fluoride,3.6976934045773177e-06,kg,False
Lead II,5.634134676846611e-07,kg,False
Hydrochloric acid,5.742172373347915e-05,kg,False
Boron,1.1143615641183106e-08,kg,False
Chromium III,7.541399214588188e-06,kg,False
Sodium I,0.005686511849327377,kg,False
"NMVOC, non-methane volatile organic compounds",0.0007582670404327642,kg,False
t-Butyl methyl ether,5.571807820591547e-10,kg,False
Cyanide,2.3230076360158228e-07,kg,False
"Heat, waste",0.046883248912949746,MJ,False
Nickel II,4.4282758237367665e-07,kg,False
Hydrogen sulfide,3.777851912661993e-05,kg,False
Cobalt II,3.4416877213754447e-10,kg,False
Mercury II,1.1966474773836317e-08,kg,False
Benzene,5.618676702842758e-06,kg,False
"Particulate Matter, < 2.5 um",0.0001311039872586482,kg,False
"Carbon monoxide, fossil",0.001763327587238203,kg,False
Cadmium II,8.266057743446285e-09,kg,False
"Xylenes, unspecified",5.720881258282438e-07,kg,False
Dinitrogen monoxide,1.6523628462862447e-05,kg,False
Toluene,3.5951211879610925e-07,kg,False
"Particulate Matter, > 10 um",0.00023231367797819894,kg,False
Thallium I,1.2878533824070276e-09,kg,False
Aluminium III,2.405479417197296e-08,kg,False
Nitrate,8.197614778019254e-07,kg,False
"Xylenes, unspecified",1.6737514141466223e-08,kg,False
Nitrite,2.1242280284681148e-09,kg,False
"BOD5, Biological Oxygen Demand",0.000947518212951038,kg,False
Molybdenum VI,2.7859039102957764e-10,kg,False
"Heat, waste",0.007173156415783063,MJ,False
Water,0.006695625054119282,m3,False
Benzo(a)pyrene,1.2550373116228372e-09,kg,False
"Water, cooling, unspecified natural origin",0.07907657342985945,m3,True
Manganese II,9.174098227744424e-08,kg,False
Zinc II,1.444927642784032e-07,kg,False
Iron ion,6.0729991431659305e-06,kg,False
Manganese II,2.9033980429468962e-08,kg,False
Toluene,7.655475585797562e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.9216662877130463e-07,kg,False
Lead II,8.58753820974614e-08,kg,False
Tin ion,2.8175203910863475e-10,kg,False
Phenol,4.954292425480764e-06,kg,False
"Carbon dioxide, fossil",0.217039775769984,kg,False
"Methane, fossil",7.880963176456184e-06,kg,False
Phosphorus,2.876940794777409e-08,kg,False
"Carbon dioxide, non-fossil",0.0031961001454529022,kg,False
Sulfur dioxide,0.00035161366321126496,kg,False
"DOC, Dissolved Organic Carbon",0.00031420133381525496,kg,False
"COD, Chemical Oxygen Demand",0.0009489555657804189,kg,False
"Water, well, in ground",0.0022937043141633595,m3,True
"DOC, Dissolved Organic Carbon",0.001983551955908312,kg,False
Chloride,0.0009014625713495282,kg,False
"COD, Chemical Oxygen Demand",0.0006298561329311258,kg,False
Phenol,2.4087396678574792e-05,kg,False
Chlorine,1.8469925725267512e-06,kg,False
"Water, river",0.013163558958051314,m3,True
Sodium I,0.00433465920234047,kg,False
"Carbon dioxide, fossil",0.19735122312781256,kg,False
Phenol,1.9827549662611725e-08,kg,False
"TOC, Total Organic Carbon",0.0004373347063777671,kg,False
"BOD5, Biological Oxygen Demand",0.0002809522705481943,kg,False
Hydrogen,0.0004923395481527955,kg,False
Ammonia,6.9430553118224655e-06,kg,False
Benzene,4.517992704227381e-06,kg,False
"NMVOC, non-methane volatile organic compounds",0.0008031891638130118,kg,False
Nickel II,7.99848535072395e-05,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.109423768947874e-06,kg,False
"Carbon dioxide, fossil",0.8671050644581875,kg,False
Selenium IV,3.22216515315825e-07,kg,False
Lead II,1.405104279558688e-08,kg,False
"Methane, fossil",0.003320937399390731,kg,False
Sulfur dioxide,0.0283955648779377,kg,False
