Impact category,Amount (Normalized),Normalized Unit
Acidification,1.6462355432536372e-05,mol H+-Eq/ref
Climate change,2.0639805529532827e-05,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,1.0976015368816982e-05,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,3.0916367660782393e-05,"MJ, net calorific value/ref"
Eutrophication: freshwater,4.6953107406978435e-05,kg P-Eq/ref
Eutrophication: marine,8.72045450094413e-06,kg N-Eq/ref
Eutrophication: terrestrial,1.1327293245288277e-05,mol N-Eq/ref
Human toxicity: carcinogenic,3.321377094789538e-06,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,3.6793608509975486e-05,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,4.40792208299487e-06,kBq U235-Eq/ref
Land use,1.1489217799016927e-06,dimensionless/ref
Material resources: metals/minerals,2.564700432226109e-05,kg Sb-Eq/ref
Ozone depletion,2.099001920655467e-08,kg CFC-11-Eq/ref
Particulate matter formation,1.612460726696095e-05,disease incidence/ref
Photochemical oxidant formation: human health,1.2368262516961554e-05,kg NMVOC-Eq/ref
Water use,3.460004198427269e-06,m3 world Eq deprived/ref
