Flow,Amount,Unit,Is input
Water,0.0008651621604747546,m3,False
"Transformation, to industrial area",4.776670997758912e-05,m2,True
"Transformation, to lake, artificial",8.166505709853418e-06,m2,True
"Water, turbine use, unspecified natural origin",1.0917174398736225,m3,True
"Transformation, from forest, unspecified",8.89610546512769e-06,m2,True
"Energy, potential (in hydropower reservoir), converted",0.13533512628999253,MJ,True
"Carbon dioxide, from soil or biomass stock",0.000306315491985198,kg,False
Water,1.1015420466578945,m3,False
"Methane, non-fossil",1.595919750542453e-05,kg,False
"Volume occupied, reservoir",0.00931587623783999,m3*a,True
"Occupation, lake, artificial",0.001106363559082743,m2*a,True
Water,0.01635903763747565,m3,False
"Particulate Matter, > 2.5 um and < 10um",5.8516204507278074e-06,kg,False
"Hydrocarbons, unspecified",2.5683861572574846e-08,kg,False
Cadmium II,9.233539683399785e-10,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.7634015933847864e-14,kg,False
Selenium IV,2.578540964399503e-10,kg,False
Chromium VI,2.4400008621102483e-10,kg,False
Vanadium V,2.4539126405035572e-11,kg,False
Copper ion,3.823614248346073e-08,kg,False
"TOC, Total Organic Carbon",4.7379350468662504e-07,kg,False
Ammonia,2.5000136238906117e-05,kg,False
Arsenic ion,8.623941136834423e-10,kg,False
Chromium III,2.8719758235003937e-09,kg,False
Zinc II,3.581023754490019e-08,kg,False
Nitrogen,8.21256374074232e-09,kg,False
"Water, unspecified natural origin",0.00014358191658209347,m3,True
"AOX, Adsorbable Organic Halides",1.3689558293712214e-09,kg,False
Benzene,6.6380991903211446e-09,kg,False
Rhodium III,9.67976866639561e-13,kg,False
Mercury II,8.650610503778926e-11,kg,False
Chloride,6.137396547608017e-06,kg,False
Tin ion,5.5474403157869915e-09,kg,False
Formaldehyde,1.6148352693908763e-07,kg,False
Nickel II,4.058049701772815e-09,kg,False
Sulfate,4.076597385993986e-06,kg,False
Sulfide,1.8431294393898047e-08,kg,False
Selenium IV,5.0215071543554016e-11,kg,False
"Suspended solids, unspecified",5.36533392721401e-07,kg,False
Nitrogen oxides,7.000016597539782e-05,kg,False
Tellurium,1.6983828549737065e-12,kg,False
Platinum,9.67976866639561e-13,kg,False
"PAH, polycyclic aromatic hydrocarbons",6.6605695411875735e-12,kg,False
Beryllium II,1.8592594769586562e-11,kg,False
Palladium II,9.685630723596734e-13,kg,False
Vanadium V,9.96135731540238e-09,kg,False
Copper ion,7.056488094460379e-09,kg,False
Antimony ion,4.68810666878606e-09,kg,False
Ammonium,1.587450211003684e-08,kg,False
Cobalt II,4.5589910820759403e-10,kg,False
Arsenic ion,1.4495671442090862e-10,kg,False
Fluoride,6.15664666814e-08,kg,False
Barium II,3.3702914135535665e-09,kg,False
Hydrogen fluoride,1.8478086247724946e-07,kg,False
Lead II,1.7454132327971383e-08,kg,False
Hydrochloric acid,1.0318611221267313e-05,kg,False
Boron,4.894372956255085e-10,kg,False
Chromium III,2.4260174453479043e-08,kg,False
Sodium I,3.6428533071171243e-06,kg,False
"NMVOC, non-methane volatile organic compounds",1.1202220383040402e-05,kg,False
t-Butyl methyl ether,2.4471864781275395e-11,kg,False
Cyanide,9.767792195831958e-09,kg,False
"Heat, waste",0.0024100692878888555,MJ,False
Nickel II,7.066879047733736e-09,kg,False
Hydrogen sulfide,3.3733198847544195e-07,kg,False
Cobalt II,1.3834729383339412e-11,kg,False
Mercury II,4.542506382247208e-10,kg,False
Benzene,6.928474121024921e-07,kg,False
"Particulate Matter, < 2.5 um",4.46356169063762e-06,kg,False
"Carbon monoxide, fossil",6.105718301706635e-05,kg,False
Cadmium II,4.934885729040944e-10,kg,False
"Xylenes, unspecified",2.7032595480487252e-08,kg,False
Dinitrogen monoxide,2.0203158228135882e-06,kg,False
Toluene,1.51373407122188e-08,kg,False
"Particulate Matter, > 10 um",2.175294305344428e-05,kg,False
Thallium I,8.623163423367392e-11,kg,False
Aluminium III,1.3211924437642986e-09,kg,False
Nitrate,4.754131460744382e-08,kg,False
"Xylenes, unspecified",1.5630902031291537e-10,kg,False
Nitrite,1.4127681847785998e-10,kg,False
"BOD5, Biological Oxygen Demand",1.7758262779432562e-06,kg,False
Molybdenum VI,1.2235932390637713e-11,kg,False
"Heat, waste",0.0002819056986879109,MJ,False
Water,0.00028824876458027665,m3,False
Benzo(a)pyrene,6.824819367003701e-11,kg,False
"Water, cooling, unspecified natural origin",0.010231007228382084,m3,True
Manganese II,5.0274499996790205e-09,kg,False
Zinc II,5.39020429561471e-09,kg,False
Iron ion,1.8805682849667215e-07,kg,False
Manganese II,1.833592881870551e-09,kg,False
Toluene,1.9147316595769894e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",8.614339064100212e-09,kg,False
Lead II,2.328785194951319e-09,kg,False
Tin ion,1.2266582901692869e-11,kg,False
Phenol,2.8425559348303886e-09,kg,False
"Carbon dioxide, fossil",0.011507471394949554,kg,False
"Methane, fossil",4.1791861749512166e-07,kg,False
Phosphorus,1.0170670179103737e-09,kg,False
"Carbon dioxide, non-fossil",0.00026459760404862616,kg,False
Sulfur dioxide,1.3723453037019234e-05,kg,False
"DOC, Dissolved Organic Carbon",4.7312278213743684e-07,kg,False
"COD, Chemical Oxygen Demand",1.8770086400367066e-06,kg,False
"Water, well, in ground",0.0002259847741029095,m3,True
"DOC, Dissolved Organic Carbon",0.00015594094158257295,kg,False
Chloride,5.7416214506834476e-05,kg,False
"COD, Chemical Oxygen Demand",3.503079611610831e-05,kg,False
Phenol,2.317926743796732e-08,kg,False
Chlorine,1.0417253147660475e-06,kg,False
"Water, river",0.0004532693060629783,m3,True
Sodium I,0.00030648058071151076,kg,False
"Carbon dioxide, fossil",0.009764916997772656,kg,False
Phenol,1.1510037676166551e-09,kg,False
"TOC, Total Organic Carbon",2.9987137658296088e-05,kg,False
"BOD5, Biological Oxygen Demand",9.078213854166651e-06,kg,False
Hydrogen,1.6307194719351294e-06,kg,False
Ammonia,7.320151606758381e-07,kg,False
Benzene,5.268533038588688e-07,kg,False
"NMVOC, non-methane volatile organic compounds",5.5398172318637495e-05,kg,False
Nickel II,1.951124987397051e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.326387566096824e-07,kg,False
"Carbon dioxide, fossil",0.1219804838840054,kg,False
Selenium IV,1.647437355989824e-08,kg,False
Lead II,7.812075718434353e-10,kg,False
"Methane, fossil",0.00032454835087982365,kg,False
Sulfur dioxide,0.0003487127729667999,kg,False
Cadmium II,2.1555207743464226e-10,kg,False
Benzo(a)pyrene,9.50891123233057e-10,kg,False
Dinitrogen monoxide,2.0657587777360696e-06,kg,False
Copper ion,3.644860237136155e-08,kg,False
"Carbon monoxide, fossil",4.464192108953799e-05,kg,False
Zinc II,1.861229976909227e-08,kg,False
"Particulate Matter, < 2.5 um",0.00014920696383645009,kg,False
Cadmium II,3.169535566912114e-08,kg,False
Chromium III,8.436245718973569e-08,kg,False
Nitrogen oxides,0.00028557129683111343,kg,False
Zinc II,1.2879001186844236e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.653176609235271e-15,kg,False
Dinitrogen monoxide,6.073417305870216e-07,kg,False
"Carbon monoxide, fossil",8.31970358698623e-06,kg,False
Sulfur dioxide,5.643054775285395e-05,kg,False
"NMVOC, non-methane volatile organic compounds",1.9155728246908795e-06,kg,False
"Methane, fossil",9.117304133310063e-07,kg,False
Nitrogen oxides,3.1345871864327844e-05,kg,False
Oxygen,0.005646965279835104,kg,True
"Heat, waste",0.026226094637321014,MJ,False
Mercury II,4.910228881871726e-10,kg,False
Non-hazardous waste disposed,0.40189721173641807,kg,False
"Occupation, dump site",0.0009455370979333599,m2*a,True
"Transformation, from unspecified",6.189018374670339e-05,m2,True
"Transformation, to dump site",7.958827023447793e-06,m2,True
Sulfur hexafluoride,3.028354615113781e-08,kg,False
"Particulate Matter, > 10 um",0.00025236188594643714,kg,False
Nickel II,1.8784893466354167e-08,kg,False
"COD, Chemical Oxygen Demand",3.339659992256775e-07,kg,False
Sulfate,0.0002325323044176805,kg,False
Manganese II,4.1971259365703496e-07,kg,False
"DOC, Dissolved Organic Carbon",3.3603895609728915e-07,kg,False
"TOC, Total Organic Carbon",3.3603895609728915e-07,kg,False
Iron ion,2.7332019095444507e-05,kg,False
Chromium III,7.46453390087064e-11,kg,False
