Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,3.6213967593664202,mol H+-Eq,0.06516873595154603,mol H+-Eq/ref
Climate change,355.6879291425512,kg CO2-Eq,0.04709175332332445,kg CO2-Eq/ref
Climate change: biogenic,1.4328877625388536,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,353.53391139542026,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.7211299845920539,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,5309.882615547444,CTUe,0.09362133651197181,CTUe/ref
"Ecotoxicity: freshwater, inorganics",5046.2358238554525,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",263.6467916919894,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,4411.879933719034,"MJ, net calorific value",0.06787062812183459,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.32283806316527025,kg P-Eq,0.20091336193274795,kg P-Eq/ref
Eutrophication: marine,0.46063324703918,kg N-Eq,0.023567611580419423,kg N-Eq/ref
Eutrophication: terrestrial,4.991911035839302,mol N-Eq,0.02824197924521342,mol N-Eq/ref
Human toxicity: carcinogenic,3.2344982653702366e-07,CTUh,0.018747562817672606,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.9603256524090552e-07,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.2741726129611817e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.806035296940236e-05,CTUh,0.14028984098777622,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.70576560841632e-05,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.0026968852391578e-06,CTUh,0.0,CTUh/ref
Ionising radiation: human health,30.925670060503286,kBq U235-Eq,0.007328074105799796,kBq U235-Eq/ref
Land use,1575.4907047004267,dimensionless,0.0019225066480625464,dimensionless/ref
Material resources: metals/minerals,0.05613019059225273,kg Sb-Eq,0.8822364593510144,kg Sb-Eq/ref
Ozone depletion,3.1811953788961586e-05,kg CFC-11-Eq,0.0006076969710594802,kg CFC-11-Eq/ref
Particulate matter formation,3.065406193871005e-05,disease incidence,0.051487673886376054,disease incidence/ref
Photochemical oxidant formation: human health,1.8552001479532767,kg NMVOC-Eq,0.045404713039461746,kg NMVOC-Eq/ref
Water use,124.1186033792143,m3 world Eq deprived,0.010822369568821334,m3 world Eq deprived/ref
