Flow,Amount,Unit,Is input
Water,0.2903751657499542,m3,False
"Transformation, to industrial area",0.0016289430510921668,m2,True
"Transformation, to lake, artificial",0.0019289129490396113,m2,True
"Water, turbine use, unspecified natural origin",247.00395478335352,m3,True
"Transformation, from forest, unspecified",0.0021862023589963153,m2,True
"Energy, potential (in hydropower reservoir), converted",32.65250629093865,MJ,True
"Carbon dioxide, from soil or biomass stock",0.07604092422460904,kg,False
Water,249.52813185032775,m3,False
"Methane, non-fossil",0.0022475709532662836,kg,False
"Volume occupied, reservoir",2.1723329253744197,m3*a,True
"Occupation, lake, artificial",0.25804318861428815,m2*a,True
Water,4.90143907637246,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0009286704524348906,kg,False
"Hydrocarbons, unspecified",4.686180325799208e-05,kg,False
Cadmium II,1.8281920838486324e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",6.464197442926946e-11,kg,False
Selenium IV,7.381109211988034e-08,kg,False
Chromium VI,3.599318048721554e-08,kg,False
Vanadium V,9.817293669052055e-09,kg,False
Copper ion,8.23263663253083e-06,kg,False
"TOC, Total Organic Carbon",0.001762811780589343,kg,False
Ammonia,0.0015977938230720072,kg,False
Arsenic ion,2.2750634172660344e-07,kg,False
Chromium III,8.096197696361991e-07,kg,False
Zinc II,6.478033667589836e-06,kg,False
Nitrogen,4.414415788141152e-06,kg,False
"Water, unspecified natural origin",0.14569076991549948,m3,True
"AOX, Adsorbable Organic Halides",2.9629549864913484e-06,kg,False
Benzene,1.822138709161827e-05,kg,False
Rhodium III,3.928687241349901e-10,kg,False
Mercury II,1.4941709888222828e-08,kg,False
Chloride,0.022530369051028613,kg,False
Tin ion,7.207113090130341e-07,kg,False
Formaldehyde,9.631793617235481e-06,kg,False
Nickel II,1.0327543360781318e-06,kg,False
Sulfate,0.006922353240665379,kg,False
Sulfide,3.196914710105792e-05,kg,False
Selenium IV,2.0984434544601382e-08,kg,False
"Suspended solids, unspecified",0.00023954100061037925,kg,False
Nitrogen oxides,0.017619272227578222,kg,False
Tellurium,6.054898935369101e-10,kg,False
Platinum,3.928687241349901e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",9.524181681364296e-09,kg,False
Beryllium II,2.1247720325673362e-09,kg,False
Palladium II,3.99599219650484e-10,kg,False
Vanadium V,3.94665535313882e-06,kg,False
Copper ion,1.7492662399639497e-06,kg,False
Antimony ion,9.228701322083472e-07,kg,False
Ammonium,6.293536329159884e-05,kg,False
Cobalt II,1.7129324905054095e-07,kg,False
Arsenic ion,2.6429147329307803e-08,kg,False
Fluoride,9.349911815650171e-05,kg,False
Barium II,2.051839855006124e-06,kg,False
Hydrogen fluoride,0.00016266681201382188,kg,False
Lead II,3.6702196588586436e-06,kg,False
Hydrochloric acid,7.579680084211938e-05,kg,False
Boron,1.9548776836828158e-07,kg,False
Chromium III,1.8000548957089923e-05,kg,False
Sodium I,0.014856806734538945,kg,False
"NMVOC, non-methane volatile organic compounds",0.0031218636021104916,kg,False
t-Butyl methyl ether,9.774388418414065e-09,kg,False
Cyanide,3.156645499746988e-06,kg,False
"Heat, waste",0.7090803791533913,MJ,False
Nickel II,2.9403023347322878e-06,kg,False
Hydrogen sulfide,0.0007443188607351893,kg,False
Cobalt II,7.181382371883143e-08,kg,False
Mercury II,1.3541833995863823e-07,kg,False
Benzene,6.878141594836687e-05,kg,False
"Particulate Matter, < 2.5 um",0.0011817705076774894,kg,False
"Carbon monoxide, fossil",0.012696767043054173,kg,False
Cadmium II,7.368749274693302e-08,kg,False
"Xylenes, unspecified",1.159601585829566e-05,kg,False
Dinitrogen monoxide,0.00046066042399160224,kg,False
Toluene,6.42298442889454e-06,kg,False
"Particulate Matter, > 10 um",0.005526553750256884,kg,False
Thallium I,1.6004051883551792e-08,kg,False
Aluminium III,4.197643049633566e-07,kg,False
Nitrate,1.613369699783045e-05,kg,False
"Xylenes, unspecified",4.542952453969214e-07,kg,False
Nitrite,4.4507811999200894e-08,kg,False
"BOD5, Biological Oxygen Demand",0.0063019289190990825,kg,False
Molybdenum VI,4.887194209207038e-09,kg,False
"Heat, waste",0.11886584265015608,MJ,False
Water,0.19133618407740358,m3,False
Benzo(a)pyrene,2.2963163037445365e-08,kg,False
"Water, cooling, unspecified natural origin",2.6953722059064145,m3,True
Manganese II,9.171848464487364e-07,kg,False
Zinc II,1.4774708159274206e-06,kg,False
Iron ion,5.531075856744693e-05,kg,False
Manganese II,3.167107903524406e-07,kg,False
Toluene,1.984022975844141e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.0771696892414843e-05,kg,False
Lead II,7.715576605835569e-07,kg,False
Tin ion,4.939375168688904e-09,kg,False
Phenol,1.929390530934964e-05,kg,False
