Flow,Amount,Unit,Is input
Water,0.08221344503530666,m3,False
"Transformation, to industrial area",0.0006752468445451434,m2,True
"Transformation, to lake, artificial",0.0004554279898825506,m2,True
"Water, turbine use, unspecified natural origin",64.60494919175851,m3,True
"Transformation, from forest, unspecified",0.0005785278633802095,m2,True
"Energy, potential (in hydropower reservoir), converted",8.681918984916797,MJ,True
"Carbon dioxide, from soil or biomass stock",0.019934525453973565,kg,False
Water,65.23197480071983,m3,False
"Methane, non-fossil",0.0006724556527380884,kg,False
"Volume occupied, reservoir",0.5172183960695517,m3*a,True
"Occupation, lake, artificial",0.06135492919822636,m2*a,True
Water,1.197926928517493,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0001972489481535704,kg,False
"Hydrocarbons, unspecified",8.349289105056446e-06,kg,False
Cadmium II,1.620326801670359e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.2658031069660586e-12,kg,False
Selenium IV,2.7171501085036645e-08,kg,False
Chromium VI,1.50953285230015e-08,kg,False
Vanadium V,2.938946422215175e-09,kg,False
Copper ion,4.606901264583189e-06,kg,False
"TOC, Total Organic Carbon",0.0006504270540477204,kg,False
Ammonia,0.0014781148044268266,kg,False
Arsenic ion,1.7226124876340743e-07,kg,False
Chromium III,5.912141638731969e-07,kg,False
Zinc II,5.365421178966753e-06,kg,False
Nitrogen,1.22377527876278e-06,kg,False
"Water, unspecified natural origin",0.03970406075216506,m3,True
"AOX, Adsorbable Organic Halides",2.1758856993274416e-07,kg,False
Benzene,6.583883563818837e-06,kg,False
Rhodium III,1.286959271289297e-10,kg,False
Mercury II,6.303878538235938e-09,kg,False
Chloride,0.01576953028601434,kg,False
Tin ion,2.6915591285785936e-07,kg,False
Formaldehyde,5.421584028230629e-06,kg,False
Nickel II,6.799395861800529e-07,kg,False
Sulfate,0.0017108797206778702,kg,False
Sulfide,8.092116440833178e-06,kg,False
Selenium IV,5.963987551447273e-09,kg,False
"Suspended solids, unspecified",5.4520203822041466e-05,kg,False
Nitrogen oxides,0.012505301637368831,kg,False
Tellurium,1.9831559015504929e-10,kg,False
Platinum,1.286959271289297e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",5.171973471035754e-10,kg,False
Beryllium II,1.3617317844290861e-09,kg,False
Palladium II,1.3438494039400144e-10,kg,False
Vanadium V,1.3127746111265576e-06,kg,False
Copper ion,1.4858474055849368e-06,kg,False
Antimony ion,3.2295224466867486e-07,kg,False
Ammonium,5.940715458913504e-05,kg,False
Cobalt II,8.732300744594463e-08,kg,False
Arsenic ion,9.71063147638765e-09,kg,False
Fluoride,5.299105375531818e-06,kg,False
Barium II,1.2423819973481138e-06,kg,False
Hydrogen fluoride,1.0803570017623617e-05,kg,False
Lead II,2.8432783737878725e-06,kg,False
Hydrochloric acid,7.259248261917784e-05,kg,False
Boron,5.8667117036458925e-08,kg,False
Chromium III,1.0427573773222142e-05,kg,False
Sodium I,0.008802297707447797,kg,False
"NMVOC, non-methane volatile organic compounds",0.002114003830602951,kg,False
t-Butyl methyl ether,2.93335585182294e-09,kg,False
Cyanide,5.06580536691929e-06,kg,False
"Heat, waste",0.2302941744310063,MJ,False
Nickel II,1.1507350246759315e-06,kg,False
Hydrogen sulfide,0.0001793644549956979,kg,False
Cobalt II,7.740184402893295e-09,kg,False
Mercury II,3.684647075493111e-08,kg,False
Benzene,2.5371928298766603e-05,kg,False
"Particulate Matter, < 2.5 um",0.0005568594358998187,kg,False
"Carbon monoxide, fossil",0.006081587599694249,kg,False
Cadmium II,3.049841752433275e-08,kg,False
"Xylenes, unspecified",2.9821606025965103e-06,kg,False
Dinitrogen monoxide,0.000143609858368314,kg,False
Toluene,1.6717811132737446e-06,kg,False
"Particulate Matter, > 10 um",0.0015963389263608137,kg,False
Thallium I,5.6771199522735724e-09,kg,False
Aluminium III,1.0625276440843575e-07,kg,False
Nitrate,8.979923536447495e-06,kg,False
"Xylenes, unspecified",9.538325357210227e-08,kg,False
Nitrite,1.2555422241408249e-08,kg,False
"BOD5, Biological Oxygen Demand",0.002147634692135815,kg,False
Molybdenum VI,1.466677925911472e-09,kg,False
"Heat, waste",0.038240145264830355,MJ,False
Water,0.04996068657366853,m3,False
Benzo(a)pyrene,4.390285100543919e-09,kg,False
"Water, cooling, unspecified natural origin",0.6569738920565843,m3,True
Manganese II,4.269999488269304e-07,kg,False
Zinc II,8.473818029176286e-07,kg,False
Iron ion,3.3432948912685794e-05,kg,False
Manganese II,1.499725646310517e-07,kg,False
Toluene,4.90534852362772e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",7.200976240644993e-07,kg,False
Lead II,5.733507045099812e-07,kg,False
Tin ion,1.4905133797399621e-09,kg,False
Phenol,8.668979433587506e-06,kg,False
"Carbon dioxide, fossil",0.8975026513482599,kg,False
"Methane, fossil",6.470461802577336e-05,kg,False
Phosphorus,1.870894596945705e-07,kg,False
"Carbon dioxide, non-fossil",0.009002189415978901,kg,False
Sulfur dioxide,0.0014908689530113697,kg,False
"DOC, Dissolved Organic Carbon",0.0006520670248000273,kg,False
"COD, Chemical Oxygen Demand",0.0021603259395594114,kg,False
"Water, well, in ground",0.027900505030470705,m3,True
"DOC, Dissolved Organic Carbon",0.01766553692476015,kg,False
Chloride,0.020330808103566415,kg,False
"COD, Chemical Oxygen Demand",0.019468224736446254,kg,False
Phenol,3.6788399926655656e-05,kg,False
Chlorine,2.7255319865959206e-05,kg,False
"Water, river",0.05128584321950113,m3,True
Sodium I,0.04487202520712665,kg,False
"Carbon dioxide, fossil",1.2970384307736702,kg,False
Phenol,1.7102455460681207e-06,kg,False
"TOC, Total Organic Carbon",0.007576161153360941,kg,False
"BOD5, Biological Oxygen Demand",0.0034289025263114802,kg,False
Hydrogen,0.0009053827570664747,kg,False
Ammonia,3.748872315830785e-05,kg,False
Benzene,2.408783711812039e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.00510308712132298,kg,False
Nickel II,6.533701196515448e-05,kg,False
"PAH, polycyclic aromatic hydrocarbons",5.423268819123008e-06,kg,False
"Carbon dioxide, fossil",6.936594205393362,kg,False
Selenium IV,1.8518124121132946e-06,kg,False
Lead II,8.785754402002172e-08,kg,False
"Methane, fossil",0.023345496408417547,kg,False
Sulfur dioxide,0.06789012791974106,kg,False
Cadmium II,1.3397988407283505e-08,kg,False
Benzo(a)pyrene,7.109164566726676e-08,kg,False
Dinitrogen monoxide,0.00012368179584440218,kg,False
Copper ion,1.1739279650120986e-05,kg,False
"Carbon monoxide, fossil",0.0043837779493617925,kg,False
Zinc II,1.7750607515292433e-06,kg,False
"Particulate Matter, < 2.5 um",0.009132700130393108,kg,False
Cadmium II,1.0993665502112792e-05,kg,False
Chromium III,1.2063846562935661e-05,kg,False
Nitrogen oxides,0.018396872093951078,kg,False
Zinc II,3.259647835131952e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",5.184176467155275e-13,kg,False
Dinitrogen monoxide,0.00014406538838299007,kg,False
"Carbon monoxide, fossil",0.0011435646128080076,kg,False
Sulfur dioxide,0.004417914350572219,kg,False
"NMVOC, non-methane volatile organic compounds",0.004302960947912316,kg,False
"Methane, fossil",0.0008008660283219716,kg,False
Nitrogen oxides,0.0025404426933262675,kg,False
Oxygen,0.6499159397324092,kg,True
"Heat, waste",1.4827989202584688,MJ,False
Mercury II,1.5374154275418634e-08,kg,False
Non-hazardous waste disposed,54.94212785385529,kg,False
"Occupation, dump site",0.20713086772803452,m2*a,True
"Transformation, from unspecified",0.008121260455199904,m2,True
"Transformation, to dump site",0.0016425485695837287,m2,True
Sulfur hexafluoride,1.6287750201339275e-06,kg,False
"Particulate Matter, > 10 um",0.014851757484032392,kg,False
Nickel II,4.173170646974425e-06,kg,False
"COD, Chemical Oxygen Demand",1.8721117911656048e-05,kg,False
Sulfate,0.02867088160470091,kg,False
Manganese II,7.952367575029306e-05,kg,False
"DOC, Dissolved Organic Carbon",7.040243560987928e-05,kg,False
"TOC, Total Organic Carbon",7.040243560987928e-05,kg,False
Iron ion,0.0017191000789252224,kg,False
Chromium III,7.089488322728384e-09,kg,False
Dissolved solids,0.00037582437256952777,kg,False
Arsenic ion,2.6375852130665022e-06,kg,False
Cadmium II,8.168753077154207e-07,kg,False
Lead II,1.0814338184977498e-06,kg,False
"Occupation, industrial area",0.026114960992111875,m2*a,True
Selenium IV,4.2719052479910216e-07,kg,False
"BOD5, Biological Oxygen Demand",3.5043847055829223e-06,kg,False
"Solids, inorganic",0.0031918440089657414,kg,False
Tin ion,1.610343639041138e-06,kg,False
Chloride,0.03095419979111631,kg,False
Copper ion,1.5909966877892985e-05,kg,False
Uranium alpha,0.004692855835225116,kBq,False
"Transformation, to mineral extraction site",0.004126561514462504,m2,True
Uranium,2.8730770309249815e-05,kg,True
Radon-222,15.234132022586051,kBq,False
Radium-226,0.22699402265099042,kBq,False
Gangue,44.470790870335215,kg,True
"Suspended solids, unspecified",0.00021035861687188014,kg,False
"Transformation, from industrial area",4.488171015546764e-06,m2,True
