Impact category,Amount (Normalized),Normalized Unit
Acidification,0.004538989188615088,mol H+-Eq/ref
Climate change,0.0046954562234532106,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.001172647383207361,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.007665769042054242,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0015603486502645464,kg P-Eq/ref
Eutrophication: marine,0.005190541676628108,kg N-Eq/ref
Eutrophication: terrestrial,0.00629951716341485,mol N-Eq/ref
Human toxicity: carcinogenic,0.00033314866083923074,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.002092296358294657,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.00013996662508355726,kBq U235-Eq/ref
Land use,0.0005034125312795915,dimensionless/ref
Material resources: metals/minerals,0.0014020894352674681,kg Sb-Eq/ref
Ozone depletion,1.4108412996378002e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.005033397469934073,disease incidence/ref
Photochemical oxidant formation: human health,0.008503880943277453,kg NMVOC-Eq/ref
Water use,0.0002366209790389192,m3 world Eq deprived/ref
