Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.4591637821540985,mol H+-Eq,0.008262867966709296,mol H+-Eq/ref
Climate change,129.7125889023115,kg CO2-Eq,0.017173462293878825,kg CO2-Eq/ref
Climate change: biogenic,1.428381008415067,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,128.21376148880236,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0704464050940507,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,505.6732878577247,CTUe,0.008915792019398969,CTUe/ref
"Ecotoxicity: freshwater, inorganics",497.6820918672802,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",7.991195990444594,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,22474.625062204585,"MJ, net calorific value",0.3457408049834958,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.11212089096179435,kg P-Eq,0.06977673241242666,kg P-Eq/ref
Eutrophication: marine,0.1910808211151161,kg N-Eq,0.009776364605583114,kg N-Eq/ref
Eutrophication: terrestrial,1.208170595315841,mol N-Eq,0.0068352838487335445,mol N-Eq/ref
Human toxicity: carcinogenic,4.4014566640889865e-08,CTUh,0.0025511401932944533,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.362571882438042e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",2.0388847816509446e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.901776663669505e-06,CTUh,0.01477268723332638,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.8250052550222132e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",7.67714086472914e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1430.774775527732,kBq U235-Eq,0.33903302865430807,kBq U235-Eq/ref
Land use,5843.2472160696225,dimensionless,0.007130274768141431,dimensionless/ref
Material resources: metals/minerals,0.001349385848570474,kg Sb-Eq,0.021209217014586307,kg Sb-Eq/ref
Ozone depletion,1.539700769523036e-06,kg CFC-11-Eq,2.9412575542649257e-05,kg CFC-11-Eq/ref
Particulate matter formation,1.048175881663185e-05,disease incidence,0.017605542155732262,disease incidence/ref
Photochemical oxidant formation: human health,0.3603782673733124,kg NMVOC-Eq,0.008820003509484288,kg NMVOC-Eq/ref
Water use,3138.433424624352,m3 world Eq deprived,0.2736518576885176,m3 world Eq deprived/ref
