Flow,Amount,Unit,Is input
Water,183.6638663196485,m3,False
"Transformation, to industrial area",0.04658732280095785,m2,True
"Transformation, to lake, artificial",0.13927229101153613,m2,True
"Water, turbine use, unspecified natural origin",311859.1027696777,m3,True
"Transformation, from forest, unspecified",0.011122423188259917,m2,True
"Energy, potential (in hydropower reservoir), converted",47958.61928688547,MJ,True
"Carbon dioxide, from soil or biomass stock",0.1735396241135767,kg,False
Water,311996.94339564856,m3,False
"Methane, non-fossil",0.13249571678705124,kg,False
"Volume occupied, reservoir",875.7946350810691,m3*a,True
"Occupation, lake, artificial",20.55065739307832,m2*a,True
Water,52.05836039329144,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.009123030571282807,kg,False
"Hydrocarbons, unspecified",9.329492136151023e-05,kg,False
Cadmium II,1.2817966968088373e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.3208684501312403e-10,kg,False
Selenium IV,1.2204379306903146e-06,kg,False
Chromium VI,1.59212048966806e-06,kg,False
Vanadium V,8.412204125169782e-08,kg,False
Copper ion,0.0001354792274547512,kg,False
"TOC, Total Organic Carbon",0.0007550133962044039,kg,False
Ammonia,0.008936906979616141,kg,False
Arsenic ion,1.8550180028445216e-06,kg,False
Chromium III,1.0489309648490655e-05,kg,False
Zinc II,0.00010349352434526303,kg,False
Nitrogen,2.5138480238563576e-05,kg,False
"Water, unspecified natural origin",1.147118450287255,m3,True
"AOX, Adsorbable Organic Halides",2.0355449945373905e-06,kg,False
Benzene,1.422643563816716e-05,kg,False
Rhodium III,3.7233305605046036e-09,kg,False
Mercury II,4.990756175634859e-07,kg,False
Chloride,0.03705334563636975,kg,False
Tin ion,1.7463475652985578e-05,kg,False
Formaldehyde,0.00018620931357528196,kg,False
Nickel II,1.9506455129270422e-05,kg,False
Sulfate,0.008700127505449531,kg,False
Sulfide,1.9093547593827045e-05,kg,False
Selenium IV,1.7220313448908308e-07,kg,False
"Suspended solids, unspecified",0.002598827764326542,kg,False
Nitrogen oxides,0.27041608416806695,kg,False
Tellurium,6.706253157848385e-09,kg,False
Platinum,3.7233305605046036e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.8419446810074945e-08,kg,False
Beryllium II,8.507267547514616e-08,kg,False
Palladium II,3.727445619442432e-09,kg,False
Vanadium V,3.9116408506104604e-05,kg,False
Copper ion,1.6206068736242034e-05,kg,False
Antimony ion,2.14368363727923e-05,kg,False
Ammonium,7.38629864099132e-05,kg,False
Cobalt II,1.4794950169548352e-06,kg,False
Arsenic ion,1.0033079223723942e-06,kg,False
Fluoride,0.00026368423404207395,kg,False
Barium II,6.063168891851777e-06,kg,False
Hydrogen fluoride,0.0005856534631677774,kg,False
Lead II,4.6343859401061505e-05,kg,False
Hydrochloric acid,0.0011013374399258854,kg,False
Boron,1.6798228752590837e-06,kg,False
Chromium III,0.00012597384640496598,kg,False
Sodium I,0.01714516611807887,kg,False
"NMVOC, non-methane volatile organic compounds",0.04029094341088576,kg,False
t-Butyl methyl ether,8.399114376295401e-08,kg,False
Cyanide,1.742150398691227e-05,kg,False
"Heat, waste",11.914499919866877,MJ,False
Nickel II,2.9936277971759372e-05,kg,False
Hydrogen sulfide,0.0005386305956000852,kg,False
Cobalt II,2.296789378857557e-08,kg,False
Mercury II,3.733947433843603e-06,kg,False
Benzene,0.00016969532417897878,kg,False
"Particulate Matter, < 2.5 um",0.02010235529027365,kg,False
