Flow,Amount,Unit,Is input
Water,239.47872230566892,m3,False
"Transformation, to industrial area",0.04356583134862742,m2,True
"Transformation, to lake, artificial",0.19233617384878102,m2,True
"Water, turbine use, unspecified natural origin",390737.7875663636,m3,True
"Transformation, from forest, unspecified",0.006971348524323697,m2,True
"Energy, potential (in hydropower reservoir), converted",63262.33020618288,MJ,True
"Carbon dioxide, from soil or biomass stock",0.16816656111739034,kg,False
Water,390502.86869709607,m3,False
"Methane, non-fossil",0.3300789331598121,kg,False
"Volume occupied, reservoir",1224.5378991387324,m3*a,True
"Occupation, lake, artificial",28.516732226367704,m2*a,True
Water,5.731680781913196,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.008982245809423675,kg,False
"Hydrocarbons, unspecified",6.295761386807504e-05,kg,False
Cadmium II,1.2507959394221809e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.3311541268287046e-10,kg,False
Selenium IV,1.2219587291095097e-06,kg,False
Chromium VI,1.636091243660265e-06,kg,False
Vanadium V,7.748761673290273e-08,kg,False
Copper ion,0.00015002797184358182,kg,False
"TOC, Total Organic Carbon",0.0006963316893086912,kg,False
Ammonia,0.006795896769993559,kg,False
Arsenic ion,1.8437129893840003e-06,kg,False
Chromium III,9.043894060903692e-06,kg,False
Zinc II,0.00010883993713877421,kg,False
Nitrogen,2.2702677062536767e-05,kg,False
"Water, unspecified natural origin",1.1396039184115812,m3,True
"AOX, Adsorbable Organic Halides",1.4887657787358025e-06,kg,False
Benzene,8.81957166731117e-06,kg,False
Rhodium III,3.416455659038171e-09,kg,False
Mercury II,5.012382213065986e-07,kg,False
Chloride,0.022436085009094248,kg,False
Tin ion,1.9469104929981143e-05,kg,False
Formaldehyde,0.0001807025869636228,kg,False
Nickel II,1.822215283580364e-05,kg,False
Sulfate,0.00506918006386535,kg,False
Sulfide,1.5376772320009845e-05,kg,False
Selenium IV,1.588343130823892e-07,kg,False
"Suspended solids, unspecified",0.0025348183225928794,kg,False
Nitrogen oxides,0.2718204521602729,kg,False
Tellurium,6.25140406681809e-09,kg,False
Platinum,3.416455659038171e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.743685368229114e-08,kg,False
Beryllium II,1.0011173810998352e-07,kg,False
Palladium II,3.4206259624634102e-09,kg,False
Vanadium V,3.6286216101550985e-05,kg,False
Copper ion,1.4325916975318049e-05,kg,False
Antimony ion,2.4639637516150658e-05,kg,False
Ammonium,3.65502934869192e-05,kg,False
Cobalt II,1.4029995272651785e-06,kg,False
Arsenic ion,1.029059878089067e-06,kg,False
Fluoride,0.0002514537215023189,kg,False
Barium II,2.952658304260799e-06,kg,False
Hydrogen fluoride,0.000565375799353782,kg,False
Lead II,4.754760969353009e-05,kg,False
Hydrochloric acid,0.0011536919427217861,kg,False
Boron,1.5471617886772404e-06,kg,False
Chromium III,0.00011468434588041538,kg,False
Sodium I,0.013742618697724635,kg,False
"NMVOC, non-methane volatile organic compounds",0.03863262151220485,kg,False
t-Butyl methyl ether,7.735808943386183e-08,kg,False
Cyanide,1.7359759170725935e-05,kg,False
"Heat, waste",12.271796964750509,MJ,False
Nickel II,2.737360048964977e-05,kg,False
Hydrogen sulfide,0.0004634966959720096,kg,False
Cobalt II,1.450150325345379e-08,kg,False
Mercury II,4.092429033698879e-06,kg,False
Benzene,0.00013838511544101703,kg,False
"Particulate Matter, < 2.5 um",0.020933556923668696,kg,False
"Carbon monoxide, fossil",0.3820096118778234,kg,False
Cadmium II,2.995139489294712e-06,kg,False
"Xylenes, unspecified",6.014669187589174e-05,kg,False
Dinitrogen monoxide,0.08776605504608592,kg,False
Toluene,2.516279002844904e-05,kg,False
"Particulate Matter, > 10 um",0.030040197628414568,kg,False
Thallium I,7.707128660413772e-07,kg,False
Aluminium III,4.749656510790116e-06,kg,False
Nitrate,3.471758939222799e-05,kg,False
"Xylenes, unspecified",1.7112234599682956e-07,kg,False
Nitrite,2.547083730427748e-07,kg,False
"BOD5, Biological Oxygen Demand",0.003455297384340988,kg,False
Molybdenum VI,3.8679044716930956e-08,kg,False
"Heat, waste",1.0144237394616709,MJ,False
Water,0.526812613307571,m3,False
Benzo(a)pyrene,2.4268803775297707e-07,kg,False
"Water, cooling, unspecified natural origin",3.3052065647600934,m3,True
