Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0050183048510158085,mol H+-Eq/ref
Climate change,0.003521587214886436,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.013679598882229043,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.005333574079582675,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.02408840158338646,kg P-Eq/ref
Eutrophication: marine,0.0020718452617562006,kg N-Eq/ref
Eutrophication: terrestrial,0.0025227323870204038,mol N-Eq/ref
Human toxicity: carcinogenic,0.0012374615514022839,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.009359284269019053,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0006857014030366453,kBq U235-Eq/ref
Land use,0.00016734483828098387,dimensionless/ref
Material resources: metals/minerals,0.1668772333327694,kg Sb-Eq/ref
Ozone depletion,2.5587939281675405e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.002829974821696929,disease incidence/ref
Photochemical oxidant formation: human health,0.0031637003646617437,kg NMVOC-Eq/ref
Water use,0.0008476812625490349,m3 world Eq deprived/ref
