Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0041926064953951864,mol H+-Eq/ref
Climate change,0.0019107597699472693,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.0058163619400359735,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.00298561495884674,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.012428054322082308,kg P-Eq/ref
Eutrophication: marine,0.0011492107907204031,kg N-Eq/ref
Eutrophication: terrestrial,0.0014567747645213812,mol N-Eq/ref
Human toxicity: carcinogenic,0.001297747146123488,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0131847721953624,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0003434643614650847,kBq U235-Eq/ref
Land use,0.00011090512405007418,dimensionless/ref
Material resources: metals/minerals,0.057206540196249385,kg Sb-Eq/ref
Ozone depletion,6.00016827868918e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.0017583956981841794,disease incidence/ref
Photochemical oxidant formation: human health,0.002216176269136678,kg NMVOC-Eq/ref
Water use,0.0005503438108247683,m3 world Eq deprived/ref
