Flow,Amount,Unit,Is input
Water,0.3969435513885454,m3,False
"Transformation, to industrial area",0.002110214720813011,m2,True
"Transformation, to lake, artificial",0.00233029052346726,m2,True
"Water, turbine use, unspecified natural origin",311.4494566415518,m3,True
"Transformation, from forest, unspecified",0.002554237485277929,m2,True
"Energy, potential (in hydropower reservoir), converted",41.38399537225827,MJ,True
"Carbon dioxide, from soil or biomass stock",0.09170775438597191,kg,False
Water,314.51200715864485,m3,False
"Methane, non-fossil",0.0028586714493012842,kg,False
"Volume occupied, reservoir",2.6433194450278257,m3*a,True
"Occupation, lake, artificial",0.3140449125482365,m2*a,True
Water,5.557807712327691,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0008855706307100321,kg,False
"Hydrocarbons, unspecified",3.350431333393846e-05,kg,False
Cadmium II,3.424394195547179e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.13259227135687e-11,kg,False
Selenium IV,8.420695253877024e-08,kg,False
Chromium VI,3.517257755651927e-08,kg,False
Vanadium V,1.0271824610896637e-08,kg,False
Copper ion,1.299468133694072e-05,kg,False
"TOC, Total Organic Carbon",0.0013673835267846363,kg,False
Ammonia,0.004316555608665204,kg,False
Arsenic ion,4.432103315908194e-07,kg,False
Chromium III,1.5037293806134866e-06,kg,False
Zinc II,1.59743775042941e-05,kg,False
Nitrogen,4.330141901362365e-06,kg,False
"Water, unspecified natural origin",0.13686149892184254,m3,True
"AOX, Adsorbable Organic Halides",2.067793545976831e-06,kg,False
Benzene,1.869126365459164e-05,kg,False
Rhodium III,4.1990762541267893e-10,kg,False
Mercury II,1.551300373482653e-08,kg,False
Chloride,0.034914222334026614,kg,False
Tin ion,8.657675967798403e-07,kg,False
Formaldehyde,1.3510213148159204e-05,kg,False
Nickel II,1.7203852956589014e-06,kg,False
Sulfate,0.005842671550562626,kg,False
Sulfide,2.676562871556871e-05,kg,False
Selenium IV,2.1454147947419797e-08,kg,False
"Suspended solids, unspecified",0.0002161620769305542,kg,False
Nitrogen oxides,0.03619836085028408,kg,False
Tellurium,6.43529065006422e-10,kg,False
Platinum,4.1990762541267893e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",6.257763968085493e-09,kg,False
Beryllium II,3.3443704909991705e-09,kg,False
Palladium II,4.311081500019344e-10,kg,False
