Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,6.50098143453232,mol H+-Eq,0.11698821495799347,mol H+-Eq/ref
Climate change,373.08184586151515,kg CO2-Eq,0.04939464293060044,kg CO2-Eq/ref
Climate change: biogenic,6.760872745677679,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,365.95099806520795,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.3699750506295179,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,7262.584330863028,CTUe,0.12805044872281054,CTUe/ref
"Ecotoxicity: freshwater, inorganics",7212.156952897186,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",50.427377965839824,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,14938.536652473837,"MJ, net calorific value",0.22980858070853746,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.5875647331123831,kg P-Eq,0.3656619815064794,kg P-Eq/ref
Eutrophication: marine,0.5898627035200038,kg N-Eq,0.03017944356316321,kg N-Eq/ref
Eutrophication: terrestrial,6.6671847390724235,mol N-Eq,0.03771992162380927,mol N-Eq/ref
Human toxicity: carcinogenic,7.821254450451705e-07,CTUh,0.04533298431250228,CTUh/ref
"Human toxicity: carcinogenic, inorganics",5.825895193336616e-07,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.995359257115089e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,5.923770887009916e-05,CTUh,0.46014874526239086,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",5.5637464315488906e-05,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.6002445546102486e-06,CTUh,0.0,CTUh/ref
Ionising radiation: human health,745.9886279915834,kBq U235-Eq,0.17676771230214938,kBq U235-Eq/ref
Land use,8571.142748669992,dimensionless,0.010459013732451306,dimensionless/ref
Material resources: metals/minerals,0.07067648322202139,kg Sb-Eq,1.1108704541933931,kg Sb-Eq/ref
Ozone depletion,4.09262103756127e-06,kg CFC-11-Eq,7.818046715141651e-05,kg CFC-11-Eq/ref
Particulate matter formation,5.031642128593826e-05,disease incidence,0.0845132855632547,disease incidence/ref
Photochemical oxidant formation: human health,2.019659162684675,kg NMVOC-Eq,0.04942973124510918,kg NMVOC-Eq/ref
Water use,3787.9987747752793,m3 world Eq deprived,0.33028991263791313,m3 world Eq deprived/ref
