Flow,Amount,Unit,Is input
Water,16.740464494440136,m3,False
"Transformation, to industrial area",0.16604112186276357,m2,True
"Transformation, to lake, artificial",0.05583611676215379,m2,True
"Water, turbine use, unspecified natural origin",12291.364515659126,m3,True
"Transformation, from forest, unspecified",0.07192735225386958,m2,True
"Energy, potential (in hydropower reservoir), converted",2173.5720454548227,MJ,True
"Carbon dioxide, from soil or biomass stock",2.1788805336271886,kg,False
Water,12353.118694335284,m3,False
"Methane, non-fossil",0.2761443715136133,kg,False
"Volume occupied, reservoir",82.31108192917051,m3*a,True
"Occupation, lake, artificial",7.281698715449613,m2*a,True
Water,168.8762532952124,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.06308724563478055,kg,False
"Hydrocarbons, unspecified",0.0006563559653992107,kg,False
Cadmium II,1.2055213008346468e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.5115289824153395e-09,kg,False
Selenium IV,9.85757772995634e-06,kg,False
Chromium VI,7.858827316193795e-06,kg,False
Vanadium V,5.173535074882627e-07,kg,False
Copper ion,0.0014296813384836518,kg,False
"TOC, Total Organic Carbon",0.018620530281120984,kg,False
Ammonia,0.7908316750173956,kg,False
Arsenic ion,5.782378725631109e-05,kg,False
Chromium III,0.00012906350104916595,kg,False
Zinc II,0.0007577608837980597,kg,False
Nitrogen,0.00020601942196027786,kg,False
"Water, unspecified natural origin",2.6575990130467884,m3,True
"AOX, Adsorbable Organic Halides",3.427809700496037e-05,kg,False
Benzene,0.00046050808015401736,kg,False
Rhodium III,2.080021669779163e-08,kg,False
Mercury II,3.045790622326447e-06,kg,False
Chloride,0.4415662270976883,kg,False
Tin ion,7.161940872262921e-05,kg,False
Formaldehyde,0.001136754602866845,kg,False
Nickel II,0.00017857257167112087,kg,False
Sulfate,0.12887553455221537,kg,False
Sulfide,0.00035163620443861746,kg,False
Selenium IV,1.0774086835347955e-06,kg,False
"Suspended solids, unspecified",0.021624195015786944,kg,False
Nitrogen oxides,5.246321342945265,kg,False
Tellurium,3.250468522447433e-08,kg,False
Platinum,2.080021669779163e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.1520434191001384e-07,kg,False
Beryllium II,2.1072524051991772e-07,kg,False
Palladium II,2.0871087236482487e-08,kg,False
Vanadium V,0.0002173181291482627,kg,False
Copper ion,0.0002715092150503553,kg,False
Antimony ion,8.813763204031967e-05,kg,False
Ammonium,0.0030230824779908056,kg,False
Cobalt II,3.624659889668371e-05,kg,False
Arsenic ion,5.207673393770811e-06,kg,False
Fluoride,0.0027548972914331307,kg,False
Barium II,5.961234411242565e-05,kg,False
Hydrogen fluoride,0.004392614320085716,kg,False
Lead II,0.0007174575861263725,kg,False
Hydrochloric acid,0.009756803963270019,kg,False
Boron,1.0289054773458012e-05,kg,False
Chromium III,0.009714020950023343,kg,False
Sodium I,0.23406569116723833,kg,False
"NMVOC, non-methane volatile organic compounds",1.0035427398498817,kg,False
t-Butyl methyl ether,5.144527386728999e-07,kg,False
Cyanide,0.0002938958674694414,kg,False
"Heat, waste",48.63941852802608,MJ,False
Nickel II,0.0005262820958827957,kg,False
Hydrogen sulfide,0.0077305259231150465,kg,False
Cobalt II,6.27543012628332e-07,kg,False
Mercury II,1.2276047220939723e-05,kg,False
Benzene,0.0028128571814746576,kg,False
"Particulate Matter, < 2.5 um",0.24533776523021686,kg,False
"Carbon monoxide, fossil",2.7113021796665318,kg,False
Cadmium II,1.6926175509965834e-05,kg,False
"Xylenes, unspecified",0.000540583143868605,kg,False
Dinitrogen monoxide,0.015008116461794526,kg,False
Toluene,0.0006007235735478542,kg,False
"Particulate Matter, > 10 um",0.23639231969431745,kg,False
Thallium I,8.953607031534318e-07,kg,False
Aluminium III,6.380894608956808e-05,kg,False
Nitrate,0.0005246269911345752,kg,False
"Xylenes, unspecified",3.887917333306554e-06,kg,False
Nitrite,2.00921186061829e-06,kg,False
"BOD5, Biological Oxygen Demand",0.06573389941648954,kg,False
Molybdenum VI,2.5722636933645016e-07,kg,False
"Heat, waste",6.220257625268162,MJ,False
Water,7.489504390700434,m3,False
Benzo(a)pyrene,1.4641545327624168e-06,kg,False
"Water, cooling, unspecified natural origin",72.49379851035224,m3,True
Manganese II,0.00013675163360728546,kg,False
Zinc II,0.00023071788759029707,kg,False
Iron ion,0.006048478699557089,kg,False
Manganese II,5.389659139013982e-05,kg,False
Toluene,0.00011185882790908361,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00028149352103682784,kg,False
Lead II,0.00012013817296327548,kg,False
Tin ion,2.582417662800709e-07,kg,False
Phenol,0.00021475815282128574,kg,False
"Carbon dioxide, fossil",218.77194203914578,kg,False
"Methane, fossil",0.01996219969498813,kg,False
Phosphorus,4.3655155590494266e-05,kg,False
"Carbon dioxide, non-fossil",2.2745454021183127,kg,False
Sulfur dioxide,0.4136935125576303,kg,False
"DOC, Dissolved Organic Carbon",0.01842284134233412,kg,False
"COD, Chemical Oxygen Demand",0.06976170889505612,kg,False
"Water, well, in ground",2.4481500229705015,m3,True
"DOC, Dissolved Organic Carbon",1.714467189953893,kg,False
Chloride,1.1947930706728467,kg,False
"COD, Chemical Oxygen Demand",0.8352631511957278,kg,False
Phenol,0.000998365026875413,kg,False
Chlorine,0.0014820636566629916,kg,False
"Water, river",16.615752728479542,m3,True
Sodium I,4.279392858929194,kg,False
"Carbon dioxide, fossil",197.7818782868598,kg,False
Phenol,5.769043312859669e-05,kg,False
"TOC, Total Organic Carbon",0.4468313197701189,kg,False
"BOD5, Biological Oxygen Demand",0.3250786601178343,kg,False
Hydrogen,0.5978112606664993,kg,False
Ammonia,0.006693148883677428,kg,False
Benzene,0.003947419347726863,kg,False
"NMVOC, non-methane volatile organic compounds",0.7681639089817045,kg,False
Nickel II,0.10365216909013011,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.0005822753644371995,kg,False
"Carbon dioxide, fossil",725.5538123410747,kg,False
Selenium IV,0.00037362610313790615,kg,False
Lead II,2.0666617270581236e-05,kg,False
"Methane, fossil",3.09591753345079,kg,False
Sulfur dioxide,36.19301914273797,kg,False
Cadmium II,1.1310454129315612e-05,kg,False
Benzo(a)pyrene,3.806760185047826e-05,kg,False
Dinitrogen monoxide,0.012639712023600765,kg,False
Copper ion,0.014362364276369641,kg,False
"Carbon monoxide, fossil",0.438215562189362,kg,False
Zinc II,0.0002607116571571923,kg,False
"Particulate Matter, < 2.5 um",1.6116675713588582,kg,False
Cadmium II,0.018523076212155702,kg,False
Chromium III,0.011339367409055756,kg,False
Nitrogen oxides,1.8982081975757983,kg,False
Zinc II,0.048878354480982,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.62957188881545e-10,kg,False
Dinitrogen monoxide,0.058153141266756955,kg,False
"Carbon monoxide, fossil",0.22069941173047855,kg,False
Sulfur dioxide,0.7685118509239914,kg,False
"NMVOC, non-methane volatile organic compounds",0.1566101182917535,kg,False
"Methane, fossil",0.03634142597254403,kg,False
Nitrogen oxides,0.4125811455950511,kg,False
Oxygen,125.73168279805346,kg,True
"Heat, waste",239.30628568481865,MJ,False
Mercury II,3.8125581931595175e-06,kg,False
Non-hazardous waste disposed,19268.834512713507,kg,False
"Occupation, dump site",120.63735562701348,m2*a,True
"Transformation, from unspecified",1.2796046347741725,m2,True
"Transformation, to dump site",0.9413361119106473,m2,True
Sulfur hexafluoride,0.00014853538669739629,kg,False
"Particulate Matter, > 10 um",3.6069054007682837,kg,False
Nickel II,0.001182757934226031,kg,False
"COD, Chemical Oxygen Demand",0.011709849175450171,kg,False
Sulfate,6.552528618977228,kg,False
Manganese II,0.021905205525813935,kg,False
"DOC, Dissolved Organic Carbon",0.027374933342054125,kg,False
"TOC, Total Organic Carbon",0.027374933342054125,kg,False
Iron ion,0.2535131949893452,kg,False
Chromium III,1.6620590499199423e-06,kg,False
Dissolved solids,0.04174230590731046,kg,False
Arsenic ion,0.00041398219485247435,kg,False
Cadmium II,0.00023006010067916195,kg,False
Lead II,0.0002777872077643288,kg,False
"Occupation, industrial area",8.058443936744874,m2*a,True
Selenium IV,7.664887575136477e-05,kg,False
"BOD5, Biological Oxygen Demand",0.002439315934699781,kg,False
"Solids, inorganic",0.36740355955456167,kg,False
Tin ion,0.0005181533800210054,kg,False
Chloride,3.897389675025263,kg,False
Copper ion,0.00735055699811106,kg,False
Uranium alpha,0.5484601380716037,kBq,False
"Transformation, to mineral extraction site",0.14724014553068582,m2,True
Uranium,0.0033297545519455347,kg,True
Radon-222,1781.1687369489184,kBq,False
Radium-226,27.90967209513869,kBq,False
Gangue,27280.485278710796,kg,True
"Suspended solids, unspecified",0.04201797463749805,kg,False
"Transformation, from industrial area",0.0007996947765104643,m2,True
Molybdenum VI,0.0006737227700139442,kg,False
Sulfate,5.8704673092497375,kg,False
Cadmium II,5.958377999609179e-05,kg,False
Aluminium III,0.014650356854380108,kg,False
Nitrate,0.13289766204779827,kg,False
Magnesium,0.1515718322642784,kg,False
Lead II,0.00023356605111283677,kg,False
Arsenic ion,0.0010265390528391444,kg,False
Selenium IV,0.0007964052107689211,kg,False
Uranium alpha,0.03308510570260911,kBq,False
Ammonium,0.01398685115927938,kg,False
"Occupation, mineral extraction site",4.2003348307064226,m2*a,True
Zinc II,0.005629046760629378,kg,False
Barium II,0.00684042852673352,kg,False
Iron ion,0.022765028254412734,kg,False
Thorium-230,1.1902032624136338,kBq,False
Vanadium V,0.0005201274816882492,kg,False
Manganese II,0.0011164701175438367,kg,False
"Transformation, to unspecified",0.09031000177492526,m2,True
"Energy, solar, converted",36.37044839507313,MJ,True
"Transformation, from pasture, man made",0.0623191712514789,m2,True
"Occupation, river, artificial",1.7937770933033588,m2*a,True
"Transformation, from shrub land, sclerophyllous",0.03392835310876741,m2,True
"Transformation, to river, artificial",0.01981382436388887,m2,True
Nitrobenzene,1.2004815873162706e-05,kg,False
Aniline,2.993495519532398e-06,kg,False
Chlorine,0.0014299631032027682,kg,False
Vinyl chloride,3.202574418627972e-05,kg,False
