Flow,Amount,Unit,Is input
Water,0.05859516966248053,m3,False
"Transformation, to industrial area",0.0005542683533820265,m2,True
"Transformation, to lake, artificial",0.00017037407339540747,m2,True
"Water, turbine use, unspecified natural origin",43.47295410682025,m3,True
"Transformation, from forest, unspecified",0.00025752206666399214,m2,True
"Energy, potential (in hydropower reservoir), converted",8.171578496860425,MJ,True
"Carbon dioxide, from soil or biomass stock",0.006297225266685216,kg,False
Water,43.65746328972539,m3,False
"Methane, non-fossil",0.0004926306356536416,kg,False
"Volume occupied, reservoir",0.28588492205720334,m3*a,True
"Occupation, lake, artificial",0.022374979861494355,m2*a,True
Water,0.4579905355907828,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.00020669813450120334,kg,False
"Hydrocarbons, unspecified",1.4223969545726609e-06,kg,False
Cadmium II,3.207136071762181e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.5637599522594274e-12,kg,False
Selenium IV,2.9294042778948688e-08,kg,False
Chromium VI,7.064733614667074e-09,kg,False
Vanadium V,2.0595121612758696e-09,kg,False
Copper ion,5.6823836160987605e-06,kg,False
"TOC, Total Organic Carbon",2.8264341043050106e-05,kg,False
Ammonia,0.0034192349080687766,kg,False
Arsenic ion,2.405118737876922e-07,kg,False
Chromium III,4.198781086675648e-07,kg,False
Zinc II,2.6281539260150645e-06,kg,False
Nitrogen,6.860950687006925e-07,kg,False
"Water, unspecified natural origin",0.005623404215360498,m3,True
"AOX, Adsorbable Organic Halides",1.294158859255961e-07,kg,False
Benzene,2.525064363168926e-06,kg,False
Rhodium III,8.011108262988755e-11,kg,False
Mercury II,3.662343388958011e-09,kg,False
Chloride,0.00038644263511563014,kg,False
Tin ion,2.6654942925863315e-07,kg,False
Formaldehyde,4.4637123864957565e-06,kg,False
Nickel II,4.655219293547637e-07,kg,False
Sulfate,0.0003929675692602915,kg,False
Sulfide,1.3091900680450687e-05,kg,False
Selenium IV,4.24825917980484e-09,kg,False
"Suspended solids, unspecified",5.8266768536858774e-05,kg,False
Nitrogen oxides,0.022103568638996103,kg,False
Tellurium,1.195410915808663e-10,kg,False
Platinum,8.011108262988755e-11,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.7206998778686496e-10,kg,False
