Flow,Amount,Unit,Is input
Water,0.017136846583977194,m3,False
"Transformation, to industrial area",0.0001537005606401287,m2,True
"Transformation, to lake, artificial",9.332198765991576e-05,m2,True
"Water, turbine use, unspecified natural origin",14.352518921047166,m3,True
"Transformation, from forest, unspecified",0.000113035520880444,m2,True
"Energy, potential (in hydropower reservoir), converted",2.105073209529416,MJ,True
"Carbon dioxide, from soil or biomass stock",0.0034933935418497517,kg,False
Water,14.46074968018909,m3,False
"Methane, non-fossil",0.0002616382747937665,kg,False
"Volume occupied, reservoir",0.10147227565691343,m3*a,True
"Occupation, lake, artificial",0.012122255416261095,m2*a,True
Water,0.21666498846862392,m3,False
"Particulate Matter, > 2.5 um and < 10um",6.314730985821746e-05,kg,False
"Hydrocarbons, unspecified",1.2257425041931188e-06,kg,False
Cadmium II,3.1978322375058506e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",9.47813399728831e-13,kg,False
Selenium IV,7.776063188163494e-09,kg,False
Chromium VI,3.9447874099515535e-09,kg,False
Vanadium V,7.558414737453942e-10,kg,False
Copper ion,1.242243713079901e-06,kg,False
"TOC, Total Organic Carbon",0.00020451480645937995,kg,False
Ammonia,0.0005766000444265897,kg,False
Arsenic ion,4.8115932761329006e-08,kg,False
Chromium III,1.5733592904383267e-07,kg,False
Zinc II,1.2838187272041398e-06,kg,False
Nitrogen,2.843379809765024e-07,kg,False
"Water, unspecified natural origin",0.00664410972649339,m3,True
"AOX, Adsorbable Organic Halides",4.5909144193537e-08,kg,False
Benzene,4.5484876075811993e-07,kg,False
Rhodium III,3.32078187970898e-11,kg,False
Mercury II,1.3147589695968674e-09,kg,False
Chloride,0.008381094475063756,kg,False
Tin ion,6.711637350378396e-08,kg,False
Formaldehyde,1.1329275698770907e-06,kg,False
Nickel II,1.7832116749444672e-07,kg,False
Sulfate,0.000309125080504277,kg,False
Sulfide,1.8768675982688988e-06,kg,False
Selenium IV,1.539931541966924e-09,kg,False
"Suspended solids, unspecified",1.5198820291938327e-05,kg,False
Nitrogen oxides,0.004425930393075109,kg,False
Tellurium,5.1632360978878524e-11,kg,False
Platinum,3.32078187970898e-11,kg,False
"PAH, polycyclic aromatic hydrocarbons",3.9852102621754245e-10,kg,False
Beryllium II,2.808067937799726e-10,kg,False
Palladium II,3.407726310940636e-11,kg,False
Vanadium V,3.383976204990991e-07,kg,False
Copper ion,3.610577789090455e-07,kg,False
Antimony ion,8.211362141767191e-08,kg,False
Ammonium,8.592851292722323e-06,kg,False
Cobalt II,2.747743909789513e-08,kg,False
Arsenic ion,2.6381877588561895e-09,kg,False
Fluoride,3.928932034263611e-06,kg,False
Barium II,2.375127358985131e-07,kg,False
Hydrogen fluoride,7.632331999663934e-06,kg,False
Lead II,7.118684488328316e-07,kg,False
Hydrochloric acid,1.7261124086812707e-05,kg,False
Boron,1.5074928532612115e-08,kg,False
Chromium III,4.8440735927152785e-06,kg,False
Sodium I,0.005219613103262867,kg,False
"NMVOC, non-methane volatile organic compounds",0.0007522925751487344,kg,False
t-Butyl methyl ether,7.537464266306047e-10,kg,False
Cyanide,1.2100215177138115e-06,kg,False
"Heat, waste",0.058496398401673644,MJ,False
Nickel II,3.8117268363606537e-07,kg,False
Hydrogen sulfide,5.3064720202590855e-05,kg,False
Cobalt II,8.860893761648873e-10,kg,False
Mercury II,1.3350984277664964e-08,kg,False
Benzene,3.908462343063205e-06,kg,False
"Particulate Matter, < 2.5 um",0.00017944075645152932,kg,False
"Carbon monoxide, fossil",0.001852708628387952,kg,False
Cadmium II,6.7411975171413585e-09,kg,False
"Xylenes, unspecified",7.106325142289984e-07,kg,False
Dinitrogen monoxide,2.6126732562043822e-05,kg,False
Toluene,3.5001802198874963e-07,kg,False
"Particulate Matter, > 10 um",0.0003605677086932112,kg,False
Thallium I,1.2924661978068431e-09,kg,False
Aluminium III,1.809441124797631e-08,kg,False
Nitrate,1.0831337631699737e-06,kg,False
"Xylenes, unspecified",2.3674143372345142e-08,kg,False
Nitrite,3.0109114238544578e-09,kg,False
"BOD5, Biological Oxygen Demand",0.0006514462005963953,kg,False
Molybdenum VI,3.768732133153029e-10,kg,False
"Heat, waste",0.009940014974541259,MJ,False
Water,0.010155311854542296,m3,False
Benzo(a)pyrene,2.0931652459277347e-09,kg,False
"Water, cooling, unspecified natural origin",0.11310523473409821,m3,True
Manganese II,1.0355811727137261e-07,kg,False
Zinc II,2.1934870805163644e-07,kg,False
Iron ion,8.49542111898879e-06,kg,False
Manganese II,2.9805521640562464e-08,kg,False
Toluene,9.614205067789112e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",6.917880488118707e-07,kg,False
Lead II,1.5542020595692001e-07,kg,False
Tin ion,3.811036124385125e-10,kg,False
Phenol,4.595039225617708e-06,kg,False
"Carbon dioxide, fossil",0.23973173873317893,kg,False
"Methane, fossil",1.750831578833806e-05,kg,False
Phosphorus,3.71551531998462e-08,kg,False
"Carbon dioxide, non-fossil",0.0018706992561164845,kg,False
Sulfur dioxide,0.0005299744626314054,kg,False
"DOC, Dissolved Organic Carbon",0.00020513977426185446,kg,False
"COD, Chemical Oxygen Demand",0.0006542327723630013,kg,False
"Water, well, in ground",0.006546343125512418,m3,True
"DOC, Dissolved Organic Carbon",0.0029285615753312506,kg,False
Chloride,0.0014980508593380438,kg,False
"COD, Chemical Oxygen Demand",0.0018412174704897988,kg,False
Phenol,2.1600957921435238e-05,kg,False
Chlorine,2.69304007871128e-06,kg,False
"Water, river",0.014707344928292296,m3,True
Sodium I,0.006113356562917664,kg,False
"Carbon dioxide, fossil",0.2992440842243501,kg,False
Phenol,3.360440040011225e-08,kg,False
"TOC, Total Organic Carbon",0.0008706885977581085,kg,False
"BOD5, Biological Oxygen Demand",0.0006346760684189738,kg,False
Hydrogen,0.0003417984446043395,kg,False
Ammonia,7.777546690587806e-06,kg,False
Benzene,4.549675227967943e-06,kg,False
"NMVOC, non-methane volatile organic compounds",0.0011141494818906173,kg,False
Nickel II,4.4020843032359824e-05,kg,False
"PAH, polycyclic aromatic hydrocarbons",9.631195259155345e-07,kg,False
"Carbon dioxide, fossil",1.2793339541517867,kg,False
Selenium IV,5.214283140702917e-07,kg,False
Lead II,1.5926969326441612e-08,kg,False
"Methane, fossil",0.004782922925803743,kg,False
Sulfur dioxide,0.02643668546889591,kg,False
Cadmium II,2.324944925150881e-09,kg,False
Benzo(a)pyrene,2.112760638704243e-08,kg,False
Dinitrogen monoxide,2.2880940041283646e-05,kg,False
Copper ion,6.607466554064821e-06,kg,False
"Carbon monoxide, fossil",0.0008973306259047173,kg,False
Zinc II,3.6126510239352036e-07,kg,False
"Particulate Matter, < 2.5 um",0.001796056326752307,kg,False
Cadmium II,7.750422657190398e-06,kg,False
Chromium III,7.587346699769954e-06,kg,False
Nitrogen oxides,0.0036786716836941596,kg,False
Zinc II,2.1276267614050624e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.5724421103265215e-13,kg,False
Dinitrogen monoxide,4.783986269421947e-05,kg,False
"Carbon monoxide, fossil",0.0002231003798496033,kg,False
Sulfur dioxide,0.0010366339662784847,kg,False
"NMVOC, non-methane volatile organic compounds",0.0005664189914406364,kg,False
"Methane, fossil",0.000174435205453378,kg,False
Nitrogen oxides,0.0005609082903104561,kg,False
Oxygen,0.13744439653769194,kg,True
"Heat, waste",0.29587670626617996,MJ,False
Mercury II,4.769501951565238e-09,kg,False
Non-hazardous waste disposed,16.07197582984944,kg,False
"Occupation, dump site",0.0851493451141361,m2*a,True
"Transformation, from unspecified",0.0024972890056971526,m2,True
"Transformation, to dump site",0.0006658311059919033,m2,True
Sulfur hexafluoride,2.849394820839759e-07,kg,False
"Particulate Matter, > 10 um",0.0034423132121387885,kg,False
Nickel II,1.3360547794237032e-06,kg,False
"COD, Chemical Oxygen Demand",1.0098132252694807e-05,kg,False
Sulfate,0.008053863556502602,kg,False
Manganese II,2.5269542619712602e-05,kg,False
"DOC, Dissolved Organic Carbon",2.8500813949691184e-05,kg,False
"TOC, Total Organic Carbon",2.8500813949691184e-05,kg,False
Iron ion,0.0003542906183947611,kg,False
Chromium III,1.4997001782079745e-09,kg,False
Dissolved solids,7.514293590676545e-05,kg,False
Arsenic ion,6.128915896613797e-07,kg,False
Cadmium II,2.857246347203946e-07,kg,False
Lead II,3.67803069930443e-07,kg,False
"Occupation, industrial area",0.0071289717485622,m2*a,True
Selenium IV,1.0793962537525464e-07,kg,False
"BOD5, Biological Oxygen Demand",2.018207602113387e-06,kg,False
"Solids, inorganic",0.0005623039125397114,kg,False
Tin ion,5.853128510171281e-07,kg,False
Chloride,0.006102526882724551,kg,False
Copper ion,6.310824697981401e-06,kg,False
Uranium alpha,0.0008011997135759949,kBq,False
"Transformation, to mineral extraction site",0.0011581989092075645,m2,True
Uranium,4.936848763092874e-06,kg,True
Radon-222,2.6034660174138873,kBq,False
Radium-226,0.04492204442332234,kBq,False
Gangue,19.394529459621026,kg,True
"Suspended solids, unspecified",4.556504420790728e-05,kg,False
"Transformation, from industrial area",8.81028405271497e-07,m2,True
Molybdenum VI,1.1140288436296595e-06,kg,False
Sulfate,0.0034657251062253365,kg,False
Cadmium II,1.5408442418174867e-07,kg,False
Aluminium III,1.939300443351579e-05,kg,False
Nitrate,0.0003298630309573782,kg,False
Magnesium,0.00024518133847349876,kg,False
Lead II,2.048113207879571e-06,kg,False
Arsenic ion,8.159450814268086e-07,kg,False
Selenium IV,4.0325273970594547e-07,kg,False
Uranium alpha,4.833037419572016e-05,kBq,False
Ammonium,2.5161659046394954e-05,kg,False
"Occupation, mineral extraction site",0.038222251997639865,m2*a,True
Zinc II,4.088318144513095e-05,kg,False
Barium II,1.1161468042100535e-05,kg,False
Iron ion,4.110429207505146e-05,kg,False
Thorium-230,0.0017386358960313213,kBq,False
Vanadium V,5.394429749152951e-07,kg,False
Manganese II,1.2992295091564067e-06,kg,False
"Transformation, to unspecified",0.001399279271479563,m2,True
"Energy, solar, converted",0.036762406112771415,MJ,True
"Transformation, from pasture, man made",6.399628387684883e-05,m2,True
"Occupation, river, artificial",0.0018425523501061033,m2*a,True
"Transformation, from shrub land, sclerophyllous",3.2446775472799806e-05,m2,True
"Transformation, to river, artificial",2.099627308582032e-05,m2,True
Nitrobenzene,2.2724504762271248e-08,kg,False
Aniline,5.70469952836919e-09,kg,False
