Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.2895837569405163,mol H+-Eq,0.0052111957473598945,mol H+-Eq/ref
Climate change,45.02584677546514,kg CO2-Eq,0.005961253941440965,kg CO2-Eq/ref
Climate change: biogenic,0.07313923690861125,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,44.8663402618711,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.08636727668542708,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,1503.9464872114072,CTUe,0.026516872475287393,CTUe/ref
"Ecotoxicity: freshwater, inorganics",1497.5428613024894,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",6.403625908917917,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,584.7298891715596,"MJ, net calorific value",0.008995254960674059,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.07159918990646859,kg P-Eq,0.044558667632712365,kg P-Eq/ref
Eutrophication: marine,0.0672179156674542,kg N-Eq,0.0034391041851158555,kg N-Eq/ref
Eutrophication: terrestrial,0.7231030684373272,mol N-Eq,0.004090990745696163,mol N-Eq/ref
Human toxicity: carcinogenic,2.5535658344409543e-08,CTUh,0.0014800791950576161,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.1162361426598496e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",4.373296917811046e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.598577322592574e-06,CTUh,0.012417484795182185,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.56558709197254e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.2990230620034126e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,5.0541797904948105,kBq U235-Eq,0.0011976265664194604,kBq U235-Eq/ref
Land use,214.62347778881463,dimensionless,0.00026189622169669194,dimensionless/ref
Material resources: metals/minerals,0.020699578238235632,kg Sb-Eq,0.32534937833403477,kg Sb-Eq/ref
Ozone depletion,2.8289565686950684e-06,kg CFC-11-Eq,5.404095421046852e-05,kg CFC-11-Eq/ref
Particulate matter formation,2.62380024521066e-06,disease incidence,0.0044070300255315805,disease incidence/ref
Photochemical oxidant formation: human health,0.1925963616033008,kg NMVOC-Eq,0.004713659893079374,kg NMVOC-Eq/ref
Water use,15.386412657234986,m3 world Eq deprived,0.0013415994023573857,m3 world Eq deprived/ref
