Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.4055025309039688,mol H+-Eq,0.007297208541377206,mol H+-Eq/ref
Climate change,11.408799994322449,kg CO2-Eq,0.0015104825073567708,kg CO2-Eq/ref
Climate change: biogenic,0.022993308172500414,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,11.338804646559113,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.04700203959083485,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,463.08294721485964,CTUe,0.008164859295988081,CTUe/ref
"Ecotoxicity: freshwater, inorganics",445.97247000253986,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",17.11047721231989,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,128.66044871161108,"MJ, net calorific value",0.001979261811219143,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.03287298900437171,kg P-Eq,0.020458005084318318,kg P-Eq/ref
Eutrophication: marine,0.02701957947781118,kg N-Eq,0.0013824163980616074,kg N-Eq/ref
Eutrophication: terrestrial,0.34618214173234163,mol N-Eq,0.001958542288048712,mol N-Eq/ref
Human toxicity: carcinogenic,4.082801185289673e-08,CTUh,0.002366443429968106,CTUh/ref
"Human toxicity: carcinogenic, inorganics",3.753730058087746e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",3.290711272019273e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,3.914465973177522e-06,CTUh,0.03040692559328798,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",3.6737389087368032e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",2.407270644407209e-07,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.9132097689807114,kBq U235-Eq,0.00021639204092065056,kBq U235-Eq/ref
Land use,148.04351878711282,dimensionless,0.00018065143019991046,dimensionless/ref
Material resources: metals/minerals,0.0047571405365952665,kg Sb-Eq,0.07477121989712726,kg Sb-Eq/ref
Ozone depletion,2.377584010926375e-05,kg CFC-11-Eq,0.00045418480470091604,kg CFC-11-Eq/ref
Particulate matter formation,1.3136824715281808e-06,disease incidence,0.0022065087106409673,disease incidence/ref
Photochemical oxidant formation: human health,0.10528141856770978,kg NMVOC-Eq,0.0025766883447740615,kg NMVOC-Eq/ref
Water use,5.180236207520771,m3 world Eq deprived,0.0004516843500107237,m3 world Eq deprived/ref
