Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.6883545042442877,mol H+-Eq,0.012387262680381279,mol H+-Eq/ref
Climate change,117.78234026938856,kg CO2-Eq,0.015593941934383088,kg CO2-Eq/ref
Climate change: biogenic,1.0006244440924945,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,116.56053022054786,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.22118560474822668,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,560.5762559638382,CTUe,0.009883815161288816,CTUe/ref
"Ecotoxicity: freshwater, inorganics",549.6252542330094,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",10.951001730829242,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,1269.670846625469,"MJ, net calorific value",0.019532117637619275,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.04465095541238633,kg P-Eq,0.027787843470053475,kg P-Eq/ref
Eutrophication: marine,0.12256010673914178,kg N-Eq,0.00627060467182725,kg N-Eq/ref
Eutrophication: terrestrial,1.2425920515109619,mol N-Eq,0.007030024909716652,mol N-Eq/ref
Human toxicity: carcinogenic,7.310731953724923e-08,CTUh,0.004237393107086301,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.0656340256133392e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",5.2450979281115837e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.1357220319899077e-06,CTUh,0.008822101292489339,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.098349261789198e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.7372770200709896e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,6.665720682272452,kBq U235-Eq,0.0015794935092009442,kBq U235-Eq/ref
Land use,346.096176921908,dimensionless,0.0004223269607470755,dimensionless/ref
Material resources: metals/minerals,0.0011906678180825963,kg Sb-Eq,0.018714537559994925,kg Sb-Eq/ref
Ozone depletion,9.164001868319717e-07,kg CFC-11-Eq,1.750579739649211e-05,kg CFC-11-Eq/ref
Particulate matter formation,1.4926834545263974e-05,disease incidence,0.025071652518973968,disease incidence/ref
Photochemical oxidant formation: human health,0.3713312422474412,kg NMVOC-Eq,0.00908806983194384,kg NMVOC-Eq/ref
Water use,31.562280427963067,m3 world Eq deprived,0.002752034376205329,m3 world Eq deprived/ref
