Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.26106149884346824,mol H+-Eq,0.004697924313662149,mol H+-Eq/ref
Climate change,13.695492013666192,kg CO2-Eq,0.0018132319899184714,kg CO2-Eq/ref
Climate change: biogenic,0.024898747525102165,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,13.644817595175892,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.025775670965198783,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,407.2856570107674,CTUe,0.007181067890250028,CTUe/ref
"Ecotoxicity: freshwater, inorganics",402.0312538933317,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",5.254403117435675,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,182.05674197569675,"MJ, net calorific value",0.0028006894152464955,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.022726561480498397,kg P-Eq,0.014143530126064218,kg P-Eq/ref
Eutrophication: marine,0.023188266590054615,kg N-Eq,0.0011863930007881976,kg N-Eq/ref
Eutrophication: terrestrial,0.26780369473919996,mol N-Eq,0.0015151124157292434,mol N-Eq/ref
Human toxicity: carcinogenic,1.7734263724094294e-08,CTUh,0.0010279004529148315,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.4812709791488095e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",2.9215539326061955e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.418785880705667e-06,CTUh,0.011020894549354236,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.341571656314342e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",7.721422439132443e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1.3929259050425518,kBq U235-Eq,0.00033006444924459473,kBq U235-Eq/ref
Land use,86.4418482751918,dimensionless,0.0001054814398358952,dimensionless/ref
Material resources: metals/minerals,0.005004957927364243,kg Sb-Eq,0.07866633472019727,kg Sb-Eq/ref
Ozone depletion,6.733365983960275e-07,kg CFC-11-Eq,1.2862605486706773e-05,kg CFC-11-Eq/ref
Particulate matter formation,1.0369675424090432e-06,disease incidence,0.0017417282825703193,disease incidence/ref
Photochemical oxidant formation: human health,0.08098879232413689,kg NMVOC-Eq,0.0019821434786682704,kg NMVOC-Eq/ref
Water use,6.409213060559375,m3 world Eq deprived,0.0005588434811401203,m3 world Eq deprived/ref
