Flow,Amount,Unit,Is input
Water,0.17791022828443578,m3,False
"Transformation, to industrial area",0.002586169504387722,m2,True
"Transformation, to lake, artificial",0.0010708620669912068,m2,True
"Water, turbine use, unspecified natural origin",155.99736453294966,m3,True
"Transformation, from forest, unspecified",0.0015016940281628826,m2,True
"Energy, potential (in hydropower reservoir), converted",20.48164772420494,MJ,True
"Carbon dioxide, from soil or biomass stock",0.09208705176868756,kg,False
Water,157.5574176622968,m3,False
"Methane, non-fossil",0.0022903667179901073,kg,False
"Volume occupied, reservoir",1.285382856232204,m3*a,True
"Occupation, lake, artificial",0.1449882388692264,m2*a,True
Water,3.496613726978863,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0005305090044607441,kg,False
"Hydrocarbons, unspecified",1.0294457475887965e-05,kg,False
Cadmium II,8.80233153055005e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.97759950449489e-12,kg,False
Selenium IV,6.65411777567302e-08,kg,False
Chromium VI,3.858467601048852e-08,kg,False
Vanadium V,6.561045827401932e-09,kg,False
Copper ion,9.59492134680728e-06,kg,False
"TOC, Total Organic Carbon",0.0006188904265661177,kg,False
Ammonia,0.0021484259695154157,kg,False
Arsenic ion,1.8710656543451665e-07,kg,False
Chromium III,1.875675164793632e-06,kg,False
Zinc II,6.515819239749322e-06,kg,False
Nitrogen,5.0414065062602215e-06,kg,False
"Water, unspecified natural origin",0.033938006027082725,m3,True
"AOX, Adsorbable Organic Halides",5.881270122867313e-07,kg,False
Benzene,9.015127947568975e-05,kg,False
Rhodium III,3.0132200499888464e-10,kg,False
Mercury II,2.3210781289683595e-08,kg,False
Chloride,0.03295522325580928,kg,False
Tin ion,1.0759951055211161e-06,kg,False
Formaldehyde,2.1855744987762913e-05,kg,False
Nickel II,2.125227254315299e-06,kg,False
Sulfate,0.003948364356354345,kg,False
Sulfide,1.6607906618376434e-05,kg,False
Selenium IV,1.326683258684078e-08,kg,False
"Suspended solids, unspecified",0.0001583599136331711,kg,False
Nitrogen oxides,0.019555088508644788,kg,False
Tellurium,4.800914972931906e-10,kg,False
Platinum,3.0132200499888464e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",7.598790600207275e-10,kg,False
Beryllium II,2.9980898975767263e-09,kg,False
Palladium II,3.015452589716445e-10,kg,False
Vanadium V,3.0574633692365555e-06,kg,False
Copper ion,2.392096019949141e-06,kg,False
Antimony ion,1.3152233064288803e-06,kg,False
Ammonium,0.0005906814732780026,kg,False
Cobalt II,1.4924935890555127e-07,kg,False
Arsenic ion,2.5113236357780318e-08,kg,False
Fluoride,8.379404397444709e-06,kg,False
Barium II,6.734334988082004e-06,kg,False
Hydrogen fluoride,1.8711135955737083e-05,kg,False
Lead II,3.0285374573110658e-06,kg,False
Hydrochloric acid,0.00015146504082767326,kg,False
Boron,1.3097278078255769e-07,kg,False
Chromium III,2.19823177096052e-05,kg,False
Sodium I,0.001062485931056711,kg,False
"NMVOC, non-methane volatile organic compounds",0.003473550776432299,kg,False
t-Butyl methyl ether,6.548639039127879e-09,kg,False
Cyanide,1.6969957044384456e-05,kg,False
"Heat, waste",0.6022147727461877,MJ,False
Nickel II,2.6065035050114166e-06,kg,False
Hydrogen sulfide,0.00022697124075070932,kg,False
Cobalt II,5.235032387765887e-09,kg,False
Mercury II,9.596384160736843e-08,kg,False
Benzene,0.00022394773924515178,kg,False
"Particulate Matter, < 2.5 um",0.0008450622589787738,kg,False
"Carbon monoxide, fossil",0.012590875714069725,kg,False
Cadmium II,8.657553690225755e-08,kg,False
"Xylenes, unspecified",7.254726798517957e-06,kg,False
Dinitrogen monoxide,0.000589411152618379,kg,False
Toluene,4.892712528733965e-06,kg,False
"Particulate Matter, > 10 um",0.003389721118905973,kg,False
Thallium I,1.868575726286872e-08,kg,False
Aluminium III,3.4838223707012074e-07,kg,False
Nitrate,0.00011319424975397643,kg,False
"Xylenes, unspecified",1.1367607589774849e-07,kg,False
Nitrite,2.870508690694872e-08,kg,False
"BOD5, Biological Oxygen Demand",0.00189031880762427,kg,False
Molybdenum VI,3.2743195195639437e-09,kg,False
"Heat, waste",0.09051809303432733,MJ,False
Water,0.09392076538331309,m3,False
Benzo(a)pyrene,1.2173370527929161e-08,kg,False
"Water, cooling, unspecified natural origin",1.6275479881460848,m3,True
Manganese II,9.435715848132564e-07,kg,False
Zinc II,3.0832470322094635e-06,kg,False
Iron ion,0.00011565662892999225,kg,False
Manganese II,3.029467813605475e-07,kg,False
Toluene,1.8945261442392042e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",9.290186374680747e-07,kg,False
Lead II,1.8013078152018159e-06,kg,False
Tin ion,3.495886518753476e-09,kg,False
Phenol,2.3747747951667645e-06,kg,False
"Carbon dioxide, fossil",2.3575325191256353,kg,False
"Methane, fossil",8.120645102960908e-05,kg,False
Phosphorus,6.762506235119281e-07,kg,False
"Carbon dioxide, non-fossil",0.029628273166543744,kg,False
Sulfur dioxide,0.003311643859510982,kg,False
"DOC, Dissolved Organic Carbon",0.0006183818970684026,kg,False
"COD, Chemical Oxygen Demand",0.001927669556464115,kg,False
"Water, well, in ground",0.06991736905329905,m3,True
"DOC, Dissolved Organic Carbon",0.03462096513988872,kg,False
Chloride,0.26594302490096916,kg,False
"COD, Chemical Oxygen Demand",0.016033129507124703,kg,False
Phenol,2.5907965992413617e-05,kg,False
Chlorine,0.00036911636617830025,kg,False
"Water, river",0.16807839430576216,m3,True
Sodium I,0.4086318698429467,kg,False
"Carbon dioxide, fossil",4.042394744997074,kg,False
Phenol,2.3855700064297755e-05,kg,False
"TOC, Total Organic Carbon",0.00881658603355594,kg,False
"BOD5, Biological Oxygen Demand",0.01109582554020156,kg,False
Hydrogen,0.003857790398487267,kg,False
Ammonia,0.0001310709797970669,kg,False
Benzene,5.862229762590551e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.012465552691792578,kg,False
Nickel II,0.00021480802302341847,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.3039340432702244e-05,kg,False
"Carbon dioxide, fossil",17.11928260686986,kg,False
Selenium IV,2.6645297853649086e-06,kg,False
Lead II,2.4956232621764436e-07,kg,False
"Methane, fossil",0.05660970521163746,kg,False
Sulfur dioxide,0.10871376852502276,kg,False
Cadmium II,4.753023135733516e-08,kg,False
Benzo(a)pyrene,1.6624746969637774e-07,kg,False
Dinitrogen monoxide,0.0003158187904200101,kg,False
Copper ion,3.1554591003089054e-05,kg,False
"Carbon monoxide, fossil",0.007288088641958153,kg,False
Zinc II,2.4604155734262408e-06,kg,False
"Particulate Matter, < 2.5 um",0.02121250120455702,kg,False
Cadmium II,3.787180242307816e-05,kg,False
Chromium III,5.590765442358676e-05,kg,False
Nitrogen oxides,0.040379328255449654,kg,False
Zinc II,0.00010720071085226247,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.4865289511320767e-12,kg,False
Dinitrogen monoxide,0.00035917237773987583,kg,False
"Carbon monoxide, fossil",0.003104966454862278,kg,False
Sulfur dioxide,0.013205909443004281,kg,False
"NMVOC, non-methane volatile organic compounds",0.002671715108527428,kg,False
"Methane, fossil",0.004347348465772087,kg,False
Nitrogen oxides,0.008271428766740531,kg,False
Oxygen,1.3168504501061027,kg,True
"Heat, waste",4.009830874195886,MJ,False
Mercury II,4.654385160889063e-08,kg,False
Non-hazardous waste disposed,88.55973659300695,kg,False
"Occupation, dump site",0.34438220445186435,m2*a,True
"Transformation, from unspecified",0.006491752147816574,m2,True
"Transformation, to dump site",0.002911115522447515,m2,True
Sulfur hexafluoride,3.943091576407984e-06,kg,False
"Particulate Matter, > 10 um",0.03758425753988005,kg,False
Nickel II,4.555026639730591e-06,kg,False
"COD, Chemical Oxygen Demand",6.662391947235892e-05,kg,False
Sulfate,0.04023058179581867,kg,False
Manganese II,9.29489049202791e-05,kg,False
"DOC, Dissolved Organic Carbon",9.576261370150638e-05,kg,False
"TOC, Total Organic Carbon",9.576261370150638e-05,kg,False
Iron ion,0.003807244515062191,kg,False
Chromium III,4.860477328467767e-08,kg,False
Dissolved solids,0.0008357939096930978,kg,False
Arsenic ion,4.766734090270648e-06,kg,False
Cadmium II,5.221248583709732e-07,kg,False
Lead II,7.120700885098014e-07,kg,False
"Occupation, industrial area",0.08736812221241452,m2*a,True
Selenium IV,7.042319258984536e-07,kg,False
"BOD5, Biological Oxygen Demand",1.5552129335831666e-05,kg,False
"Solids, inorganic",0.008017749171328173,kg,False
Tin ion,1.0959479233633323e-06,kg,False
Chloride,0.07656849513084166,kg,False
Copper ion,1.5636023467126487e-05,kg,False
Uranium alpha,0.01154943107092863,kBq,False
"Transformation, to mineral extraction site",0.0013372663372906311,m2,True
Uranium,7.022491787174889e-05,kg,True
Radon-222,37.48955910477948,kBq,False
Radium-226,0.5648072106926321,kBq,False
Gangue,59.01020371138763,kg,True
"Suspended solids, unspecified",0.0005000377189388922,kg,False
"Transformation, from industrial area",1.1693078904121889e-05,m2,True
Molybdenum VI,9.722384543570085e-06,kg,False
Sulfate,0.10058899086958187,kg,False
Cadmium II,3.89097357519723e-06,kg,False
Aluminium III,0.00019438990808736347,kg,False
Nitrate,0.0010922214714678313,kg,False
Magnesium,0.008841694002096518,kg,False
Lead II,1.6076000630007202e-06,kg,False
Arsenic ion,3.895903024072656e-06,kg,False
Selenium IV,2.2210226432224517e-06,kg,False
Uranium alpha,0.0006966821743543233,kBq,False
Ammonium,0.0017276650168936312,kg,False
"Occupation, mineral extraction site",0.04731040058590681,m2*a,True
Zinc II,3.8829152060161714e-05,kg,False
Barium II,0.00013679689063628408,kg,False
Iron ion,0.00015242772136745103,kg,False
Thorium-230,0.025062426118509857,kBq,False
Vanadium V,4.729339089609646e-06,kg,False
Manganese II,9.69042431835932e-06,kg,False
"Transformation, to unspecified",0.00028851442195226205,m2,True
"Energy, solar, converted",0.04293836097950673,MJ,True
"Transformation, from pasture, man made",0.0010672383324541058,m2,True
"Occupation, river, artificial",0.019924954403499066,m2*a,True
"Transformation, from shrub land, sclerophyllous",0.0005069708073082808,m2,True
"Transformation, to river, artificial",0.00022744039090113213,m2,True
Nitrobenzene,2.5898058249225812e-06,kg,False
Aniline,6.522618123926578e-07,kg,False
Chlorine,8.28934381571657e-06,kg,False
Vinyl chloride,4.289921120821994e-07,kg,False
"1,1,2-Trichloroethane",7.680097498070801e-08,kg,False
Zirconium-95,0.002472149845776686,kBq,False
Niobium-95,0.006055787956344939,kBq,False
"Hydrocarbons, unspecified",4.644658508484447e-06,kg,False
Technetium-99m,2.563637455156109e-05,kBq,False
Antimony-124,0.005510138171563938,kBq,False
"Noble gases, radioactive, unspecified",370.20183650635647,kBq,False
Cobalt-58,0.002318126494413797,kBq,False
Antimony-125,8.608179414159037e-05,kBq,False
Molybdenum-99,9.61972723329506e-07,kBq,False
Chromium-51,0.00020113915968165456,kBq,False
Zinc-65,0.00048619952700520064,kBq,False
Iodine-131,0.001075846153823039,kBq,False
Antimony-125,4.629709265468865e-08,kBq,False
Tritium,32.242400368947514,kBq,False
Antimony-122,1.7885714427284385e-06,kBq,False
Cobalt-60,2.9094637281895604e-07,kBq,False
Ruthenium-103,5.782068886354682e-07,kBq,False
Silver-110,6.192730769623233e-09,kBq,False
Strontium-89,2.091414120704315e-05,kBq,False
Water,0.010049676717120823,m3,False
Barium-140,9.990391156477005e-07,kBq,False
Xenon-133,1.4196521420987043,kBq,False
Caesium-136,5.559608135029431e-07,kBq,False
Iodine-133,3.600884984253513e-06,kBq,False
Tellurium-132,1.6659039322757261e-07,kBq,False
Zirconium-95,1.1521125703827589e-07,kBq,False
Krypton-85m,0.027474223050569842,kBq,False
Tellurium-123m,3.5338375241303915e-06,kBq,False
Cobalt-60,0.0013132372089712035,kBq,False
Niobium-95,7.469105457443624e-06,kBq,False
Iodine-133,2.1811143600265085e-06,kBq,False
"Radioactive species, alpha emitters",9.03567357728436e-06,kBq,False
Carbon-14,0.0006055786888846851,kBq,False
Lanthanum-140,3.421713336057172e-06,kBq,False
Cerium-144,9.5364096835747e-07,kBq,False
Cobalt-57,1.7648293439310415e-05,kBq,False
Carbon-14,0.08822016703063616,kBq,False
Antimony-124,2.099237521285078e-09,kBq,False
"Aerosols, radioactive, unspecified",4.808773580711949e-06,kBq,False
Manganese-54,6.621743205383742e-05,kBq,False
Caesium-137,2.151594868580454e-07,kBq,False
Iron-59,0.004939615006008236,kBq,False
Xenon-135,0.4672692225373944,kBq,False
Cerium-141,1.2714800926206187e-06,kBq,False
Caesium-137,0.0004693064621605061,kBq,False
Caesium-134,4.390209650246446e-05,kBq,False
Sodium-24,2.041648792482477e-05,kBq,False
"Radioactive species, other beta emitters",2.195333602959289e-07,kBq,False
Iodine-131,0.00041456409316468687,kBq,False
Cobalt-58,4.329050327910999e-08,kBq,False
Strontium-90,0.01019302141287004,kBq,False
Silver-110,0.0007119518247534756,kBq,False
"Transformation, from dump site",0.0002956449421346159,m2,True
"Transformation, to forest, unspecified",0.0005121404191286299,m2,True
Vanadium V,0.0006001290865794095,kg,False
"Transformation, from traffic area, road network",0.00017738800003563106,m2,True
"Transformation, to traffic area, road network",0.0003366778417346211,m2,True
Silicon,0.4808142690026685,kg,False
"Transformation, to shrub land, sclerophyllous",0.00041219534880337894,m2,True
"Occupation, shrub land, sclerophyllous",0.0020609897577542904,m2*a,True
Hazardous waste disposed,46.92595765474774,kg,False
"Waste mass, total, placed in landfill",5.811911684263804,kg,True
"Occupation, traffic area, road network",0.05514703634372673,m2*a,True
Molybdenum VI,0.0002915860839167387,kg,False
"Occupation, construction site",0.007871066874284951,m2*a,True
"Transformation, to pasture, man made",0.00018391038936076143,m2,True
Silicon,0.0016920869087392603,kg,False
Iron ion,0.4447079944757452,kg,False
Zinc II,8.482802870164262e-06,kg,False
Propylene,9.402956651692847e-05,kg,False
"Hydrocarbons, aliphatic, alkanes, cyclic",3.6231249731663047e-06,kg,False
"Particulate Matter, < 2.5 um",0.003100592207400424,kg,False
Propylene oxide,0.0001151611788290564,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.7743890930684875e-06,kg,False
Methyl ethyl ketone,1.4818531422385429e-05,kg,False
Heptane,7.670885426407154e-07,kg,False
Copper ion,0.0010058283592667971,kg,False
Ethane,1.1362463314225333e-05,kg,False
Nickel II,2.952952945724699e-06,kg,False
Toluene,7.446665423136111e-06,kg,False
Benzene,0.0001090487046845813,kg,False
Isohexane,3.2669911799231366e-08,kg,False
Ethylene oxide,7.515630534432621e-06,kg,False
1-Pentene,4.679827745174773e-10,kg,False
o-Xylene,3.618024301965468e-09,kg,False
Pentane,4.49529176785596e-05,kg,False
Ethylene,3.7124487265307204e-05,kg,False
Cadmium II,2.7229847486893766e-06,kg,False
Propane,1.1259399610918701e-05,kg,False
Acetone,6.4796235097540035e-06,kg,False
m-Xylene,6.564809171682723e-07,kg,False
Acrolein,3.315003198547437e-08,kg,False
Chromium VI,2.6096649802430197e-08,kg,False
