Flow,Amount,Unit,Is input
Water,0.6486681977122791,m3,False
"Transformation, to industrial area",0.0032712825201360236,m2,True
"Transformation, to lake, artificial",0.004268694721067363,m2,True
"Water, turbine use, unspecified natural origin",555.5000388935093,m3,True
"Transformation, from forest, unspecified",0.005057458670771971,m2,True
"Energy, potential (in hydropower reservoir), converted",74.18667037061354,MJ,True
"Carbon dioxide, from soil or biomass stock",0.1607669334077497,kg,False
Water,561.2090201976131,m3,False
"Methane, non-fossil",0.0049120720890971315,kg,False
"Volume occupied, reservoir",4.871614771685801,m3*a,True
"Occupation, lake, artificial",0.5749466512457891,m2*a,True
Water,11.104282686892736,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.00184700949023086,kg,False
"Hydrocarbons, unspecified",0.00011060515791156664,kg,False
Cadmium II,6.701027368302922e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.0900351752514724e-10,kg,False
Selenium IV,1.7385595741539146e-07,kg,False
Chromium VI,6.429318201273416e-08,kg,False
Vanadium V,2.3562211701600163e-08,kg,False
Copper ion,2.3002367428695584e-05,kg,False
"TOC, Total Organic Carbon",0.006353018471711629,kg,False
Ammonia,0.005732700737895494,kg,False
Arsenic ion,7.848129509767003e-07,kg,False
Chromium III,3.1382170385667443e-06,kg,False
Zinc II,2.069243628961167e-05,kg,False
Nitrogen,9.808081196703293e-06,kg,False
"Water, unspecified natural origin",0.36719312862632447,m3,True
"AOX, Adsorbable Organic Halides",5.24037651355795e-06,kg,False
Benzene,2.624991138718111e-05,kg,False
Rhodium III,9.652195275472563e-10,kg,False
Mercury II,2.8065217417357998e-08,kg,False
Chloride,0.10810501441525881,kg,False
Tin ion,1.5656724931934477e-06,kg,False
Formaldehyde,2.0123440545396313e-05,kg,False
Nickel II,3.5304603399066816e-06,kg,False
Sulfate,0.01768132229411862,kg,False
Sulfide,8.099878166079707e-05,kg,False
Selenium IV,4.9438192064769636e-08,kg,False
"Suspended solids, unspecified",0.0004843461158503563,kg,False
Nitrogen oxides,0.053324667715843585,kg,False
Tellurium,1.4652066304687296e-09,kg,False
Platinum,9.652195275472563e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.6269341295083483e-08,kg,False
Beryllium II,6.1405144310253595e-09,kg,False
Palladium II,1.0014113788121245e-09,kg,False
Vanadium V,9.7187002030545e-06,kg,False
Copper ion,6.737262308451593e-06,kg,False
Antimony ion,2.025807483622472e-06,kg,False
Ammonium,6.0970095125261415e-05,kg,False
Cobalt II,4.964459445564761e-07,kg,False
Arsenic ion,4.7694551362124654e-08,kg,False
Fluoride,0.00016127393772495124,kg,False
Barium II,5.180186274914633e-06,kg,False
Hydrogen fluoride,0.00027531848478372237,kg,False
Lead II,1.2314919568965188e-05,kg,False
Hydrochloric acid,0.0002890306881626523,kg,False
Boron,4.6967826796285737e-07,kg,False
Chromium III,5.648648221107308e-05,kg,False
Sodium I,0.07175323425476836,kg,False
"NMVOC, non-methane volatile organic compounds",0.009357211778527776,kg,False
t-Butyl methyl ether,2.3483913398142836e-08,kg,False
Cyanide,7.56377668964617e-06,kg,False
"Heat, waste",1.6575420551670046,MJ,False
Nickel II,7.597310334929308e-06,kg,False
Hydrogen sulfide,0.0018966010652052502,kg,False
Cobalt II,1.4601421212389334e-07,kg,False
Mercury II,2.7122905773875026e-07,kg,False
Benzene,0.0001318598834214706,kg,False
"Particulate Matter, < 2.5 um",0.0026056001827944927,kg,False
"Carbon monoxide, fossil",0.029530273445354083,kg,False
Cadmium II,1.3073720964065179e-07,kg,False
"Xylenes, unspecified",2.6819674524531216e-05,kg,False
Dinitrogen monoxide,0.0010394793332661456,kg,False
Toluene,1.5236949181853837e-05,kg,False
"Particulate Matter, > 10 um",0.013104698864800977,kg,False
Thallium I,3.7689139761292675e-08,kg,False
Aluminium III,7.885222947094629e-07,kg,False
Nitrate,1.9444488766129975e-05,kg,False
"Xylenes, unspecified",1.1078542446900837e-06,kg,False
Nitrite,1.0483723591054196e-07,kg,False
"BOD5, Biological Oxygen Demand",0.021547688152127722,kg,False
Molybdenum VI,1.174195669907143e-08,kg,False
"Heat, waste",0.2890629424537554,MJ,False
Water,0.4644433394921922,m3,False
Benzo(a)pyrene,4.158016842000513e-08,kg,False
"Water, cooling, unspecified natural origin",6.071298423967731,m3,True
Manganese II,2.1415411468529932e-06,kg,False
Zinc II,4.442849300546556e-06,kg,False
Iron ion,0.00018685198631671228,kg,False
Manganese II,6.853785862993733e-07,kg,False
Toluene,4.6265465696477874e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.8403660284145183e-05,kg,False
Lead II,3.0742072654290304e-06,kg,False
Tin ion,1.1850481160211034e-08,kg,False
Phenol,7.773240931661124e-05,kg,False
"Carbon dioxide, fossil",6.151050527264064,kg,False
"Methane, fossil",0.0002452303555028968,kg,False
Phosphorus,1.6936668013977888e-06,kg,False
"Carbon dioxide, non-fossil",0.046958594705920106,kg,False
Sulfur dioxide,0.017512914602176338,kg,False
"DOC, Dissolved Organic Carbon",0.006364851842025281,kg,False
"COD, Chemical Oxygen Demand",0.021712629710674648,kg,False
"Water, well, in ground",0.14658360982390853,m3,True
"DOC, Dissolved Organic Carbon",0.15584468057657788,kg,False
Chloride,0.07942887020711492,kg,False
"COD, Chemical Oxygen Demand",0.1704892627833286,kg,False
Phenol,0.0002858365939684813,kg,False
Chlorine,5.4296741673089416e-05,kg,False
"Water, river",0.31442635753273396,m3,True
Sodium I,0.26329050315259817,kg,False
"Carbon dioxide, fossil",12.544278279696172,kg,False
Phenol,2.0498520630685247e-05,kg,False
"TOC, Total Organic Carbon",0.06601507180008569,kg,False
"BOD5, Biological Oxygen Demand",0.03192574191429934,kg,False
Hydrogen,0.00469660397305118,kg,False
Ammonia,0.0002834579226966835,kg,False
Benzene,0.00021698680532541861,kg,False
"NMVOC, non-methane volatile organic compounds",0.044045213262461955,kg,False
Nickel II,0.00032555690100430373,kg,False
"PAH, polycyclic aromatic hydrocarbons",5.049429523068626e-05,kg,False
"Carbon dioxide, fossil",64.03702839484797,kg,False
Selenium IV,9.517486564405388e-06,kg,False
Lead II,8.350837438867576e-07,kg,False
"Methane, fossil",0.2119132681068591,kg,False
Sulfur dioxide,0.4629794178622874,kg,False
Cadmium II,8.360543734467512e-08,kg,False
Benzo(a)pyrene,3.8352220430397126e-07,kg,False
Dinitrogen monoxide,0.0010911212135906933,kg,False
Copper ion,6.146362199165953e-05,kg,False
"Carbon monoxide, fossil",0.03227700853990707,kg,False
Zinc II,1.8467187882550146e-05,kg,False
"Particulate Matter, < 2.5 um",0.07892233131491919,kg,False
Cadmium II,5.334573606011929e-05,kg,False
Chromium III,5.4883519237326884e-05,kg,False
Nitrogen oxides,0.1565071896297522,kg,False
