Flow,Amount,Unit,Is input
Water,0.1621954049303373,m3,False
"Transformation, to industrial area",0.0010323457060904414,m2,True
"Transformation, to lake, artificial",0.000975984423111979,m2,True
"Water, turbine use, unspecified natural origin",127.50377157416105,m3,True
"Transformation, from forest, unspecified",0.0011528106281780237,m2,True
"Energy, potential (in hydropower reservoir), converted",16.294901778662343,MJ,True
"Carbon dioxide, from soil or biomass stock",0.041462671935989896,kg,False
Water,128.84356377940483,m3,False
"Methane, non-fossil",0.0013042286101803819,kg,False
"Volume occupied, reservoir",1.0664688275289995,m3*a,True
"Occupation, lake, artificial",0.13187933441024852,m2*a,True
Water,2.5207517007777023,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.00027785449624225623,kg,False
"Hydrocarbons, unspecified",1.3528053401874661e-05,kg,False
Cadmium II,1.758662184000757e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.8078295105351357e-12,kg,False
Selenium IV,3.818479964015465e-08,kg,False
Chromium VI,1.969457039978996e-08,kg,False
Vanadium V,4.9406788780012065e-09,kg,False
Copper ion,5.735694290146894e-06,kg,False
"TOC, Total Organic Carbon",0.0026951520709211983,kg,False
Ammonia,0.0019587897403385937,kg,False
Arsenic ion,1.8280129974311952e-07,kg,False
Chromium III,6.17139762665715e-07,kg,False
Zinc II,5.671595685085438e-06,kg,False
Nitrogen,2.0295119536390096e-06,kg,False
"Water, unspecified natural origin",0.06234166372300052,m3,True
"AOX, Adsorbable Organic Halides",2.863834918518412e-07,kg,False
Benzene,1.2132352475553151e-05,kg,False
Rhodium III,2.1134473226904226e-10,kg,False
Mercury II,8.76926552357668e-09,kg,False
Chloride,0.04884386580698324,kg,False
Tin ion,4.2041818966937726e-07,kg,False
Formaldehyde,8.126533843450805e-06,kg,False
Nickel II,7.365504606033786e-07,kg,False
Sulfate,0.0026064896246420013,kg,False
Sulfide,1.3343686962655823e-05,kg,False
Selenium IV,9.964550834448512e-09,kg,False
"Suspended solids, unspecified",6.4451415573429e-05,kg,False
Nitrogen oxides,0.016798679401985227,kg,False
Tellurium,3.216364914067831e-10,kg,False
Platinum,2.1134473226904226e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",4.997589044110124e-10,kg,False
Beryllium II,1.745881992671796e-09,kg,False
Palladium II,2.1268442069143847e-10,kg,False
Vanadium V,2.1545851446889004e-06,kg,False
Copper ion,1.660339454905399e-06,kg,False
Antimony ion,5.175516566930619e-07,kg,False
Ammonium,0.00010799658989821933,kg,False
Cobalt II,1.0063640612223442e-07,kg,False
Arsenic ion,1.2673766913891835e-08,kg,False
Fluoride,9.570300378170946e-06,kg,False
Barium II,1.6818948831255893e-06,kg,False
Hydrogen fluoride,9.795260632900184e-06,kg,False
Lead II,3.23676272435152e-06,kg,False
Hydrochloric acid,0.00022731531596797272,kg,False
Boron,9.867796674663466e-08,kg,False
Chromium III,6.823795567297911e-06,kg,False
Sodium I,0.02929805887194468,kg,False
"NMVOC, non-methane volatile organic compounds",0.0028827245244700773,kg,False
t-Butyl methyl ether,4.933898337331725e-09,kg,False
Cyanide,9.326290403548644e-06,kg,False
"Heat, waste",0.369115253356946,MJ,False
Nickel II,1.4585048469134567e-06,kg,False
Hydrogen sulfide,0.0003397440421118458,kg,False
Cobalt II,5.062798325993319e-09,kg,False
Mercury II,4.8758650609373125e-08,kg,False
Benzene,4.7969180600666164e-05,kg,False
"Particulate Matter, < 2.5 um",0.0006948643898146079,kg,False
"Carbon monoxide, fossil",0.00835910093486126,kg,False
Cadmium II,4.1020539978752674e-08,kg,False
"Xylenes, unspecified",5.011570787933555e-06,kg,False
Dinitrogen monoxide,0.0002826141078224383,kg,False
Toluene,2.9369366266491536e-06,kg,False
"Particulate Matter, > 10 um",0.0029653218443378452,kg,False
Thallium I,9.039357926466718e-09,kg,False
Aluminium III,1.5055532151660848e-07,kg,False
Nitrate,1.850016113698615e-05,kg,False
"Xylenes, unspecified",1.5753531835830947e-07,kg,False
Nitrite,2.2733376304551924e-08,kg,False
"BOD5, Biological Oxygen Demand",0.00836496544253921,kg,False
Molybdenum VI,2.466949168665866e-09,kg,False
"Heat, waste",0.06124262335458858,MJ,False
Water,0.09982505440839112,m3,False
Benzo(a)pyrene,5.3688543784423265e-09,kg,False
"Water, cooling, unspecified natural origin",1.3984233563479773,m3,True
Manganese II,5.910671355664418e-07,kg,False
Zinc II,9.823444101626926e-07,kg,False
Iron ion,3.9861545420266064e-05,kg,False
Manganese II,1.923761637513569e-07,kg,False
Toluene,8.589517933806525e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",6.743213867708012e-07,kg,False
Lead II,5.903504894113002e-07,kg,False
Tin ion,2.506684708389659e-09,kg,False
Phenol,2.752794702473366e-05,kg,False
"Carbon dioxide, fossil",1.327030601993702,kg,False
"Methane, fossil",8.281111234550474e-05,kg,False
Phosphorus,2.64849861477395e-07,kg,False
"Carbon dioxide, non-fossil",0.019572782604658872,kg,False
Sulfur dioxide,0.0017229077203413173,kg,False
"DOC, Dissolved Organic Carbon",0.0027079056774833364,kg,False
"COD, Chemical Oxygen Demand",0.008375094783123276,kg,False
"Water, well, in ground",0.06532990225579363,m3,True
"DOC, Dissolved Organic Carbon",0.02672045377296321,kg,False
Chloride,0.03867336133664831,kg,False
"COD, Chemical Oxygen Demand",0.011802526652283436,kg,False
Phenol,0.00012498247831211373,kg,False
Chlorine,5.648029656222329e-05,kg,False
"Water, river",0.10773504683852846,m3,True
Sodium I,0.08857685850218806,kg,False
"Carbon dioxide, fossil",2.6203028555057215,kg,False
Phenol,2.3740855465455016e-06,kg,False
"TOC, Total Organic Carbon",0.0065972206116625375,kg,False
"BOD5, Biological Oxygen Demand",0.005333138486219592,kg,False
Hydrogen,0.000866872471663749,kg,False
Ammonia,6.823460044877044e-05,kg,False
Benzene,4.629338162665298e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.009615230873376818,kg,False
Nickel II,5.6397321120757286e-05,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.0283444640894804e-05,kg,False
"Carbon dioxide, fossil",14.642149532150171,kg,False
Selenium IV,3.766371439033967e-06,kg,False
Lead II,1.5334141341711104e-06,kg,False
"Methane, fossil",0.04659443334310699,kg,False
Sulfur dioxide,0.07154964409914379,kg,False
Cadmium II,1.3722635263540255e-06,kg,False
Benzo(a)pyrene,1.0167763826934102e-07,kg,False
Dinitrogen monoxide,0.0002576125305590868,kg,False
Copper ion,9.674130598657129e-06,kg,False
"Carbon monoxide, fossil",0.00693275403275494,kg,False
Zinc II,3.1471567208020778e-06,kg,False
"Particulate Matter, < 2.5 um",0.018840315535693816,kg,False
Cadmium II,9.58633014888498e-06,kg,False
Chromium III,1.6028672045908143e-05,kg,False
Nitrogen oxides,0.03739005474969657,kg,False
Zinc II,3.161242774988843e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.0390471660038008e-12,kg,False
Dinitrogen monoxide,0.00024466103391843937,kg,False
"Carbon monoxide, fossil",0.0017429616435607745,kg,False
Sulfur dioxide,0.009664363114445707,kg,False
"NMVOC, non-methane volatile organic compounds",0.007122725988511069,kg,False
"Methane, fossil",0.0007172817134567744,kg,False
Nitrogen oxides,0.005507011015701464,kg,False
Oxygen,1.2483944073074926,kg,True
"Heat, waste",2.850540505277655,MJ,False
Mercury II,3.4025645754239944e-08,kg,False
Non-hazardous waste disposed,78.84213530432264,kg,False
"Occupation, dump site",0.2032242353775678,m2*a,True
"Transformation, from unspecified",0.01005455147869946,m2,True
"Transformation, to dump site",0.0016512794753244882,m2,True
Sulfur hexafluoride,3.522916701540135e-06,kg,False
"Particulate Matter, > 10 um",0.029211141472286175,kg,False
Nickel II,7.4381970295608564e-06,kg,False
"COD, Chemical Oxygen Demand",3.2001079711182934e-05,kg,False
Sulfate,0.054269292278387574,kg,False
Manganese II,0.00014764695516889735,kg,False
"DOC, Dissolved Organic Carbon",0.00012471893086209317,kg,False
"TOC, Total Organic Carbon",0.00012471893086209317,kg,False
Iron ion,0.003630785411342905,kg,False
Chromium III,1.2459926712867827e-08,kg,False
Dissolved solids,0.0007709148593514852,kg,False
Arsenic ion,5.394094687530819e-06,kg,False
Cadmium II,1.4650687917274039e-06,kg,False
Lead II,1.917446182600966e-06,kg,False
"Occupation, industrial area",0.039073504123308504,m2*a,True
Selenium IV,8.595515028004927e-07,kg,False
"BOD5, Biological Oxygen Demand",5.983151180740153e-06,kg,False
"Solids, inorganic",0.006937418956458017,kg,False
Tin ion,2.8755604745058934e-06,kg,False
Chloride,0.06584691245730578,kg,False
Copper ion,2.663947257785485e-05,kg,False
Uranium alpha,0.010171926082671683,kBq,False
"Transformation, to mineral extraction site",0.0062986317272770345,m2,True
Uranium,6.177292304460413e-05,kg,True
Radon-222,33.01865892163457,kBq,False
Radium-226,0.45615589185838135,kBq,False
Gangue,54.78472653097175,kg,True
"Suspended solids, unspecified",0.0004627428491395402,kg,False
"Transformation, from industrial area",9.937315983222437e-06,m2,True
Molybdenum VI,8.073752645646562e-06,kg,False
Sulfate,0.02322015114342063,kg,False
Cadmium II,5.257389905816351e-06,kg,False
Aluminium III,0.00016333583933098107,kg,False
Nitrate,0.002958095405833607,kg,False
Magnesium,0.0032624853726217337,kg,False
Lead II,1.8700217655565806e-05,kg,False
Arsenic ion,8.611517535148176e-06,kg,False
Selenium IV,1.0213005350013049e-06,kg,False
Uranium alpha,0.0006135881663577232,kBq,False
Ammonium,0.00038526236337167285,kg,False
"Occupation, mineral extraction site",0.20246615592622794,m2*a,True
Zinc II,0.0002881752356598728,kg,False
Barium II,0.00010772439306344499,kg,False
Iron ion,0.00040523811109578376,kg,False
Thorium-230,0.022073204189546784,kBq,False
Vanadium V,3.703475868533239e-06,kg,False
Manganese II,9.157265275996445e-06,kg,False
"Transformation, to unspecified",0.005844348156735181,m2,True
"Energy, solar, converted",0.02185642814993275,MJ,True
"Transformation, from pasture, man made",0.0004721066634403603,m2,True
"Occupation, river, artificial",0.015180834108238837,m2*a,True
"Transformation, from shrub land, sclerophyllous",0.00022410862294956787,m2,True
"Transformation, to river, artificial",0.00017643479828039917,m2,True
Nitrobenzene,4.1976938466130297e-07,kg,False
Aniline,1.0567117693338565e-07,kg,False
Chlorine,0.0005759827655702702,kg,False
Vinyl chloride,2.492436817740201e-07,kg,False
"1,1,2-Trichloroethane",1.2137401476446057e-08,kg,False
Zirconium-95,0.002126748692903486,kBq,False
Niobium-95,0.005209485351615997,kBq,False
"Hydrocarbons, unspecified",7.527116773954618e-06,kg,False
Technetium-99m,2.311675163559573e-05,kBq,False
Antimony-124,0.004742102224035886,kBq,False
"Noble gases, radioactive, unspecified",323.1153994077323,kBq,False
Cobalt-58,0.002054311751736759,kBq,False
Antimony-125,7.613994986881035e-05,kBq,False
Molybdenum-99,8.712900856254039e-07,kBq,False
Chromium-51,0.0001818531067265268,kBq,False
Zinc-65,0.0004227333481019833,kBq,False
Iodine-131,0.0009260106074569,kBq,False
Antimony-125,4.103648981909247e-08,kBq,False
Tritium,27.807787228637434,kBq,False
Antimony-122,1.5853413160882626e-06,kBq,False
Cobalt-60,2.6065421069082675e-07,kBq,False
Ruthenium-103,5.12787866707127e-07,kBq,False
Silver-110,5.489068937340383e-09,kBq,False
Strontium-89,1.880543256050455e-05,kBq,False
Water,0.00884027432066394,m3,False
Barium-140,9.050916901941934e-07,kBq,False
Xenon-133,1.2618324541266757,kBq,False
Caesium-136,4.927886170583762e-07,kBq,False
Iodine-133,3.191726985929336e-06,kBq,False
Tellurium-132,1.4766121550290257e-07,kBq,False
Zirconium-95,1.0213686943467393e-07,kBq,False
Krypton-85m,0.024499931475797647,kBq,False
Tellurium-123m,3.106593174490669e-06,kBq,False
Cobalt-60,0.0011703452940478667,kBq,False
Niobium-95,6.647045125720281e-06,kBq,False
Iodine-133,1.959900765786762e-06,kBq,False
"Radioactive species, alpha emitters",1.2997410156731569e-05,kBq,False
Carbon-14,0.0005209484387750749,kBq,False
Lanthanum-140,3.0807880583191797e-06,kBq,False
Cerium-144,8.452815424276313e-07,kBq,False
Cobalt-57,1.5642969623347705e-05,kBq,False
Carbon-14,0.07818009824632992,kBq,False
Antimony-124,1.883434303809697e-09,kBq,False
"Aerosols, radioactive, unspecified",3.985454270742375e-06,kBq,False
Manganese-54,5.9389989865986606e-05,kBq,False
Caesium-137,1.9464668075281127e-07,kBq,False
Iron-59,0.004249328295344818,kBq,False
Xenon-135,0.41660653789351537,kBq,False
Cerium-141,1.145102952816755e-06,kBq,False
Caesium-137,0.00041980705626263573,kBq,False
Caesium-134,3.801540397792423e-05,kBq,False
Sodium-24,1.8109774479432665e-05,kBq,False
"Radioactive species, other beta emitters",1.8845022862177507e-07,kBq,False
Iodine-131,0.0003201535086546002,kBq,False
Cobalt-58,3.858406976619285e-08,kBq,False
Strontium-90,0.007727016080264031,kBq,False
Silver-110,0.0006435510145241506,kBq,False
"Transformation, from dump site",9.485795788430241e-05,m2,True
"Transformation, to forest, unspecified",0.00018119087713711516,m2,True
Vanadium V,0.00046719861367367876,kg,False
"Transformation, from traffic area, road network",5.691510673261864e-05,m2,True
"Transformation, to traffic area, road network",0.00013528791905997309,m2,True
Silicon,0.38285236603372236,kg,False
"Transformation, to shrub land, sclerophyllous",0.00014643334563241642,m2,True
"Occupation, shrub land, sclerophyllous",0.0007321669884778093,m2*a,True
Hazardous waste disposed,60.67818475132333,kg,False
"Waste mass, total, placed in landfill",1.9706469567446874,kg,True
"Occupation, traffic area, road network",0.0215861241743709,m2*a,True
Molybdenum VI,0.00034738980908930616,kg,False
"Occupation, construction site",0.0038348399037889504,m2*a,True
"Transformation, to pasture, man made",6.44746382920509e-05,m2,True
Silicon,0.0017235705284615623,kg,False
Iron ion,0.610293432834874,kg,False
Zinc II,5.534037296807314e-06,kg,False
Propylene,2.8787529614582655e-05,kg,False
"Hydrocarbons, aliphatic, alkanes, cyclic",2.495241246482989e-06,kg,False
"Particulate Matter, < 2.5 um",0.002560809160735011,kg,False
Propylene oxide,1.1270286720902148e-05,kg,False
"PAH, polycyclic aromatic hydrocarbons",4.525344989451773e-07,kg,False
Methyl ethyl ketone,0.024354406110051022,kg,False
Heptane,5.26082710726192e-07,kg,False
Copper ion,9.954909255703543e-05,kg,False
Ethane,9.745318920012654e-06,kg,False
Nickel II,2.450421768492282e-06,kg,False
Toluene,4.464471251432461e-06,kg,False
Benzene,3.0231812836368688e-05,kg,False
Isohexane,1.4514305771573429e-08,kg,False
Ethylene oxide,4.46114189645869e-06,kg,False
1-Pentene,1.8159753491535433e-10,kg,False
o-Xylene,1.6042312220353443e-09,kg,False
Pentane,2.1439312632105956e-05,kg,False
Ethylene,6.011549611279509e-05,kg,False
Cadmium II,3.0161920022897305e-07,kg,False
Propane,8.818845991765558e-06,kg,False
Acetone,0.006358051278642562,kg,False
m-Xylene,5.325564212733715e-07,kg,False
Acrolein,6.972454624576877e-09,kg,False
Chromium VI,2.2537197126897942e-08,kg,False
Formaldehyde,8.593909184872957e-05,kg,False
Benzaldehyde,3.1134005381879285e-09,kg,False
Butane,2.0729119776094558e-05,kg,False
Selenium IV,1.256714097318355e-07,kg,False
Styrene,4.6470461195058937e-07,kg,False
Hexane,3.6636527215772903e-06,kg,False
Acetaldehyde,7.297803450240998e-06,kg,False
Chromium III,2.7475856969915434e-07,kg,False
Ammonia,0.00017889000124693942,kg,False
Lead II,1.1860438291330475e-06,kg,False
Hydrogen,6.43641140286862e-05,kg,False
Ethylene,6.230603301158514e-10,kg,False
Lead II,7.948403530107249e-05,kg,False
Propane,0.00013229171198485352,kg,False
Arsenic ion,2.9093964659689393e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",9.503995278430258e-12,kg,False
Propionic acid,8.875549060675759e-07,kg,False
Butane,0.00017615597996200672,kg,False
Acenaphthene,2.3803996538058957e-08,kg,False
Beryllium II,8.797445254353797e-08,kg,False
Hexane,8.971704079071999e-05,kg,False
Manganese II,1.6687813005290543e-05,kg,False
Acetaldehyde,1.161008231667724e-05,kg,False
Formaldehyde,2.239397512951715e-05,kg,False
Cobalt II,9.419114228632196e-07,kg,False
Pentane,0.0001566264341191571,kg,False
Acetic acid,7.67136872502721e-06,kg,False
Toluene,2.1857113680859994e-05,kg,False
Ethane,0.0002707294926583824,kg,False
Mercury II,1.5768051042001752e-06,kg,False
Scandium,4.3153266220257144e-06,kg,False
