Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.0944559637356635,mol H+-Eq,0.0016997794411279057,mol H+-Eq/ref
Climate change,23.580190700378914,kg CO2-Eq,0.0031219291766692433,kg CO2-Eq/ref
Climate change: biogenic,0.004854381045906584,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,23.56702387780295,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.008312441530062291,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,46.440263735931204,CTUe,0.0008188127447857117,CTUe/ref
"Ecotoxicity: freshwater, inorganics",43.96626412601223,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",2.4739996099189794,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,344.8770891796609,"MJ, net calorific value",0.005305453688473881,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0016899659803568119,kg P-Eq,0.0010517246428022352,kg P-Eq/ref
Eutrophication: marine,0.0363007196001434,kg N-Eq,0.0018572720599846974,kg N-Eq/ref
Eutrophication: terrestrial,0.39497723522389483,mol N-Eq,0.002234602900460046,mol N-Eq/ref
Human toxicity: carcinogenic,3.741745289592017e-09,CTUh,0.0002168763100459643,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.5368495640997766e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",2.2048957254922415e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,2.1505461580023133e-07,CTUh,0.0016705087605660522,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.010373357254486e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.4017280074782852e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.37130932255497795,kBq U235-Eq,8.798458453879388e-05,kBq U235-Eq/ref
Land use,348.962109874491,dimensionless,0.0004258241411098691,dimensionless/ref
Material resources: metals/minerals,6.894726899222003e-05,kg Sb-Eq,0.001083691215650599,kg Sb-Eq/ref
Ozone depletion,5.38382669803848e-07,kg CFC-11-Eq,1.0284609360404656e-05,kg CFC-11-Eq/ref
Particulate matter formation,2.4374288371726097e-06,disease incidence,0.0040939938511415815,disease incidence/ref
Photochemical oxidant formation: human health,0.15057877228845404,kg NMVOC-Eq,0.0036853090773707182,kg NMVOC-Eq/ref
Water use,1.9896749972581247,m3 world Eq deprived,0.00017348727391317917,m3 world Eq deprived/ref
