Flow,Amount,Unit,Is input
Water,0.04532534958746249,m3,False
"Transformation, to industrial area",0.00024247616608504875,m2,True
"Transformation, to lake, artificial",0.00026066446612012744,m2,True
"Water, turbine use, unspecified natural origin",19.823241824295437,m3,True
"Transformation, from forest, unspecified",0.002197259765260135,m2,True
"Energy, potential (in hydropower reservoir), converted",2.7206767836000503,MJ,True
"Carbon dioxide, from soil or biomass stock",0.008125798075192944,kg,False
Water,20.079471039552352,m3,False
"Methane, non-fossil",0.00017607519988965735,kg,False
"Volume occupied, reservoir",0.12338238041454547,m3*a,True
"Occupation, lake, artificial",0.015477949022138377,m2*a,True
Water,0.4334335513898262,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.009848558805485574,kg,False
"Hydrocarbons, unspecified",1.1300499237891723e-05,kg,False
Cadmium II,4.7628972195748433e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.338238446666462e-12,kg,False
Selenium IV,5.884223931026936e-07,kg,False
Chromium VI,5.972301794579846e-08,kg,False
Vanadium V,4.9354044539375156e-08,kg,False
Copper ion,0.0002890127566201842,kg,False
"TOC, Total Organic Carbon",6.417370090032135e-05,kg,False
Ammonia,0.00027244279651909755,kg,False
Arsenic ion,6.481413454733171e-07,kg,False
Chromium III,7.685698518577206e-07,kg,False
Zinc II,0.00012800657169641493,kg,False
Nitrogen,1.3552065669418059e-05,kg,False
"Water, unspecified natural origin",0.04378372257061423,m3,True
"AOX, Adsorbable Organic Halides",5.745941491227037e-07,kg,False
Benzene,1.6828585646489709e-06,kg,False
Rhodium III,2.4744256009670928e-09,kg,False
Mercury II,1.9152489737508734e-08,kg,False
Chloride,0.002112928046389824,kg,False
Tin ion,3.940428049756919e-05,kg,False
Formaldehyde,5.622705217687313e-05,kg,False
Nickel II,1.1235539012595278e-06,kg,False
Sulfate,0.0018447480125498858,kg,False
Sulfide,3.137352506399616e-06,kg,False
Selenium IV,9.874909763451766e-08,kg,False
"Suspended solids, unspecified",0.0001428452899214339,kg,False
Nitrogen oxides,0.07980361981765188,kg,False
Tellurium,3.60098622002621e-09,kg,False
Platinum,2.4744256009670928e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.9758178063155774e-09,kg,False
Beryllium II,3.7196204777452873e-09,kg,False
Palladium II,2.474524325695489e-09,kg,False
Vanadium V,2.8168859571549513e-05,kg,False
Copper ion,1.136442193858998e-06,kg,False
Antimony ion,5.592534639516233e-05,kg,False
Ammonium,7.873365279572402e-06,kg,False
Cobalt II,7.276397893359835e-07,kg,False
Arsenic ion,4.4779117359242443e-08,kg,False
Fluoride,5.319636919973192e-06,kg,False
Barium II,6.461288608568983e-07,kg,False
Hydrogen fluoride,1.194996425905191e-05,kg,False
Lead II,3.7844163260911326e-05,kg,False
Hydrochloric acid,5.385256846213784e-05,kg,False
Boron,9.87045340527899e-07,kg,False
Chromium III,1.5465698369712295e-05,kg,False
Sodium I,0.00043910386706405173,kg,False
"NMVOC, non-methane volatile organic compounds",0.015151993752534896,kg,False
t-Butyl methyl ether,4.9352267026394863e-08,kg,False
Cyanide,8.142692972668521e-07,kg,False
"Heat, waste",3.5708305358906722,MJ,False
Nickel II,1.42541341935291e-05,kg,False
Hydrogen sulfide,6.97472720149109e-05,kg,False
Cobalt II,4.5751919458479425e-09,kg,False
Mercury II,1.9866582356070165e-07,kg,False
Benzene,3.085058002558556e-05,kg,False
"Particulate Matter, < 2.5 um",0.006330053850060247,kg,False
"Carbon monoxide, fossil",0.035924067237334704,kg,False
Cadmium II,1.1230154422132518e-07,kg,False
"Xylenes, unspecified",2.5610126059235164e-05,kg,False
Dinitrogen monoxide,0.0003939531096465544,kg,False
Toluene,2.8404397972566165e-06,kg,False
"Particulate Matter, > 10 um",0.02599415500947215,kg,False
Thallium I,8.01624753287792e-08,kg,False
Aluminium III,5.271981175355595e-07,kg,False
Nitrate,3.0077320492920753e-06,kg,False
"Xylenes, unspecified",3.860196712679167e-08,kg,False
Nitrite,1.5139628496490683e-07,kg,False
"BOD5, Biological Oxygen Demand",0.00016907745774643874,kg,False
Molybdenum VI,2.4676133513197435e-08,kg,False
"Heat, waste",0.7377717300501692,MJ,False
Water,0.010982786582287572,m3,False
Benzo(a)pyrene,1.9309815675196964e-08,kg,False
"Water, cooling, unspecified natural origin",0.25184501545766985,m3,True
Manganese II,1.5019020322906438e-05,kg,False
Zinc II,1.5225720234933674e-06,kg,False
Iron ion,7.2154532338282e-05,kg,False
Manganese II,4.946322198435966e-07,kg,False
Toluene,2.4642612546812053e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.7365009147743435e-06,kg,False
Lead II,7.277554258888323e-07,kg,False
Tin ion,2.4677990424571497e-08,kg,False
Phenol,4.465810499818852e-07,kg,False
"Carbon dioxide, fossil",17.336246957559116,kg,False
"Methane, fossil",0.0002538459027889587,kg,False
Phosphorus,1.547248115291471e-06,kg,False
"Carbon dioxide, non-fossil",0.011128289794715947,kg,False
Sulfur dioxide,0.008621411586720909,kg,False
"DOC, Dissolved Organic Carbon",6.32340206331832e-05,kg,False
"COD, Chemical Oxygen Demand",0.00031083371646030715,kg,False
"Water, well, in ground",0.008772615440463767,m3,True
"DOC, Dissolved Organic Carbon",0.03267759011419398,kg,False
Chloride,0.03307537416150599,kg,False
"COD, Chemical Oxygen Demand",0.002122234951783285,kg,False
Phenol,4.55181748570265e-06,kg,False
Chlorine,7.124798300914045e-06,kg,False
"Water, river",0.009379568280919955,m3,True
Sodium I,0.07913642286752265,kg,False
"Carbon dioxide, fossil",0.6220595988044689,kg,False
Phenol,3.561876249946292e-08,kg,False
"TOC, Total Organic Carbon",0.005372771580425988,kg,False
"BOD5, Biological Oxygen Demand",0.0013956622795333693,kg,False
Hydrogen,9.056975291986711e-05,kg,False
Ammonia,7.194687452621104e-05,kg,False
Benzene,1.7001854872131843e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.036521852586437184,kg,False
Nickel II,7.731580438790276e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.229779203277486e-06,kg,False
"Carbon dioxide, fossil",2.985228647999865,kg,False
Selenium IV,2.6423961514156374e-07,kg,False
Lead II,3.0959995471364044e-08,kg,False
"Methane, fossil",0.08265427218596642,kg,False
Sulfur dioxide,0.008450668835521856,kg,False
Cadmium II,1.0966311415599773e-08,kg,False
Benzo(a)pyrene,2.1228247297715938e-07,kg,False
Dinitrogen monoxide,5.18095572071384e-05,kg,False
Copper ion,1.4099231025282227e-06,kg,False
"Carbon monoxide, fossil",0.003624373318440668,kg,False
Zinc II,5.519488071457054e-07,kg,False
"Particulate Matter, < 2.5 um",0.002816020369152319,kg,False
Cadmium II,8.066373976137276e-07,kg,False
Chromium III,2.3086055630048486e-06,kg,False
Nitrogen oxides,0.010555291844776504,kg,False
Zinc II,4.04285898837462e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.0606978666313983e-13,kg,False
Dinitrogen monoxide,2.7255594615980236e-05,kg,False
"Carbon monoxide, fossil",0.0018523980940621035,kg,False
Sulfur dioxide,0.0024406221193306547,kg,False
"NMVOC, non-methane volatile organic compounds",0.0013992648729876348,kg,False
"Methane, fossil",9.830390932162944e-05,kg,False
Nitrogen oxides,0.0011774395552370638,kg,False
Oxygen,0.9091543691384395,kg,True
"Heat, waste",0.7272932005810997,MJ,False
Mercury II,9.508936207349538e-09,kg,False
Non-hazardous waste disposed,40.523668509220606,kg,False
"Occupation, dump site",0.03565947075897928,m2*a,True
"Transformation, from unspecified",0.004790020582457475,m2,True
"Transformation, to dump site",0.00019171806252459234,m2,True
Sulfur hexafluoride,4.302449241471896e-07,kg,False
"Particulate Matter, > 10 um",0.006058985513597038,kg,False
Nickel II,1.2725697837482442e-06,kg,False
"COD, Chemical Oxygen Demand",5.045365151619122e-06,kg,False
Sulfate,0.004675667399948185,kg,False
Manganese II,1.0731332686510655e-05,kg,False
"DOC, Dissolved Organic Carbon",6.008173979256558e-06,kg,False
"TOC, Total Organic Carbon",6.008173979256558e-06,kg,False
Iron ion,0.0004944660444490818,kg,False
Chromium III,6.729487928068015e-07,kg,False
Dissolved solids,0.00013260106295043944,kg,False
Arsenic ion,6.336187659472629e-07,kg,False
Cadmium II,1.5971948934400727e-07,kg,False
Lead II,4.9948645371268345e-06,kg,False
"Occupation, industrial area",0.042106802466160755,m2*a,True
Selenium IV,6.393597373735341e-07,kg,False
"BOD5, Biological Oxygen Demand",1.2450120438262371e-06,kg,False
"Solids, inorganic",0.0009738094864786602,kg,False
Tin ion,4.438846056089033e-08,kg,False
Chloride,0.011563525455281677,kg,False
Copper ion,5.443315795502592e-06,kg,False
Uranium alpha,0.0017437453092956662,kBq,False
"Transformation, to mineral extraction site",0.0030581237026587596,m2,True
Uranium,1.0578676409016422e-05,kg,True
