Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,3.5842415079278354,mol H+-Eq,0.0645001097470431,mol H+-Eq/ref
Climate change,351.3541381360217,kg CO2-Eq,0.0465179755807783,kg CO2-Eq/ref
Climate change: biogenic,1.423448246445431,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,349.22465783013877,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.7060320594374699,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,5260.417154204532,CTUe,0.0927491849151465,CTUe/ref
"Ecotoxicity: freshwater, inorganics",4997.859428776693,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",262.5577254278377,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,4355.744265014819,"MJ, net calorific value",0.06700705904193385,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.31979196597966936,kg P-Eq,0.1990176696456224,kg P-Eq/ref
Eutrophication: marine,0.4553516734178042,kg N-Eq,0.02329738776040196,kg N-Eq/ref
Eutrophication: terrestrial,4.937577428896731,mol N-Eq,0.027934584223833256,mol N-Eq/ref
Human toxicity: carcinogenic,3.1817384833576236e-07,CTUh,0.018441760419162134,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.936948884413412e-07,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.2447895989442107e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.7837072940922174e-05,CTUh,0.1385554385791245,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.6848735845988084e-05,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",9.883370949340838e-07,CTUh,0.0,CTUh/ref
Ionising radiation: human health,30.509931071758277,kBq U235-Eq,0.007229561571965174,kBq U235-Eq/ref
Land use,1555.8775925246382,dimensionless,0.001898573572205828,dimensionless/ref
Material resources: metals/minerals,0.055837955920440996,kg Sb-Eq,0.8776432078505576,kg Sb-Eq/ref
Ozone depletion,3.174530581266437e-05,kg CFC-11-Eq,0.0006064238089773351,kg CFC-11-Eq/ref
Particulate matter formation,3.0407869485161352e-05,disease incidence,0.05107416011495658,disease incidence/ref
Photochemical oxidant formation: human health,1.8375768528362473,kg NMVOC-Eq,0.044973395341217026,kg NMVOC-Eq/ref
Water use,122.76482728642401,m3 world Eq deprived,0.010704328720868439,m3 world Eq deprived/ref
