Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0024835867577286124,mol H+-Eq/ref
Climate change,0.0011174902962236659,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.00022506456153909699,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0016192371234013952,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.00022880575090232852,kg P-Eq/ref
Eutrophication: marine,0.0029194920146835284,kg N-Eq/ref
Eutrophication: terrestrial,0.0035677832718909158,mol N-Eq/ref
Human toxicity: carcinogenic,8.269256451763976e-05,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.00022358979401302832,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,1.668587971672359e-05,kBq U235-Eq/ref
Land use,2.6410224374898452e-05,dimensionless/ref
Material resources: metals/minerals,0.00017809446657865403,kg Sb-Eq/ref
Ozone depletion,2.454574003764758e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.00045728386422627253,disease incidence/ref
Photochemical oxidant formation: human health,0.004125968848731695,kg NMVOC-Eq/ref
Water use,2.864653302469635e-05,m3 world Eq deprived/ref
