Impact category,Amount (Normalized),Normalized Unit
Acidification,0.003665825838749282,mol H+-Eq/ref
Climate change,0.0026509496991261247,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.008309513541652186,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.004024836998275704,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.015533155960104008,kg P-Eq/ref
Eutrophication: marine,0.001485157149161023,kg N-Eq/ref
Eutrophication: terrestrial,0.0018050896349784643,mol N-Eq/ref
Human toxicity: carcinogenic,0.0009176934683525534,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0065079383368155126,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0005015733436113517,kBq U235-Eq/ref
Land use,0.00013139486583311087,dimensionless/ref
Material resources: metals/minerals,0.09854011418189373,kg Sb-Eq/ref
Ozone depletion,1.545886531034946e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.002184167526593178,disease incidence/ref
Photochemical oxidant formation: human health,0.002326958805351617,kg NMVOC-Eq/ref
Water use,0.0006402771945808627,m3 world Eq deprived/ref
