Impact category,Amount (Normalized),Normalized Unit
Acidification,0.004659638484955101,mol H+-Eq/ref
Climate change,0.005358600037520213,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.005199467544411321,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.008255100021518701,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.013612243193243728,kg P-Eq/ref
Eutrophication: marine,0.002223710169594056,kg N-Eq/ref
Eutrophication: terrestrial,0.002470735919782755,mol N-Eq/ref
Human toxicity: carcinogenic,0.0011512930246699348,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.007158038277821925,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0009082787291257338,kBq U235-Eq/ref
Land use,0.0001438677256696734,dimensionless/ref
Material resources: metals/minerals,0.023634769715949116,kg Sb-Eq/ref
Ozone depletion,2.0925197497339165e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.003768821127803376,disease incidence/ref
Photochemical oxidant formation: human health,0.006392027019002239,kg NMVOC-Eq/ref
Water use,0.001148886227189389,m3 world Eq deprived/ref
