Flow,Amount,Unit,Is input
Water,2.8340429589700946,m3,False
"Transformation, to industrial area",0.03652407682461012,m2,True
"Transformation, to lake, artificial",0.00757953409793239,m2,True
"Water, turbine use, unspecified natural origin",1644.7636827880774,m3,True
"Transformation, from forest, unspecified",0.012323458362037241,m2,True
"Energy, potential (in hydropower reservoir), converted",269.52986186398596,MJ,True
"Carbon dioxide, from soil or biomass stock",0.29939252138554484,kg,False
Water,1654.738912358621,m3,False
"Methane, non-fossil",0.15440556569749778,kg,False
"Volume occupied, reservoir",10.582580424570388,m3*a,True
"Occupation, lake, artificial",0.9997278718392367,m2*a,True
Water,28.32920711278039,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.011210531201584327,kg,False
"Hydrocarbons, unspecified",0.00021536664984205694,kg,False
Cadmium II,1.637127826013109e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.4329465822988602e-10,kg,False
Selenium IV,3.6769852174284244e-06,kg,False
Chromium VI,6.229938992716407e-06,kg,False
Vanadium V,8.877656632340581e-08,kg,False
Copper ion,0.00020519404498210548,kg,False
"TOC, Total Organic Carbon",0.0026969776921580073,kg,False
Ammonia,0.08473941658531635,kg,False
Arsenic ion,6.134037136929764e-06,kg,False
Chromium III,3.973965623588631e-05,kg,False
Zinc II,0.0001179581380055694,kg,False
Nitrogen,2.8260448409196903e-05,kg,False
"Water, unspecified natural origin",0.6106504618856696,m3,True
"AOX, Adsorbable Organic Halides",3.742945222802017e-06,kg,False
Benzene,3.657941452944254e-05,kg,False
Rhodium III,3.990412633947555e-09,kg,False
Mercury II,2.145562861148468e-06,kg,False
Chloride,0.11511726402590045,kg,False
Tin ion,1.4547052549057753e-05,kg,False
Formaldehyde,0.00017988356623494265,kg,False
Nickel II,7.868038586731821e-05,kg,False
Sulfate,0.013609599486317263,kg,False
Sulfide,4.183239706560306e-05,kg,False
Selenium IV,1.805326071233021e-07,kg,False
"Suspended solids, unspecified",0.009608114678155968,kg,False
Nitrogen oxides,0.628656991793969,kg,False
Tellurium,6.840267122826789e-09,kg,False
Platinum,3.990412633947555e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",8.803362632990688e-09,kg,False
Beryllium II,3.1692839902698467e-08,kg,False
Palladium II,3.9959980431278505e-09,kg,False
Vanadium V,4.364299642652894e-05,kg,False
Copper ion,5.951755930030123e-05,kg,False
Antimony ion,1.8309665135104763e-05,kg,False
Ammonium,0.00022010661538612853,kg,False
Cobalt II,4.137636877135597e-06,kg,False
Arsenic ion,4.294753577508951e-06,kg,False
