Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.3186947962212944,mol H+-Eq,0.00573506257505762,mol H+-Eq/ref
Climate change,8.879429566816405,kg CO2-Eq,0.0011756033099587367,kg CO2-Eq/ref
Climate change: biogenic,0.017973355191832286,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,8.823498300342875,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.03795791128169893,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,363.11749225224844,CTUe,0.006402315718993754,CTUe/ref
"Ecotoxicity: freshwater, inorganics",349.3678716296593,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",13.749620622589088,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,99.5541520096469,"MJ, net calorific value",0.0015315019743376444,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.025814835061679208,kg P-Eq,0.016065470251957873,kg P-Eq/ref
Eutrophication: marine,0.02133738370578958,kg N-Eq,0.001091695344512652,kg N-Eq/ref
Eutrophication: terrestrial,0.2731443325666549,mol N-Eq,0.0015453273337428662,mol N-Eq/ref
Human toxicity: carcinogenic,3.1811850101240666e-08,CTUh,0.0018438552417993884,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.944761968313989e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",2.3642304181007995e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,3.0718779418582486e-06,CTUh,0.02386184083596079,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.8830085854771602e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.8886935638108742e-07,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.706413288838399,kBq U235-Eq,0.00016739003293386682,kBq U235-Eq/ref
Land use,116.53939221602464,dimensionless,0.0001422082374894606,dimensionless/ref
Material resources: metals/minerals,0.0037325502606870703,kg Sb-Eq,0.05866703625255062,kg Sb-Eq/ref
Ozone depletion,1.7832397809040627e-05,kg CFC-11-Eq,0.0003406484935559639,kg CFC-11-Eq/ref
Particulate matter formation,1.0141524426779184e-06,disease incidence,0.0017034072138326754,disease incidence/ref
Photochemical oxidant formation: human health,0.08304784634985678,kg NMVOC-Eq,0.0020325373713561846,kg NMVOC-Eq/ref
Water use,4.014872694786126,m3 world Eq deprived,0.00035007190615892446,m3 world Eq deprived/ref
