Flow,Amount,Unit,Is input
Water,0.08524118481186163,m3,False
"Transformation, to industrial area",0.0008652669976896737,m2,True
"Transformation, to lake, artificial",0.00029347332944197206,m2,True
"Water, turbine use, unspecified natural origin",116.25856383016021,m3,True
"Transformation, from forest, unspecified",0.0004259776688398294,m2,True
"Energy, potential (in hydropower reservoir), converted",15.81189448216708,MJ,True
"Carbon dioxide, from soil or biomass stock",0.0385655807600856,kg,False
Water,116.60268069304223,m3,False
"Methane, non-fossil",0.0006478875498029703,kg,False
"Volume occupied, reservoir",0.4480579615329987,m3*a,True
"Occupation, lake, artificial",0.03870451765515842,m2*a,True
Water,0.8156469389021866,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0003638278763419527,kg,False
"Hydrocarbons, unspecified",4.979037587167677e-06,kg,False
Cadmium II,4.855931929653569e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.3914793486939394e-12,kg,False
Selenium IV,4.515993229821413e-08,kg,False
Chromium VI,1.1187611447557318e-08,kg,False
Vanadium V,3.014544680029796e-09,kg,False
Copper ion,9.33379970553009e-06,kg,False
"TOC, Total Organic Carbon",0.0001627667236895061,kg,False
Ammonia,0.004244729496069847,kg,False
Arsenic ion,3.046908774216811e-07,kg,False
Chromium III,5.712723668345061e-07,kg,False
Zinc II,4.513534615215342e-06,kg,False
Nitrogen,9.795131097571735e-07,kg,False
"Water, unspecified natural origin",0.009821390967600508,m3,True
"AOX, Adsorbable Organic Halides",1.448507373237628e-07,kg,False
Benzene,3.43936861789244e-05,kg,False
Rhodium III,1.35714163771939e-10,kg,False
Mercury II,5.340409532570956e-09,kg,False
Chloride,0.0009558937154998345,kg,False
Tin ion,6.671602398479487e-07,kg,False
Formaldehyde,7.66572540847141e-06,kg,False
Nickel II,6.446104660415326e-07,kg,False
Sulfate,0.0006295464434464843,kg,False
Sulfide,5.149774913173636e-06,kg,False
Selenium IV,6.138815149182409e-09,kg,False
"Suspended solids, unspecified",4.972505043908679e-05,kg,False
Nitrogen oxides,0.029974933999082264,kg,False
Tellurium,2.0582328276402394e-10,kg,False
Platinum,1.35714163771939e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",3.697740586978446e-10,kg,False
Beryllium II,2.084364576594822e-09,kg,False
Palladium II,1.358258705221852e-10,kg,False
Vanadium V,1.3999368291524058e-06,kg,False
Copper ion,1.2034827225791317e-06,kg,False
Antimony ion,8.545094414718724e-07,kg,False
Ammonium,1.1513385810512806e-05,kg,False
Cobalt II,1.985191120007196e-07,kg,False
Arsenic ion,6.380758112273191e-09,kg,False
Fluoride,0.00018875276753444977,kg,False
Barium II,3.403484861284663e-07,kg,False
Hydrogen fluoride,9.144231217309624e-06,kg,False
Lead II,3.599367826086819e-06,kg,False
Hydrochloric acid,2.750624561423896e-05,kg,False
Boron,6.004923506089013e-08,kg,False
Chromium III,5.193530434557125e-05,kg,False
Sodium I,0.00027046418133821044,kg,False
"NMVOC, non-methane volatile organic compounds",0.005472423099594731,kg,False
t-Butyl methyl ether,3.002461753044502e-09,kg,False
Cyanide,9.300231160874793e-07,kg,False
"Heat, waste",0.27337827885615995,MJ,False
Nickel II,2.9082615476082287e-06,kg,False
Hydrogen sulfide,5.5391489696275695e-05,kg,False
