Flow,Amount,Unit,Is input
Water,73.05385563894394,m3,False
"Transformation, to industrial area",0.018530501522726353,m2,True
"Transformation, to lake, artificial",0.05539673124573267,m2,True
"Water, turbine use, unspecified natural origin",124044.59478042346,m3,True
"Transformation, from forest, unspecified",0.0044240378591194635,m2,True
"Energy, potential (in hydropower reservoir), converted",19075.946293810495,MJ,True
"Carbon dioxide, from soil or biomass stock",0.06902685270474121,kg,False
Water,124099.4220547949,m3,False
"Methane, non-fossil",0.05270129155450621,kg,False
"Volume occupied, reservoir",348.3547206243765,m3*a,True
"Occupation, lake, artificial",8.174197726331593,m2*a,True
Water,20.706652980683668,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0036287625415890876,kg,False
"Hydrocarbons, unspecified",3.710884374571862e-05,kg,False
Cadmium II,5.098454732744039e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",9.231450481271341e-11,kg,False
Selenium IV,4.854395052850062e-07,kg,False
Chromium VI,6.332793855574634e-07,kg,False
Vanadium V,3.3460253128719945e-08,kg,False
Copper ion,5.3888008147067124e-05,kg,False
"TOC, Total Organic Carbon",0.00030031296170031965,kg,False
Ammonia,0.0035547303093973054,kg,False
Arsenic ion,7.378490941249904e-07,kg,False
Chromium III,4.172211595934587e-06,kg,False
Zinc II,4.1165424307936114e-05,kg,False
Nitrogen,9.999043051474754e-06,kg,False
"Water, unspecified natural origin",0.4562760620655029,m3,True
"AOX, Adsorbable Organic Halides",8.096552313600153e-07,kg,False
Benzene,5.658685054351418e-06,kg,False
Rhodium III,1.4809862098284286e-09,kg,False
Mercury II,1.9851154638629792e-07,kg,False
Chloride,0.014738281499248091,kg,False
Tin ion,6.9462450882258314e-06,kg,False
Formaldehyde,7.406632880569076e-05,kg,False
Nickel II,7.75885744755667e-06,kg,False
Sulfate,0.0034605492716643376,kg,False
Sulfide,7.59461998435303e-06,kg,False
Selenium IV,6.84952526570726e-08,kg,False
"Suspended solids, unspecified",0.0010337057153918788,kg,False
Nitrogen oxides,0.10756028374618329,kg,False
Tellurium,2.6674688924331777e-09,kg,False
Platinum,1.4809862098284286e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.1304075244656626e-08,kg,False
Beryllium II,3.383837592835852e-08,kg,False
Palladium II,1.4826230093122566e-09,kg,False
Vanadium V,1.5558882198121388e-05,kg,False
Copper ion,6.446100856178977e-06,kg,False
Antimony ion,8.526682907829532e-06,kg,False
Ammonium,2.9379627328872166e-05,kg,False
Cobalt II,5.884816515789129e-07,kg,False
Arsenic ion,3.990742087223523e-07,kg,False
Fluoride,0.00010488263344325787,kg,False
Barium II,2.4116766885925587e-06,kg,False
Hydrogen fluoride,0.0002329486164591826,kg,False
Lead II,1.8433661897024228e-05,kg,False
Hydrochloric acid,0.00043806627813269746,kg,False
Boron,6.681637509176426e-07,kg,False
Chromium III,5.0107162470021296e-05,kg,False
Sodium I,0.006819634779526841,kg,False
"NMVOC, non-methane volatile organic compounds",0.01602606338675789,kg,False
t-Butyl methyl ether,3.3408187545882076e-08,kg,False
Cyanide,6.929550503190182e-06,kg,False
"Heat, waste",4.739093075833002,MJ,False
Nickel II,1.1907407663465071e-05,kg,False
Hydrogen sulfide,0.00021424487332311716,kg,False
Cobalt II,9.135673939483501e-09,kg,False
Mercury II,1.4852091609607678e-06,kg,False
Benzene,6.749774990361647e-05,kg,False
"Particulate Matter, < 2.5 um",0.007995881774711977,kg,False
"Carbon monoxide, fossil",0.14516260739017336,kg,False
Cadmium II,1.1757428154530023e-06,kg,False
"Xylenes, unspecified",2.8419004638284192e-05,kg,False
Dinitrogen monoxide,0.03499154391730765,kg,False
Toluene,1.320493641430831e-05,kg,False
"Particulate Matter, > 10 um",0.024545148722392867,kg,False
Thallium I,2.5587726828235004e-07,kg,False
Aluminium III,2.1378355114511347e-06,kg,False
Nitrate,1.663211927707422e-05,kg,False
"Xylenes, unspecified",8.25677567180786e-08,kg,False
Nitrite,1.1139970266917462e-07,kg,False
"BOD5, Biological Oxygen Demand",0.001433415781665726,kg,False
Molybdenum VI,1.6704093772941058e-08,kg,False
"Heat, waste",0.4479938248681523,MJ,False
Water,0.34812735182932525,m3,False
Benzo(a)pyrene,9.56022314371429e-08,kg,False
"Water, cooling, unspecified natural origin",122.27665718636707,m3,True
Manganese II,8.64216924652594e-06,kg,False
Zinc II,1.0957963648491118e-05,kg,False
Iron ion,0.00017244053845332324,kg,False
Manganese II,3.4145707588293557e-06,kg,False
Toluene,5.690183187041698e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.6511506133980923e-05,kg,False
Lead II,3.7048593205071145e-06,kg,False
Tin ion,1.674429956656395e-08,kg,False
Phenol,4.5650384720199495e-06,kg,False
"Carbon dioxide, fossil",25.467272379085315,kg,False
"Methane, fossil",0.000917292534292167,kg,False
Phosphorus,1.2086169066378928e-06,kg,False
"Carbon dioxide, non-fossil",0.4944679099650026,kg,False
Sulfur dioxide,0.024320216842703163,kg,False
"DOC, Dissolved Organic Carbon",0.0002995586070401859,kg,False
"COD, Chemical Oxygen Demand",0.0015404003181921882,kg,False
"Water, well, in ground",0.18392688168230362,m3,True
"DOC, Dissolved Organic Carbon",0.07067033737164949,kg,False
Chloride,0.07662505736946854,kg,False
"COD, Chemical Oxygen Demand",0.02398208973473528,kg,False
Phenol,2.773229321435942e-05,kg,False
Chlorine,6.359047742819505e-05,kg,False
"Water, river",5.223889985686511,m3,True
Sodium I,0.24548182375473274,kg,False
"Carbon dioxide, fossil",11.51912266053856,kg,False
Phenol,1.3655854790795613e-07,kg,False
"TOC, Total Organic Carbon",0.01602237676392811,kg,False
"BOD5, Biological Oxygen Demand",0.010540952836243529,kg,False
Hydrogen,0.0031647663743855623,kg,False
Ammonia,0.0013531407470480231,kg,False
Benzene,0.000218654623852724,kg,False
"NMVOC, non-methane volatile organic compounds",0.045871667852608794,kg,False
Nickel II,0.00017565460706525274,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.925652758816635e-05,kg,False
"Carbon dioxide, fossil",73.44731671099926,kg,False
Selenium IV,3.7169811648668455e-06,kg,False
Lead II,1.9185310730187752e-06,kg,False
"Methane, fossil",0.21372938333501693,kg,False
Sulfur dioxide,0.13580125365269421,kg,False
Cadmium II,4.530522234349462e-07,kg,False
Benzo(a)pyrene,2.2666198576108357e-06,kg,False
Dinitrogen monoxide,0.002842232163866853,kg,False
Copper ion,5.2776507706722534e-05,kg,False
"Carbon monoxide, fossil",0.04401169205991108,kg,False
Zinc II,4.7654849267288684e-05,kg,False
"Particulate Matter, < 2.5 um",0.037972798332195204,kg,False
Cadmium II,2.8303639090867368e-05,kg,False
Chromium III,0.0005519501440874263,kg,False
Nitrogen oxides,0.12285375887416594,kg,False
Zinc II,0.00015085987615481828,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",6.3108009027339586e-12,kg,False
Dinitrogen monoxide,0.0013883583471401176,kg,False
"Carbon monoxide, fossil",0.02471984124264399,kg,False
Sulfur dioxide,0.0261097953689422,kg,False
"NMVOC, non-methane volatile organic compounds",0.006863414102580665,kg,False
"Methane, fossil",0.009424796070805904,kg,False
Nitrogen oxides,0.029254297847882558,kg,False
Oxygen,4.425965339071498,kg,True
"Heat, waste",18.99560537188626,MJ,False
Mercury II,1.4602671581692147e-07,kg,False
Non-hazardous waste disposed,855.5158119757325,kg,False
"Occupation, dump site",0.6055005388266212,m2*a,True
"Transformation, from unspecified",0.07330119289334937,m2,True
"Transformation, to dump site",0.004721445125865173,m2,True
Sulfur hexafluoride,3.295488612652271e-06,kg,False
"Particulate Matter, > 10 um",0.19134038055246896,kg,False
Nickel II,2.0957714398885924e-05,kg,False
"COD, Chemical Oxygen Demand",5.4459056790679996e-05,kg,False
Sulfate,0.5096657631523996,kg,False
Manganese II,0.0005090380781315761,kg,False
"DOC, Dissolved Organic Carbon",8.679230680776549e-05,kg,False
"TOC, Total Organic Carbon",8.679230680776549e-05,kg,False
Iron ion,0.05696226819360731,kg,False
Chromium III,1.1377311340902743e-07,kg,False
Dissolved solids,0.002542457710876995,kg,False
Arsenic ion,0.0001439999529108331,kg,False
Cadmium II,7.107254720717086e-07,kg,False
Lead II,1.4879826964936206e-06,kg,False
"Occupation, industrial area",0.8621899048931578,m2*a,True
Selenium IV,3.0762141703104276e-05,kg,False
"BOD5, Biological Oxygen Demand",1.3712689420372518e-05,kg,False
"Solids, inorganic",0.12428327003418542,kg,False
Tin ion,1.1981113355515166e-06,kg,False
Chloride,0.1615974845796685,kg,False
Copper ion,1.7750545862534072e-05,kg,False
Uranium alpha,6.248408768336732,kBq,False
"Transformation, to mineral extraction site",0.01147946813861153,m2,True
Uranium,0.0378987224271927,kg,True
Radon-222,20157.357958278928,kBq,False
Radium-226,53.86820015138255,kBq,False
Gangue,68.65346585724265,kg,True
"Suspended solids, unspecified",0.018285531434933312,kg,False
"Transformation, from industrial area",0.0022557899503712116,m2,True
Molybdenum VI,0.0003709170271930147,kg,False
Sulfate,0.45560537446600174,kg,False
Cadmium II,2.4830960012467273e-06,kg,False
Aluminium III,0.008264088531281634,kg,False
Nitrate,0.007037475141395476,kg,False
Magnesium,0.008643509477912132,kg,False
Lead II,0.0003422960640309741,kg,False
Arsenic ion,9.4491836874733e-06,kg,False
Selenium IV,4.375896121783383e-05,kg,False
Uranium alpha,0.3768981017263456,kBq,False
Ammonium,0.003306973444310817,kg,False
"Occupation, mineral extraction site",0.20852448743701438,m2*a,True
