Impact category,Amount (Normalized),Normalized Unit
Acidification,0.006544860212554112,mol H+-Eq/ref
Climate change,0.008576072026836119,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.004948808311447182,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.007652505816456954,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.013314334210233229,kg P-Eq/ref
Eutrophication: marine,0.00412451741493056,kg N-Eq/ref
Eutrophication: terrestrial,0.005670470703299093,mol N-Eq/ref
Human toxicity: carcinogenic,0.002054311120318343,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.010520564580298056,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0006324865131749987,kBq U235-Eq/ref
Land use,0.007512755621547267,dimensionless/ref
Material resources: metals/minerals,0.019489713992156,kg Sb-Eq/ref
Ozone depletion,1.2055608618946987e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.010373747301476104,disease incidence/ref
Photochemical oxidant formation: human health,0.006767006571376107,kg NMVOC-Eq/ref
Water use,0.35684661146220487,m3 world Eq deprived/ref
