Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.23087568689370658,mol H+-Eq,0.004154716446877289,mol H+-Eq/ref
Climate change,65.22178844570068,kg CO2-Eq,0.008635121186696336,kg CO2-Eq/ref
Climate change: biogenic,0.7182152845693713,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,64.46815146021017,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.03542170092114038,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,254.26149059546387,CTUe,0.004483018231584631,CTUe/ref
"Ecotoxicity: freshwater, inorganics",250.2433756327794,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",4.018114962684407,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,11300.639772963626,"MJ, net calorific value",0.17384460390858678,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.056376370963969955,kg P-Eq,0.03508497762898687,kg P-Eq/ref
Eutrophication: marine,0.09607882316022993,kg N-Eq,0.004915729378846825,kg N-Eq/ref
Eutrophication: terrestrial,0.6074895863295902,mol N-Eq,0.0034369018529431727,mol N-Eq/ref
Human toxicity: carcinogenic,2.213130412610353e-08,CTUh,0.0012827585000842487,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.1879430116084002e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.0251874010019532e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,9.562470094728957e-07,CTUh,0.007427968940101414,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",9.176449846744925e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.860202479840284e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,719.4189130955748,kBq U235-Eq,0.17047181509613893,kBq U235-Eq/ref
Land use,2938.088253326266,dimensionless,0.0035852285150030513,dimensionless/ref
Material resources: metals/minerals,0.0006784951182600058,kg Sb-Eq,0.010664370181263469,kg Sb-Eq/ref
Ozone depletion,7.74188833245344e-07,kg CFC-11-Eq,1.4789164227772691e-05,kg CFC-11-Eq/ref
Particulate matter formation,5.270414089044764e-06,disease incidence,0.008852378598485916,disease incidence/ref
Photochemical oxidant formation: human health,0.18120457940093843,kg NMVOC-Eq,0.0044348540712509585,kg NMVOC-Eq/ref
Water use,1578.059944713011,m3 world Eq deprived,0.13759700365995267,m3 world Eq deprived/ref
