Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0032908717018312332,mol H+-Eq/ref
Climate change,0.004312200998860992,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.002488348520979831,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0038478155409906473,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.006694683195392636,kg P-Eq/ref
Eutrophication: marine,0.0020738804502607056,kg N-Eq/ref
Eutrophication: terrestrial,0.002851213160787697,mol N-Eq/ref
Human toxicity: carcinogenic,0.0010329440374670135,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.005289926314725662,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0003180254276485521,kBq U235-Eq/ref
Land use,0.003777546666359608,dimensionless/ref
Material resources: metals/minerals,0.009799773588829778,kg Sb-Eq/ref
Ozone depletion,6.061773661161647e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.005216103985061776,disease incidence/ref
Photochemical oxidant formation: human health,0.003402570827888941,kg NMVOC-Eq/ref
Water use,0.17942880022139615,m3 world Eq deprived/ref
