Flow,Amount,Unit,Is input
Water,47.895744461133795,m3,False
"Transformation, to industrial area",0.008713166269725308,m2,True
"Transformation, to lake, artificial",0.0384672347697562,m2,True
"Water, turbine use, unspecified natural origin",78147.5575132727,m3,True
"Transformation, from forest, unspecified",0.0013942697048647335,m2,True
"Energy, potential (in hydropower reservoir), converted",12652.466041236574,MJ,True
"Carbon dioxide, from soil or biomass stock",0.03363331222347798,kg,False
Water,78100.5737394192,m3,False
"Methane, non-fossil",0.06601578663196238,kg,False
"Volume occupied, reservoir",244.90757982774642,m3*a,True
"Occupation, lake, artificial",5.70334644527354,m2*a,True
Water,1.1463361563826366,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0017964491618847266,kg,False
"Hydrocarbons, unspecified",1.2591522773615011e-05,kg,False
Cadmium II,2.5015918788443546e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.662308253657393e-11,kg,False
Selenium IV,2.4439174582190144e-07,kg,False
Chromium VI,3.272182487320531e-07,kg,False
Vanadium V,1.5497523346580512e-08,kg,False
Copper ion,3.0005594368716196e-05,kg,False
"TOC, Total Organic Carbon",0.00013926633786173932,kg,False
Ammonia,0.001359179353998701,kg,False
Arsenic ion,3.687425978767991e-07,kg,False
Chromium III,1.8087788121807375e-06,kg,False
Zinc II,2.176798742775479e-05,kg,False
Nitrogen,4.540535412507342e-06,kg,False
"Water, unspecified natural origin",0.22792078368231797,m3,True
"AOX, Adsorbable Organic Halides",2.9775315574716097e-07,kg,False
Benzene,1.7639143334622297e-06,kg,False
Rhodium III,6.832911318076319e-10,kg,False
Mercury II,1.0024764426131987e-07,kg,False
Chloride,0.004487217001818843,kg,False
Tin ion,3.89382098599621e-06,kg,False
Formaldehyde,3.614051739272484e-05,kg,False
Nickel II,3.644430567160727e-06,kg,False
Sulfate,0.0010138360127730616,kg,False
Sulfide,3.0753544640019683e-06,kg,False
Selenium IV,3.1766862616477744e-08,kg,False
"Suspended solids, unspecified",0.0005069636645185753,kg,False
Nitrogen oxides,0.054364090432054264,kg,False
Tellurium,1.250280813363615e-09,kg,False
Platinum,6.832911318076319e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",5.487370736458209e-09,kg,False
Beryllium II,2.002234762199654e-08,kg,False
Palladium II,6.8412519249268e-10,kg,False
Vanadium V,7.257243220310174e-06,kg,False
Copper ion,2.865183395063608e-06,kg,False
Antimony ion,4.927927503230107e-06,kg,False
Ammonium,7.31005869738382e-06,kg,False
Cobalt II,2.80599905453035e-07,kg,False
Arsenic ion,2.05811975617813e-07,kg,False
Fluoride,5.029074430046363e-05,kg,False
Barium II,5.905316608521582e-07,kg,False
Hydrogen fluoride,0.00011307515987075628,kg,False
Lead II,9.509521938706004e-06,kg,False
Hydrochloric acid,0.00023073838854435692,kg,False
Boron,3.09432357735447e-07,kg,False
Chromium III,2.2936869176083024e-05,kg,False
Sodium I,0.002748523739544913,kg,False
"NMVOC, non-methane volatile organic compounds",0.007726524302440934,kg,False
t-Butyl methyl ether,1.5471617886772327e-08,kg,False
Cyanide,3.4719518341451848e-06,kg,False
"Heat, waste",2.4543593929500944,MJ,False
Nickel II,5.474720097929937e-06,kg,False
Hydrogen sulfide,9.269933919440187e-05,kg,False
Cobalt II,2.9003006506907477e-09,kg,False
Mercury II,8.184858067397728e-07,kg,False
Benzene,2.7677023088203464e-05,kg,False
"Particulate Matter, < 2.5 um",0.004186711384733717,kg,False
"Carbon monoxide, fossil",0.07640192237556452,kg,False
Cadmium II,5.990278978589426e-07,kg,False
"Xylenes, unspecified",1.2029338375178344e-05,kg,False
Dinitrogen monoxide,0.01755321100921718,kg,False
Toluene,5.032558005689826e-06,kg,False
"Particulate Matter, > 10 um",0.006008039525682898,kg,False
Thallium I,1.5414257320827475e-07,kg,False
Aluminium III,9.499313021580224e-07,kg,False
Nitrate,6.943517878445584e-06,kg,False
"Xylenes, unspecified",3.4224469199365916e-08,kg,False
Nitrite,5.094167460855476e-08,kg,False
"BOD5, Biological Oxygen Demand",0.0006910594768682012,kg,False
Molybdenum VI,7.735808943386172e-09,kg,False
"Heat, waste",0.2028847478923336,MJ,False
Water,0.10536252266151407,m3,False
Benzo(a)pyrene,4.8537607550595164e-08,kg,False
"Water, cooling, unspecified natural origin",0.6610413129520104,m3,True
Manganese II,4.309386795723531e-06,kg,False
Zinc II,5.25731325848206e-06,kg,False
Iron ion,5.802228335930279e-05,kg,False
Manganese II,1.719349706656577e-06,kg,False
Toluene,2.2283006744881827e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",8.392782186632344e-06,kg,False
Lead II,1.5811892849351833e-06,kg,False
Tin ion,7.743291578523929e-09,kg,False
Phenol,1.891796053750175e-06,kg,False
"Carbon dioxide, fossil",14.402175721299745,kg,False
"Methane, fossil",0.0004772909083269403,kg,False
Phosphorus,5.324208698506496e-07,kg,False
"Carbon dioxide, non-fossil",0.2860186627210039,kg,False
Sulfur dioxide,0.011113315583924106,kg,False
"DOC, Dissolved Organic Carbon",0.00013904026843769346,kg,False
"COD, Chemical Oxygen Demand",0.0007400563967058197,kg,False
"Water, well, in ground",0.026697763455764384,m3,True
"DOC, Dissolved Organic Carbon",0.022724088707141214,kg,False
Chloride,0.011684220422104442,kg,False
"COD, Chemical Oxygen Demand",0.01150741509844745,kg,False
Phenol,1.0696664279690805e-05,kg,False
Chlorine,4.587987618013928e-05,kg,False
"Water, river",0.04421351981109697,m3,True
Sodium I,0.06402257700039582,kg,False
"Carbon dioxide, fossil",2.315771523631519,kg,False
Phenol,5.205376257509053e-08,kg,False
"TOC, Total Organic Carbon",0.006013399878530702,kg,False
"BOD5, Biological Oxygen Demand",0.00499844338216342,kg,False
Hydrogen,0.0012853214408964926,kg,False
Ammonia,0.0018511436118380943,kg,False
Benzene,6.083479695723071e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.017218055106663105,kg,False
Nickel II,7.927918553300707e-05,kg,False
"PAH, polycyclic aromatic hydrocarbons",7.98875340368737e-06,kg,False
"Carbon dioxide, fossil",6.932830567656932,kg,False
Selenium IV,9.123217411809246e-07,kg,False
Lead II,2.381652266567661e-06,kg,False
