Impact category,Amount (Normalized),Normalized Unit
Acidification,0.008355997820800027,mol H+-Eq/ref
Climate change,0.017367022452906517,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.009016280906939542,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.349637610650851,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0705631781035199,kg P-Eq/ref
Eutrophication: marine,0.009886552909804277,kg N-Eq/ref
Eutrophication: terrestrial,0.006912323563039262,mol N-Eq/ref
Human toxicity: carcinogenic,0.0025798938070425432,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.014939188527079254,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.34285423173024737,kBq U235-Eq/ref
Land use,0.0072106392918707615,dimensionless/ref
Material resources: metals/minerals,0.02144826371046753,kg Sb-Eq/ref
Ozone depletion,2.9744081368441582e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.017803972238211636,disease incidence/ref
Photochemical oxidant formation: human health,0.008919412775519655,kg NMVOC-Eq/ref
Water use,0.27673615695129655,m3 world Eq deprived/ref
