Flow,Amount,Unit,Is input
Water,73.87723741677505,m3,False
"Transformation, to industrial area",0.018739356718039984,m2,True
"Transformation, to lake, artificial",0.05602110156349601,m2,True
"Water, turbine use, unspecified natural origin",125442.68743531915,m3,True
"Transformation, from forest, unspecified",0.004473900691488462,m2,True
"Energy, potential (in hydropower reservoir), converted",19290.949135697887,MJ,True
"Carbon dioxide, from soil or biomass stock",0.06980484658611846,kg,False
Water,125498.1326617242,m3,False
"Methane, non-fossil",0.05329528187513478,kg,False
"Volume occupied, reservoir",352.2809874404788,m3*a,True
"Occupation, lake, artificial",8.266328188131059,m2*a,True
Water,20.94003533394973,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0036696619154371573,kg,False
"Hydrocarbons, unspecified",3.752709334348958e-05,kg,False
Cadmium II,5.155918841726672e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",9.335497119778593e-11,kg,False
Selenium IV,4.909108392672449e-07,kg,False
Chromium VI,6.404170061769826e-07,kg,False
Vanadium V,3.38373798726384e-08,kg,False
Copper ion,5.449537381673413e-05,kg,False
"TOC, Total Organic Carbon",0.00030369775526320264,kg,False
Ammonia,0.0035947952742956322,kg,False
Arsenic ion,7.461653081506289e-07,kg,False
Chromium III,4.219236122857921e-06,kg,False
Zinc II,4.162939516827438e-05,kg,False
Nitrogen,1.0111741139376145e-05,kg,False
"Water, unspecified natural origin",0.4614186981642988,m3,True
"AOX, Adsorbable Organic Halides",8.187807642699019e-07,kg,False
Benzene,5.722463456182301e-06,kg,False
Rhodium III,1.4976782385752556e-09,kg,False
Mercury II,2.007489476644904e-07,kg,False
Chloride,0.014904395009847748,kg,False
Tin ion,7.024535434162667e-06,kg,False
Formaldehyde,7.490112205453493e-05,kg,False
Nickel II,7.846306655859642e-06,kg,False
Sulfate,0.0034995527326953015,kg,False
Sulfide,7.680218090708595e-06,kg,False
Selenium IV,6.92672549341941e-08,kg,False
"Suspended solids, unspecified",0.0010453564960693524,kg,False
Nitrogen oxides,0.10877258358827034,kg,False
Tellurium,2.697533633845532e-09,kg,False
Platinum,1.4976782385752556e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.1431482203403348e-08,kg,False
Beryllium II,3.4219764451758394e-08,kg,False
Palladium II,1.4993334862416903e-09,kg,False
Vanadium V,1.573424460676233e-05,kg,False
Copper ion,6.518754132814636e-06,kg,False
Antimony ion,8.62278619040434e-06,kg,False
Ammonium,2.971076179905837e-05,kg,False
Cobalt II,5.951143619849563e-07,kg,False
Arsenic ion,4.035721291755615e-07,kg,False
Fluoride,0.00010606475379040144,kg,False
Barium II,2.438858424888879e-06,kg,False
Hydrogen fluoride,0.00023557415407503916,kg,False
Lead II,1.864142562382491e-05,kg,False
Hydrochloric acid,0.00044300367380801034,kg,False
Boron,6.756945492896262e-07,kg,False
Chromium III,5.067191465395169e-05,kg,False
Sodium I,0.006896498114936227,kg,False
"NMVOC, non-methane volatile organic compounds",0.016206691341950814,kg,False
t-Butyl methyl ether,3.3784727464481234e-08,kg,False
Cyanide,7.0076526863396165e-06,kg,False
"Heat, waste",4.792506860060506,MJ,False
Nickel II,1.2041614713942433e-05,kg,False
Hydrogen sulfide,0.00021665960315695061,kg,False
Cobalt II,9.238641091376949e-09,kg,False
Mercury II,1.5019487861141135e-06,kg,False
Benzene,6.825850943956651e-05,kg,False
"Particulate Matter, < 2.5 um",0.008086002457506975,kg,False
"Carbon monoxide, fossil",0.14679871878637665,kg,False
Cadmium II,1.1889944802856441e-06,kg,False
"Xylenes, unspecified",2.8739312038333158e-05,kg,False
Dinitrogen monoxide,0.03538592966721358,kg,False
Toluene,1.3353767765177678e-05,kg,False
"Particulate Matter, > 10 um",0.024821794328780365,kg,False
Thallium I,2.587612321501313e-07,kg,False
Aluminium III,2.161930814686442e-06,kg,False
Nitrate,1.6819578019938343e-05,kg,False
"Xylenes, unspecified",8.349836860328893e-08,kg,False
Nitrite,1.1265527616945572e-07,kg,False
"BOD5, Biological Oxygen Demand",0.0014495716494752474,kg,False
Molybdenum VI,1.6892363732240637e-08,kg,False
"Heat, waste",0.4530431128044435,MJ,False
Water,0.352051055997349,m3,False
Benzo(a)pyrene,9.667975341865703e-08,kg,False
"Water, cooling, unspecified natural origin",123.65482361578759,m3,True
Manganese II,8.739574162615358e-06,kg,False
Zinc II,1.1081469622424823e-05,kg,False
Iron ion,0.0001743840963378457,kg,False
Manganese II,3.4530560012213432e-06,kg,False
Toluene,5.754316600778069e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.6697605459695566e-05,kg,False
Lead II,3.7466163725785205e-06,kg,False
Tin ion,1.6933022680834522e-08,kg,False
Phenol,4.616490506414081e-06,kg,False
"Carbon dioxide, fossil",25.754311137335627,kg,False
"Methane, fossil",0.0009276312351187093,kg,False
Phosphorus,1.2222390916492172e-06,kg,False
"Carbon dioxide, non-fossil",0.5000410020793945,kg,False
Sulfur dioxide,0.024594327267211724,kg,False
"DOC, Dissolved Organic Carbon",0.0003029348983566679,kg,False
"COD, Chemical Oxygen Demand",0.001557761996661738,kg,False
"Water, well, in ground",0.1859999008474937,m3,True
"DOC, Dissolved Organic Carbon",0.07146685478357957,kg,False
Chloride,0.07748868975973022,kg,False
"COD, Chemical Oxygen Demand",0.02425238916669822,kg,False
Phenol,2.804486076730327e-05,kg,False
Chlorine,6.430719853620497e-05,kg,False
"Water, river",5.282767861275515,m3,True
Sodium I,0.2482486217382292,kg,False
"Carbon dioxide, fossil",11.648953394485973,kg,False
Phenol,1.3809768391893158e-07,kg,False
"TOC, Total Organic Carbon",0.01620296316761055,kg,False
"BOD5, Biological Oxygen Demand",0.010659758728286195,kg,False
Hydrogen,0.0032004360996994463,kg,False
Ammonia,0.0013683918439848708,kg,False
Benzene,0.00022111905548804887,kg,False
"NMVOC, non-methane volatile organic compounds",0.0463886822538094,kg,False
Nickel II,0.0001776343903550554,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.9473565741481865e-05,kg,False
"Carbon dioxide, fossil",74.27513314425354,kg,False
Selenium IV,3.7588748408807448e-06,kg,False
Lead II,1.9401546206318313e-06,kg,False
"Methane, fossil",0.2161383031392645,kg,False
Sulfur dioxide,0.13733185428542544,kg,False
Cadmium II,4.5815852401168436e-07,kg,False
Benzo(a)pyrene,2.292166674704924e-06,kg,False
Dinitrogen monoxide,0.002874266642425526,kg,False
Copper ion,5.337134578013014e-05,kg,False
"Carbon monoxide, fossil",0.044507742883467434,kg,False
Zinc II,4.819196170534934e-05,kg,False
"Particulate Matter, < 2.5 um",0.03840078546479189,kg,False
Cadmium II,2.8622646218826613e-05,kg,False
Chromium III,0.0005581711119875854,kg,False
Nitrogen oxides,0.12423842975170571,kg,False
Zinc II,0.0001525602008255058,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",6.381929228835085e-12,kg,False
Dinitrogen monoxide,0.0014040063776805548,kg,False
"Carbon monoxide, fossil",0.024998455788749048,kg,False
Sulfur dioxide,0.026404075931435324,kg,False
"NMVOC, non-methane volatile organic compounds",0.006940770869808709,kg,False
"Methane, fossil",0.009531021885673606,kg,False
Nitrogen oxides,0.029584019743606357,kg,False
Oxygen,4.475849895849915,kg,True
"Heat, waste",19.209702700292684,MJ,False
Mercury II,1.4767256648186719e-07,kg,False
Non-hazardous waste disposed,865.1582343238231,kg,False
"Occupation, dump site",0.6123250671937662,m2*a,True
"Transformation, from unspecified",0.07412736238151374,m2,True
"Transformation, to dump site",0.004774660002036598,m2,True
Sulfur hexafluoride,3.332631693588762e-06,kg,False
"Particulate Matter, > 10 um",0.1934969564283405,kg,False
Nickel II,2.1193926437115935e-05,kg,False
"COD, Chemical Oxygen Demand",5.507285868528407e-05,kg,False
Sulfate,0.5154101485581213,kg,False
Manganese II,0.0005147753889701336,kg,False
"DOC, Dissolved Organic Carbon",8.777053312116681e-05,kg,False
"TOC, Total Organic Carbon",8.777053312116681e-05,kg,False
Iron ion,0.057604283501962,kg,False
Chromium III,1.1505543735440649e-07,kg,False
Dissolved solids,0.00257111346534385,kg,False
Arsenic ion,0.00014562296015936598,kg,False
Cadmium II,7.187359788084981e-07,kg,False
