Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.3677940434440922,mol H+-Eq,0.006618626594770832,mol H+-Eq/ref
Climate change,65.50586580930398,kg CO2-Eq,0.008672731968607876,kg CO2-Eq/ref
Climate change: biogenic,3.598370917519694,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,61.83535124901699,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0721436427673052,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,283.84302106035136,CTUe,0.005004585772472133,CTUe/ref
"Ecotoxicity: freshwater, inorganics",277.33135803371226,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",6.5116630266392725,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,503.05212705873265,"MJ, net calorific value",0.007738756347505683,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.021635297496593663,kg P-Eq,0.0134643985713374,kg P-Eq/ref
Eutrophication: marine,0.08152303797241062,kg N-Eq,0.0041710043861122705,kg N-Eq/ref
Eutrophication: terrestrial,1.013580678631612,mol N-Eq,0.005734381939851706,mol N-Eq/ref
Human toxicity: carcinogenic,3.5842296408318174e-08,CTUh,0.002077465029549709,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.4826238973961494e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",2.101605743435666e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.3696404144008342e-06,CTUh,0.01063914067860454,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.298163408474149e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",7.147700592668485e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,2.699280639836187,kBq U235-Eq,0.0006396151974192134,kBq U235-Eq/ref
Land use,6226.080935176867,dimensionless,0.007597431043891173,dimensionless/ref
Material resources: metals/minerals,0.001253962318734079,kg Sb-Eq,0.01970938036316299,kg Sb-Eq/ref
Ozone depletion,6.382045798124714e-07,kg CFC-11-Eq,1.2191486025699618e-05,kg CFC-11-Eq/ref
Particulate matter formation,6.245797915459197e-06,disease incidence,0.01049066863877104,disease incidence/ref
Photochemical oxidant formation: human health,0.27961079744811107,kg NMVOC-Eq,0.0068432767401796725,kg NMVOC-Eq/ref
Water use,4138.6967094245265,m3 world Eq deprived,0.3608685894233796,m3 world Eq deprived/ref
