Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.9143611535877578,mol H+-Eq,0.01645435850915622,mol H+-Eq/ref
Climate change,162.85206379984447,kg CO2-Eq,0.021561004994305064,kg CO2-Eq/ref
Climate change: biogenic,8.945796273288689,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,153.7269134951337,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.1793540314221094,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,705.6531686708195,CTUe,0.012441742604899154,CTUe/ref
"Ecotoxicity: freshwater, inorganics",689.4647289096478,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",16.18843976117218,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,1250.6220027517052,"MJ, net calorific value",0.01923907770495336,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0537868296940128,kg P-Eq,0.03347341597696337,kg P-Eq/ref
Eutrophication: marine,0.20267184956670692,kg N-Eq,0.010369402251303566,kg N-Eq/ref
Eutrophication: terrestrial,2.5198309083239425,mol N-Eq,0.014256065803938534,mol N-Eq/ref
Human toxicity: carcinogenic,8.910640092007323e-08,CTUh,0.0051647201873350704,CTUh/ref
"Human toxicity: carcinogenic, inorganics",3.685904438433331e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",5.22473565357399e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,3.4050197702626085e-06,CTUh,0.026449631573628264,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",3.227323043632351e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.7769672663025916e-07,CTUh,0.0,CTUh/ref
Ionising radiation: human health,6.710596334257636,kBq U235-Eq,0.0015901271382427768,kBq U235-Eq/ref
Land use,15478.463144508283,dimensionless,0.018887733331798072,dimensionless/ref
Material resources: metals/minerals,0.0031174361106464242,kg Sb-Eq,0.048998867944148865,kg Sb-Eq/ref
Ozone depletion,1.5866202463690134e-06,kg CFC-11-Eq,3.0308868305808292e-05,kg CFC-11-Eq/ref
Particulate matter formation,1.5527480906371415e-05,disease incidence,0.026080519925308954,disease incidence/ref
Photochemical oxidant formation: human health,0.6951315712352227,kg NMVOC-Eq,0.01701285413944477,kg NMVOC-Eq/ref
Water use,10289.083156819795,m3 world Eq deprived,0.8971440011069803,m3 world Eq deprived/ref
