Ecoinvent_flow,UUID
connector_system,4e379e07-957d-4a75-9309-05b67f0252ad
"hazardous waste, for incineration",e5208079-1561-4537-a1f8-863db2702d0f
"waste plastic, mixture",88afd721-07ec-4910-a004-fa3fecb6bf70
Water,075e433b-4be4-448e-9510-9a5029c1ce94
magnet,6db20a48-c728-4b54-bce1-9b235071464d
4Q_output_control_card,54360a24-d9f0-4b9b-8dd5-2711522941af
4Q_output_power_card,fec89d84-a040-4d12-b2fb-e1fa99391e68
4Q_power_card,47fd7e28-af6e-4f1d-8c97-cd3c4a2208e9
analog_control,149fda19-d0f3-46ee-a88c-d9797cabc119
contactor_card,da2990c2-6e75-4fd6-8888-fbee23ad2c16
control_backplane_card,53df1d45-f3ef-4557-94a8-8403ba7943d7
digital_control,536f34cb-dc79-404c-9cb9-27146306a634
fan_supervision_card,1448991e-9b46-482d-97b3-0843c244c723
filter_card,b61c6273-610f-4d1c-ad8d-9a9d9bac29a8
fuse_card,57e07fde-c3fe-4703-95bd-45c675a554e1
HF_Power_Transformer_PM624929,e7cf5811-da9f-4fdc-9c84-694fe5a45d0e
inverter_power_card,254efb82-a0b9-4678-8c04-4c30587a5a4f
mechanical_components,0210b05f-7e8f-4588-bf25-3c0aa41fd39e
MEXICO_CONVERTER,244c9417-86b0-4192-8b7c-14ddc3845038
power_inductor_PM6249,0ed97aa3-73b4-4701-b7f2-665f42c3d15f
system,8aa0a718-a12b-4887-93d3-aeb01d53ab86
P1,8fce58cb-f1e9-4c68-a807-51816721a6eb
P2,3740ee4f-93e4-49b2-9e57-c7bedfbfa4b0
S1,2a15cb25-a48d-42c7-9c56-c677b161539d
S2,3065941e-a58e-448b-9b8f-e9f1f2344fd7
SS1,17a58be3-33bc-42b4-85de-e45b73d25f7e
connector_system_transport,b51a79a5-f512-47cb-afcd-717da26e6382
magnet_transport,25207ea5-8d21-480a-8464-9a8701b97251
mexico_transport,cd34e7d3-547a-4e73-b03d-54a54ba99ad7
transport,85825e61-4385-4502-9b57-31c5e3c711be
use_mix,55333937-4d15-4390-a1e3-aac0267b27bf
use_renewables,aafb8edf-ff2a-42dc-842e-fcd0f19b9252
TEN_6-2415N,fdda8be8-ac29-4fba-a4ad-7059c51ea409
aux_TEN_6-2415N,9341cd08-2fc9-4a12-adf7-64e874d652a2
ten,aeae69c7-e8ee-4edd-b672-0af20885f46b
can_els,6f9031b6-82c5-4817-9f93-027518757f5d
R1,677499e8-7a4f-4604-8db8-ec6094c984f3
R2,a9058767-f4f4-4489-a016-78b866aac0da
R3,ad8b8c46-7f50-49b5-b453-8bbffbf559df
cabling,8df70fc5-034b-4a9e-8648-1dd41636c0e8
SECTION_Cabling,9b769331-02b0-49e1-9e29-0a8229a291ac
SECTION_Discrete_Semiconductors,a0395a3d-322e-4d10-b014-66fdc9a1e2b6
SECTION_Electromechanical,cd9467c1-c0f0-412c-8c58-63aaa909a1dd
SECTION_Hardware,a913d73d-1378-46e3-95a2-7f4afbe93011
SECTION_IC,2d9c9fbd-a4ae-46a9-a1ea-833c5c0bbbe5
SECTION_Magnetics,1b2c7268-248e-4a4c-a2df-aad9be6617fa
SECTION_Mechanical_components,81e8c4bf-8446-4ef1-a053-c89945475906
SECTION_Modules,72e4659e-b95d-4f3b-90db-b9dab2732071
SECTION_Passives,355faaed-91a6-45c6-b776-0fe2a0565da6
SECTION_PCB,7cef9b0c-bee0-4d9e-b55c-9185ac49572e
caen_els,cf6e905c-d486-4cc5-89f1-b0df0e64100a
MEXICO,54bb96df-9da9-4088-a4c9-72311cadea7f
ten62415aux,56430285-0ee1-4d33-870d-3a5c06df8a90
