Ecoinvent_flow_reference,Ecoinvent_process,UUID_provider
connector_system,connector_system,19da36f5-dae3-48db-a007-5f4b86772d87
"hazardous waste, for incineration",connector_system,19da36f5-dae3-48db-a007-5f4b86772d87
"waste plastic, mixture",connector_system,19da36f5-dae3-48db-a007-5f4b86772d87
Water,connector_system,19da36f5-dae3-48db-a007-5f4b86772d87
magnet,magnet,efb861fc-ecc8-4a46-9960-fa4828afa178
4Q_output_control_card,4Q_output_control_card,34473dbf-f659-4da0-9e44-5609e85b7631
4Q_output_power_card,4Q_output_power_card,8bd8fa26-a856-4adb-ab4d-36d3879cdee2
4Q_power_card,4Q_power_card,e62ae2fa-5bd4-4788-b93f-841c3c95b341
analog_control,analog_control,a8db9ef4-6caa-4c46-b5a0-c13b1a39ca01
contactor_card,contactor_card,f08175d6-7caf-4a69-b6b0-40e5cfcfd019
control_backplane_card,control_backplane_card,234d59e6-a087-4636-842d-d26252e047af
digital_control,digital_control,237ca59b-c68e-468b-9dbe-055436ca344e
fan_supervision_card,fan_supervision_card,a41725f1-06da-4cc0-8323-1d4ce43cc197
filter_card,filter_card,42064b50-8949-4705-8438-899acb3ab524
fuse_card,fuse_card,8c3e4800-75c8-4b9c-a647-1e5118b053a6
HF_Power_Transformer_PM624929,HF_Power_Transformer_PM624929,a67f636d-6c96-4f6c-9659-c393a6e76136
inverter_power_card,inverter_power_card,07a583e9-057a-4c44-a1a4-1383972d5de8
mechanical_components,mechanical_components,10769f71-b5c4-44a4-a7ab-9b30b0036c08
power_inductor_PM6249,power_inductor_PM6249,b4d590e2-4b9f-4d47-91fb-b0d6c715b20d
MEXICO_CONVERTER,MEXICO,ced2f9cc-64c5-4586-a19b-2e6d93bf3019
system,system,515c4efa-b730-47a3-a6d7-89a58fefd564
P1,transport_code_P1,741d4998-aa69-469e-aadb-a9cbfeb51879
P2,transport_code_P2,3c646b95-1e7c-414a-8e15-1e7db68dc3c0
S1,transport_code_S1,7020925a-f8af-44b0-b9eb-ce694dace5a6
S2,transport_code_S2,68d584c8-1455-405c-b33f-70ffd6577126
SS1,transport_code_SS1,c5a3ce6c-5cb3-45a5-932f-fde7e1054ddc
connector_system_transport,connector_system_transport,06368bf7-289d-4681-8451-96460a48040a
magnet_transport,magnet_transport,af054b90-a52d-4119-9f68-03cad5eafd8b
mexico_transport,mexico_transport,a78bc0df-4a92-48e1-bfdd-e8a4ff3072ab
transport,transport,4b516d29-2d2a-4ad1-98dc-805af1463405
use_mix,use_mix,9393e7b6-443f-450b-b0b0-17f081863899
use_renewables,use_renewables,4fec1ba5-ad6d-4809-8946-988283c432e1
TEN_6-2415N,TEN_6-2415N,abbf5814-79b7-459f-9242-43dd787bdf19
aux_TEN_6-2415N,aux_TEN_6_2415N,36e848b3-5e35-4395-9ecc-7c157e99ea93
ten,ten62415aux,8d77477b-ed24-41e1-af47-b854ae91a712
can_els,caen_els,25b1cd7e-6897-464b-ad7c-571d59e6db2d
R1,transport_code_R1,4683a399-ec0f-4870-8906-b164be385dd3
R2,transport_code_R2,71bd769c-73f8-4bf7-bd3c-bfbb1f1ce262
R3,transport_code_R3,93e12cb7-82ed-4a39-a337-efc6d3dafdcd
cabling,cabling,3cd07066-2300-4719-b99f-a85b4ce58522
SECTION_Cabling,SECTION_Cabling,42a4dfdc-2062-489e-b622-d11cd32bbbb9
SECTION_Discrete_Semiconductors,SECTION_Discrete_Semiconductors,753ffb35-4cd3-4b4e-a63a-1ade615eddf6
SECTION_Electromechanical,SECTION_Electromechanical,28b13077-9103-49ed-b45b-3b81a76620cb
SECTION_Hardware,SECTION_Hardware,c3398876-1d1e-4208-9f65-2cbfb8c24641
SECTION_IC,SECTION_IC,05107efd-dc93-4457-ab67-2cf97e2fc104
SECTION_Magnetics,SECTION_Magnetics,455bdda2-f951-49e6-bd72-201f4b2be1b4
SECTION_Mechanical_components,SECTION_Mechanical_components,73545e42-af6b-49fc-8d70-5a502a3b8458
SECTION_Modules,SECTION_Modules,cd9b1418-72f3-4123-ba53-3e9fe930b001
SECTION_Passives,SECTION_Passives,47007822-0af0-4da2-98fd-f6f42a30caf4
SECTION_PCB,SECTION_PCB,929b0039-eab8-4587-8ded-2ca2004875cd
caen_els,caen_els,25b1cd7e-6897-464b-ad7c-571d59e6db2d
MEXICO,MEXICO,e9414ca6-caa8-4c85-99a9-69cfaa017aba
ten62415aux,ten62415aux,8d77477b-ed24-41e1-af47-b854ae91a712
