Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"copper, cathode",fbb039f7-f9cc-46d2-b631-313ddb125c1a,kg,0.0839627,Input,40dc9f2f-40c2-37b4-8f38-53d043a5f756,
"extrusion, plastic pipes",406ae9de-8894-4c8b-a601-40b7e849b66d,kg,0.0368856,Input,383f64dd-4fec-3cf3-b48c-edb5757f9561,
"polyethylene, high density, granulate",b685192a-e033-421e-9074-8fe7cb176046,kg,0.0250373,Input,9a08ea24-bc13-3f6a-923f-bff3f1876b5d,
rolling mill,2044879b-7d88-43d4-8525-8cb0a9ba62b7,Item(s),0.0000000000001928755,Input,19be530d-632c-3225-91f8-2a64a45add9e,
tap water,c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,kg,0.158268,Input,2949c9fd-82c3-396b-9fc1-6c504247d6ff,
"wire drawing, copper",cdb7b939-f508-49ed-80f3-b39f6137fe1c,kg,0.0717002,Input,efa1c88d-6f36-3b05-810d-bed12fa4f2f5,
connector_system,,kg,0.109,Output,,S2
"hazardous waste, for incineration",e5208079-1561-4537-a1f8-863db2702d0f,kg,0.109,Output,,
"waste plastic, mixture",88afd721-07ec-4910-a004-fa3fecb6bf70,kg,0.00013466723,Output,,
Water,075e433b-4be4-448e-9510-9a5029c1ce94,m3,0.00015758348,Output,,
