Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.02255,Input,9614a58c-201f-3dd5-b0f5-fc697ac98c1c,"P1,S1"
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.007720037417,Input,0e5d7b83-f812-32ac-a5e1-ac1d95910183,"P1,S1"
"electronic component production, active, unspecified",d1e72526-546c-48f2-a363-e1e3b1c9aebc,kg,0.000854,Input,0ab592b0-9c9e-3c70-af7e-3bee25ba253a,
ten,d59429c5-7145-4f8b-8951-b5dc95cd81b2,kg,0.0127,Input,c016ac83-e78d-47a4-8077-2134ef69396c,
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5,kg,0.011547632694,Input,8f52d745-448c-3c83-b48a-7a26867102b0,"P1,S1"
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.06227294528,Input,e7dad296-81c0-3161-940f-7e089569896d,"P1,S1"
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,kg,0.002751184,Input,aed09801-e9a1-390e-86f5-2bf4b0ffbdd6,"P1,S1"
"steel, low-alloyed",817c3650-4fed-4ef2-b9b6-404a198834e6,kg,0.00379155,Input,b784237b-e38b-345f-91ab-4f8f10f4ef10,"P1,S1"
"metal working, average for steel product manufacturing",79632c4b-f876-4c89-bf27-b864b30566be,kg,0.00379155,Input,8185cec5-3801-3507-a689-cde0fb0721f2,
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,m2,0.02255,Input,6a7aefa1-7d5c-3a95-b8a8-98f310fd8aba,
"mounting, surface mount technology, Pb-free solder",ca2b5076-f230-473d-9272-da1a678b4f93,m2,0.02255,Input,"dc812936-7e39-3ce7-b0e1-89bd03cfd262
steel",
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,kg,0.002319616,Input,4e9c0a3b-9b1e-3533-82c3-7f81c02a0dea,"P1,S1"
"capacitor production, electrolyte type, < 2cm height",5036886d-4b0a-4c87-956d-50d85d9abaab,kg,0.002831378,Input,62e0e6af-6aed-35f7-b9d3-e431d9f2cdd9,"P1,S1"
"diode production, glass-, for surface-mounting",38dddb73-6677-4128-9a82-5c6668eceb29,kg,0.000529676156,Input,b3241c19-7b7f-3545-b5ce-fde44dbd66de,"P1,S1"
"resistor production, metal film type, through-hole mounting",92d9032c-7554-43a7-87b7-59ced4c2516a,kg,0.0028,Input,287c9baf-8ec5-3321-bcfc-8b10e95550eb,"P1,S1"
"transistor production, surface-mounted",3422a31d-cb51-4f19-a659-28798bf18e54,kg,0.000681715,Input,c1b963b5-774d-32ed-93cf-f52a2d1f8e37,"P1,S1"
"aluminium, primary, cast alloy slab from continuous casting",f6161096-34e3-49c9-911e-060659b0dea1,kg,0.005592,Input,eeb86a83-f9b4-37ad-a2b7-2a939571460a,"P1,S1"
"metal working, average for aluminium product manufacturing",8c3b8032-b310-4dfe-9a9b-93fbd369142d,kg,0.005592,Input,5421390b-1035-346c-89e1-6fe2f4a01aef,
4Q_output_control_card,,kg,0.185845734547,Output,,
