Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.02475,Input,9614a58c-201f-3dd5-b0f5-fc697ac98c1c,"P1,S1"
brass,57771ae0-5e8b-47be-bb73-ba59f2bf8cc8,kg,0.016,Input,6297076e-fb6f-3698-a2fd-e257aa90b3fa,"P1,S1"
"metal working, average for copper product manufacturing",ec161f58-adae-4afc-ba38-14659925b080,kg,0.016,Input,05199773-548f-31b2-88b4-f1f8d6f9da98,
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.0211603712,Input,e7dad296-81c0-3161-940f-7e089569896d,"P1,S1"
"resistor, metal film type, through-hole mounting",92d9032c-7554-43a7-87b7-59ced4c2516a,kg,0.00044502,Input,287c9baf-8ec5-3321-bcfc-8b10e95550eb,"P1,S1"
"steel, chromium steel 18/8",c33b5236-001e-49b5-aa3d-810c0214f9ce,kg,0.00164785,Input,42290a29-b5f6-32b9-aced-cba9e1b5d487,"P1,S1"
"metal working, average for chromium steel product manufacturing",a5fc651b-3ee2-405f-b2f0-d035c8132be1,kg,0.00164785,Input,f18bb0cd-c83f-3c17-924d-19d03903c7aa,"P1,S1"
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,m2,0.02475,Input,6a7aefa1-7d5c-3a95-b8a8-98f310fd8aba,
"capacitor production, film type, for through-hole mounting",1edf4d42-6315-49ab-89b8-cd8dd643f43c,kg,0.0411234975,Input,0883f34c-fa0a-3ad4-bf76-72a7e6b951a6,"P1,S1"
"diode production, glass-, for through-hole mounting",0fd2627f-cd91-40c7-b168-8d7847ffb1fc,kg,0.00025,Input,b4e13f29-d6ca-3518-b275-8b634fa82be3,"P1,S1"
can_els,6f9031b6-82c5-4817-9f93-027518757f5d,kg,0.6,Input,25b1cd7e-6897-464b-ad7c-571d59e6db2d,
"transistor production, wired, big size, through-hole mounting",b88d0305-a1db-4575-abad-16cb9214b14d,kg,0.01084,Input,dc537ffb-6da8-3c92-b6e9-9ba0d7a74803,"P1,S1"
"epoxy resin, liquid",51c7e57a-00b7-4412-b56c-94c17b211ee7,kg,0.02536443,Input,1ab27f58-6586-33ea-9e7c-86b9e976adc1,"P1,S1"
4Q_output_power_card,,kg,0.7930611687,Output,,
