Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.017,Input,dcda613c-0c0d-3cea-a518-a4847d197cdb,"P1,SS1,S1"
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.002,Input,f3d352d4-6c0c-3a0d-819a-cdac67904aae,"P1,SS1,S1"
brass,57771ae0-5e8b-47be-bb73-ba59f2bf8cc8,kg,0.016,Input,a40761c5-9464-331e-829b-986aaab70d19,"P1,SS1,S1"
"metal working, average for copper product manufacturing",ec161f58-adae-4afc-ba38-14659925b080,kg,0.016,Input,1b2956e7-27a2-3d24-bdc7-8d4d96c596c9,
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.0219403712,Input,dd86962a-dd7e-316b-9ae3-bb22cf1fcbc2,"P1,SS1,S1"
ten,ddf28764-f085-4df8-b20a-dfb1615d28c2,kg,0.0192,Input,b1b1b893-e641-44d8-8165-cbd28ced9510,
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5,kg,0.003504454388,Input,bc6841b3-b7b5-35d7-bd6c-a4aea2d9319a,"P1,S1"
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,kg,0.001079904,Input,4ec1457b-7716-3a2b-b019-a95236792b9a,"P1,S1"
"steel, low-alloyed",817c3650-4fed-4ef2-b9b6-404a198834e6,kg,0.00126385,Input,fa03ac80-8409-3532-8909-e482fa560643,"P1,S1"
"metal working, average for steel product manufacturing",79632c4b-f876-4c89-bf27-b864b30566be,kg,0.00126385,Input,8185cec5-3801-3507-a689-cde0fb0721f2,
"mounting, surface mount technology, Pb-free solder",ca2b5076-f230-473d-9272-da1a678b4f93,m2,0.028,Input,e801d0ad-859c-3ce4-82ac-8bf10d8e9ab4,
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,m2,0.028,Input,ad142cc0-19c8-38d0-853b-31ab69af414d,
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,kg,0.003790592,Input,58bb18d4-4cd4-30e4-a30e-3d49987423f9,"P1,S1"
"capacitor production, film type, for through-hole mounting",1edf4d42-6315-49ab-89b8-cd8dd643f43c,kg,0.1223586,Input,59460f65-cf77-3d26-9e32-c7d03a4cd924,"P1,S1"
"capacitor production, electrolyte type, < 2cm height",5036886d-4b0a-4c87-956d-50d85d9abaab,kg,0.002831378,Input,4ba31d33-ea47-366e-a700-f2c314eefe35,"P1,S1"
"capacitor production, electrolyte type, > 2cm height",5f06394c-4efd-4c65-9e82-5fd3cbebbd15,kg,0.33,Input,8a9ed6e2-a68a-3a9c-9312-3045c3e64d6d,"P1,S1"
"transistor production, wired, small size, through-hole mounting",233843d2-7fda-443f-8735-547f06711c6d,kg,0.0038,Input,f3ef86cc-7a61-3cfd-b5ef-fb23a5546472,"P1,S1"
"diode production, glass-, for through-hole mounting",0fd2627f-cd91-40c7-b168-8d7847ffb1fc,kg,3.748e-05,Input,863bb1f1-9c01-33bb-b157-c441b466754e,"P1,S1"
"diode production, glass-, for surface-mounting",38dddb73-6677-4128-9a82-5c6668eceb29,kg,0.000317509552,Input,0be8d851-ba22-3358-9978-1e98418488c6,"P1,S1"
"insulated gate bipolar transistor, electric vehicle application",4c5db6d0-a23c-4794-a259-3f63b780d853,kg,0.01,Input,898316bb-c09c-3745-80b4-a5262fd2a9f9,
"electronic component production, active, unspecified",d1e72526-546c-48f2-a363-e1e3b1c9aebc,kg,0.000427,Input,aab92320-5f7c-3d87-aafa-7dcd00f7295b,
"transistor production, wired, big size, through-hole mounting",b88d0305-a1db-4575-abad-16cb9214b14d,kg,0.05962,Input,dc537ffb-6da8-3c92-b6e9-9ba0d7a74803,"P1,S1"
"transistor production, surface-mounted",3422a31d-cb51-4f19-a659-28798bf18e54,kg,4.10625e-05,Input,fe412dc1-c484-36e1-9799-648be3ecec7c,"P1,S1"
"aluminium, primary, cast alloy slab from continuous casting",f6161096-34e3-49c9-911e-060659b0dea1,kg,0.002796,Input,5096523c-0669-3af6-87b1-2d114e3b875c,"P1,S1"
"metal working, average for aluminium product manufacturing",8c3b8032-b310-4dfe-9a9b-93fbd369142d,kg,0.002796,Input,81386fc4-f172-3b15-b9de-ecdb4ddfa9a8,
4Q_power_card,,kg,0.65336820164,Output,,
