Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Total_mass_kg,Formula_basis,Validation_error
1,1,1,Wire,Magnetics,Inductors,P,,,EcoInvent,"copper, cathode",kg,Input,0.036931,0.036931,mass-based,
1,1,1,Wire,Magnetics,Inductors,P,,,EcoInvent,"wire drawing, copper",kg,Input,0.036931,0.036931,mass-based,
2,1,1,Wire,Magnetics,Inductors,"S1,S2",,,EcoInvent,"copper, cathode",kg,Input,0.0703013,0.0703013,mass-based,
2,1,1,Wire,Magnetics,Inductors,"S1,S2",,,EcoInvent,"wire drawing, copper",kg,Input,0.0703013,0.0703013,mass-based,
3,2,2,Ferrite Cores & Accessories,Magnetics,Inductors,Pot core,,B65684A0000R087,EcoInvent,"grain oriented electrical steel, 0.23 mm coil",kg,Input,0.410592,0.410592,mass-based,
4,2,2,Ferrite Cores & Accessories,Magnetics,Inductors,Coil former,,B65685A1000T001,EcoInvent,"polyester resin, unsaturated",kg,Input,0.02,0.02,mass-based,
4,2,2,Ferrite Cores & Accessories,Magnetics,Inductors,Coil former,,B65685A1000T001,EcoInvent,injection moulding,kg,Input,0.02,0.02,mass-based,
5,3,3,AUTO,Electromechanical,Connectors,J1,,PKE2508,EcoInvent,"electric connector production, wire clamp",kg,Input,4e-06,4e-06,mass-based,
6,3,3,AUTO,Electromechanical,Connectors,crimpling lungs,,,EcoInvent,"copper, cathode",kg,Input,0.0108,0.0108,mass-based,
6,3,3,AUTO,Electromechanical,Connectors,crimpling lungs,,,EcoInvent,"metal working, average for copper product manufacturing",kg,Input,0.0108,0.0108,mass-based,
