Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
MEXICO_CONVERTER,,kg,18.208918,output,,
4Q_output_control_card,867ec806-4e14-47d4-80e6-33e1b4bf5baa,LU,1,Input,23cd03e6-b5c5-41b4-89fd-3d837382be2a,
4Q_output_power_card,9aaf1a91-b90f-458c-83f7-d933ee67e959,LU,1,Input,290f4006-fb7e-4d2e-ad93-2fb9a6217bd4,
4Q_power_card,64155c87-4762-43f1-9111-c4d26672e9b8,LU,1,Input,92f029fa-6628-4fc6-9a21-ed8140351f37,
analog_control,1e4c38df-1df1-489b-8da4-4bc407d02172,LU,1,Input,6e3b014e-d0ba-4cde-868e-f714b04a2006,
contactor_card,64dfb14d-df32-44c2-af86-780cf1a2fddd,LU,1,Input,3c9ea90e-3f48-470e-9ed3-af1785112474,
control_backplane_card,ae9658a2-d5c3-4fdb-874e-cbb6b5c1cdf8,LU,1,Input,309a949c-37f4-4788-9b2e-598f2092c414,
digital_control,60380a58-a8d2-437d-8e6d-4f8c9e4bef60,LU,1,Input,7c9d3d2f-3b9d-4db9-ba88-6b5b55f6aa80,
fan_supervision_card,4f00973c-139c-4da8-bdf1-9801a9d81335,LU,1,Input,bfd02cb2-a7f5-4a9a-8dbb-cd503eff7a26,
filter_card,3f1f3d65-5cd6-4369-9ffd-fafdef5edc4e,LU,1,Input,81a3584a-3392-4cd3-a532-613e701af698,
fuse_card,ef88754d-92d1-4e7f-b8e7-ade58ba42374,LU,1,Input,2ae9e079-d299-4f03-a452-6c166be1f813,
HF_Power_Transformer_PM624929,ea819d34-1773-4403-b626-54dfff17659d,LU,1,Input,cdef57ca-f8ed-4ec3-accb-9d36fa0605fb,
inverter_power_card,32e2f1d7-e94c-4425-8664-c6a16b0aa6c1,LU,1,Input,4ea80b55-0d99-44bc-9c88-eb4c3362a74f,
mechanical_components,1f1ba968-24da-406e-b341-da4193a0636b,LU,1,Input,a73dfdb2-1a2a-4da9-81a2-decbc1c22af9,
power_inductor_PM6249,35ef66e1-2a7a-48b7-a399-0c1507f4643a,LU,3,Input,ef1a92d9-ab85-4d16-a9fc-711aa1bd1b07,
