Flow,UUID,Unit,Amount,Direction,Section,Subsections,Source_subsystems,Component_rows,Total_mass_kg,Missing_process_components
"aluminium, primary, cast alloy slab from continuous casting",,kg,0.008388,Input,Hardware,Thermal Management,"4Q_output_control_card, 4Q_power_card",2,0.008388,0
"copper, cathode",,kg,0.03,Input,Hardware,Thermal Management,contactor_card,1,0.03,0
"electronic component, passive, unspecified",,kg,0.02077,Input,Hardware,"Enclosure, Mounting hardware","fan_supervision_card, fuse_card",2,0.02077,0
"epoxy resin, liquid",,kg,0.02536443,Input,Hardware,Mounting hardware,4Q_output_power_card,1,0.02536443,0
injection moulding,,kg,0.00129,Input,Hardware,Mounting hardware,digital_control,1,0.00129,0
"market for steel, low-alloyed",,kg,0.00884695,Input,Hardware,Mounting hardware,control_backplane_card,1,0.00884695,0
"metal working, average for aluminium product manufacturing",,kg,0.008388,Input,Hardware,Thermal Management,"4Q_output_control_card, 4Q_power_card",2,0.008388,0
"metal working, average for chromium steel product manufacturing",,kg,0.00164785,Input,Hardware,Mounting hardware,4Q_output_power_card,4,0.00164785,0
"metal working, average for copper product manufacturing",,kg,0.03,Input,Hardware,Thermal Management,contactor_card,1,0.03,0
"metal working, average for steel product manufacturing",,kg,0.01643005,Input,Hardware,Mounting hardware,"4Q_output_control_card, 4Q_power_card, control_backplane_card, fan_supervision_card, inverter_power_card",5,0.01643005,0
polycarbonate,,kg,0.00129,Input,Hardware,Mounting hardware,digital_control,1,0.00129,0
"steel, chromium steel 18/8",,kg,0.00164785,Input,Hardware,Mounting hardware,4Q_output_power_card,4,0.00164785,0
"steel, low-alloyed",,kg,0.0075831,Input,Hardware,Mounting hardware,"4Q_output_control_card, 4Q_power_card, fan_supervision_card, inverter_power_card",4,0.0075831,0
SECTION_Hardware,,kg,0.10389033,Output,Hardware,"Enclosure, Mounting hardware, Thermal Management","4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, contactor_card, control_backplane_card, digital_control, fan_supervision_card, fuse_card, inverter_power_card",16,0.10389033,0
